,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại nào?
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: [MASKED] 
D: Triều Mạc, Lê, Trịnh, Tây Sơn","

**C: Triều Lê, Mạc, Trịnh, Tây Sơn** 

**Giải thích:**

Ngô Thì Nhậm là một quan triều đại, nhưng không phải là một quan trong các triều đại nào trong câu hỏi. 

* **Triều Lê:** Ngô Thì Nhậm là một quan trong triều Lê Sơ.
* **Triều Mạc:** Ngô Thì Nhậm là một quan trong triều Mạc","Triều Lê, Trịnh, Tây Sơn",0.1538461595773697
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời với mục đích gì?
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: Kêu gọi các Nho sĩ ra giúp nước
C: [MASKED] 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn","

**C: Kêu gọi những người ** **thực dân** **ra giúp Tây Sơn** 

**Giải thích:**

* Chiếu cầu hiền là một hoạt động nhằm **kêu gọi** những người **thực dân** **ra giúp** Tây Sơn. 
* Chiếu cầu hiền là một hoạt động nhằm **kêu gọi** những người **thực dân** **ra giúp** Tây Sơn. 



",Kêu gọi những người giỏi võ ra giúp nước,0.1846153885126114
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: [MASKED]","

**D: Khi Nguyễn Huệ lên ngôi vua** 

**Giải thích:**

* **Chiếu cầu hiền** là một trong những điều kiện quan trọng để Nguyễn Huệ lên ngôi vua. 
* **Nguyễn Huệ** là người đã lên ngôi vua, sau đó là triều đại nhà Lê-Trịnh sụp đổ. 


 
",Khi triều đại Tây Sơn sụp đổ,0.20000000298023224
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: [MASKED] 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử","

**C:  ** **""Kẻ sĩ mai danh ẩn tích uổng phí tài năng""** 

**Giải thích:**

Câu trả lời A, B, D đều có ý nghĩa về thái độ của sĩ phu Bắc Hà. 

* **A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng:**  Đây là một câu nói về sự lãng phí tài năng của những người sĩ phu Bắc Hà. 
* **B: Người ra làm",Nhiều người có tài năng còn chưa chịu ra giúp nước,0.10256410390138626
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Giá trị nội dung của Chiếu cầu hiền là:
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: [MASKED]","

**D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước** 


**Giải thích:**

* **Chiếu cầu hiền** là một văn kiện quan trọng thể hiện chủ trương của Nguyễn Huệ,  để động viên quân Tây Sơn tham gia xây dựng đất nước. 

* Câu trả lời A, B, C đều sai vì:",Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan,0.4423076808452606
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: [MASKED] 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh","**B: Tinh thần Thơ mới** 

**Giải thích:**

* **""Một thời đại trong thi ca""** là một đoạn trích viết về một thời đại trong thi ca. 
* **Tinh thần Thơ mới** là một khái niệm chính xác mô tả tâm tư, phong cách và ý nghĩa của thi ca trong thời đại đó. 


Các lựa chọn khác không phù hợp:

* **C: Chủ nghĩa hiện thực Việt Nam:** Chủ",Các tác phẩm thuộc phong trào Thơ mới.,0.07792207598686218
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: ""Chiếu cầu hiền"" là của tác giả nào?
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: [MASKED] 
D: Quang Trung","

**C: Ngô Thì Sĩ** 


**Giải thích:**

* **Chiếu cầu hiền** là một tác phẩm văn học nổi tiếng của nhà văn **Ngô Thì Sĩ**. 
 
Cụ thể: 

* **Ngô Thì Sĩ** là một nhà văn lỗi lạc của thời kỳ nhà Lê sơ, nổi tiếng với tác phẩm **Chiếu cầu hiền**. 
* **Ngô Thì Nh",Ngô gia văn phái,0.0634920671582222
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Câu nào dưới đây nói đúng về năm sinh và năm mất của Hoài Thanh?
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: Sinh năm 1920, mất năm 2002.
C: [MASKED] 
D: Sinh năm 1909, mất năm 1982.","

**C: Sinh năm 1909, mất năm 1982.** 

**Giải thích:**

* Hoài Thanh sinh năm 1909 và mất năm 1982. 


 
","Sinh năm 1930, mất năm 2008.",0.44897958636283875
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: [MASKED]","**D:  ** **Hoài Thanh** 

**Giải thích:**

* Bài viết ""Một thời đại trong thi ca"" của Hoài Thanh là một bài viết về thơ ca Việt Nam trong thời kỳ đầu của ông. 
* Hoài Thanh là nhà thơ nổi tiếng của Việt Nam, được biết đến với phong cách thơ hùng tráng, đầy sức sống. 


 
",Nguyễn Nhược Pháp,0.0
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: Xuân Diệu 
B: Huy Cận
C: Chế Lan Viên 
D: [MASKED]","**D:  ** **Hoài Thanh** 

**Giải thích:**

* Bài viết ""Một thời đại trong thi ca"" là một bài viết của nhà thơ Hoài Thanh. 
* Hoài Thanh là nhà thơ nổi tiếng của Việt Nam, được biết đến với phong cách thơ ca trữ tình lãng mạn. 


 
",Hàn Mặc Tử,0.0
