predict,label,score,Subject,retained
"Tìm cách can thiệp và bảo vệ B, nói với A hành động của cậu ấy là sai và không nên làm như vậy.",Cùng với A đánh B cho vui.,0.1290322580645161,civic_education,True
"Tới can ngăn thanh niên gây tai nạn và gọi điện cho cảnh sát, cùng người xung quanh giúp đỡ nạn nhân.",Đèo em bé đó đến gặp công an.,0.0,civic_education,True
"Thiển cận, dễ thay đổi",Không tôn trọng lẽ phải.,0.0,civic_education,True
"Không gian lận trong bài thi, kiểm tra","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0952380952380952,civic_education,True
Tư tâm,Khiêm tốn.,0.0,civic_education,True
Gọi điện cho người thân hoặc bạn bè để nhờ họ giúp đỡ hoặc khuyên nhủ.,Sang đánh nhà hàng xóm.,0.0,civic_education,True
"Lăng mạ, nói xấu người khác sau lưng.",Tự nhận lỗi về mình,0.0,civic_education,True
Ăn quả nhớ kẻ trồng cây,Lời nói không mất tiền mua,0.0,civic_education,True
Sự thật,Lòng vị tha.,0.0,civic_education,True
Giữ chữ tín,Liêm khiết.,0.0,civic_education,True
Luật lệ nội quy,Công bằng.,0.0,civic_education,True
"Đảm bảo trật tự, an toàn và quyền lợi cho mỗi cá nhân.",Giúp cho mọi người tôn trọng nhau hơn.,0.0952380952380952,civic_education,False
"Có nết, có phép, mới làm nên người",Phép vua thua lệ làng,0.1538461538461538,civic_education,True
"Là một động lực giúp con người vượt qua khó khăn, thử thách trong cuộc sống.",Giúp cho mọi người gần nhau hơn.,0.1739130434782608,civic_education,False
Tình đồng chí,Tình đồng chí.,1.0,civic_education,True
Không lợi dụng lẫn nhau,Phù hợp với nhau về quan niệm sống.,0.1538461538461538,civic_education,True
Tình bạn phải luôn gắn liền với lợi ích cá nhân,Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.1818181818181818,civic_education,False
Tuyên bố với thầy cô rằng E đang gian lận.,Nói với cô giáo để bạn bị phạt.,0.2222222222222222,civic_education,True
Gia đình bà E có quan điểm hạn hẹp về việc tham gia các hoạt động cộng đồng.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.5454545454545454,civic_education,True
Ủy ban nhân dân các cấp,Nhà nước.,0.0,civic_education,True
"Gây ra những hậu quả nghiêm trọng cho xã hội, ảnh hưởng đến an ninh trật tự và phát triển kinh tế.","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.1176470588235294,civic_education,True
