Question,A,B,C,D,Answer,Grade,retained
Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?,Khi triều đại Lê – Trịnh sụp đổ,Khi Trịnh Sâm lên ngôi vua,Nguyễn Huệ lên ngôi vua,Khi triều đại Tây Sơn sụp đổ,C,Ngữ văn 11,True
Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:,Kẻ sĩ mai danh ẩn tích uổng phí tài năng,Người ra làm quan thì giữ mình không dám nói thẳng,Nhiều người có tài năng còn chưa chịu ra giúp nước,Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử,D,Ngữ văn 11,True
Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?,Các tác phẩm thuộc phong trào Thơ mới.,Tinh thần Thơ mới,Chủ nghĩa hiện thực Việt Nam.,Quan điểm nghệ thuật vị nhân sinh,B,Ngữ văn 11,True
"Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?",Lưu Trọng Lư,Nguyễn Bính,Huy Thông,Nguyễn Nhược Pháp,C,Ngữ văn 11,True
"Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”",Xuân Diệu,Huy Cận,Chế Lan Viên,Hàn Mặc Tử,C,Ngữ văn 11,True
Đoạn trích “Tôi có một ước mơ” được viết theo phương thức nào?,Nghị luận,Tự sự,Biểu cảm,Chính luận,A,Ngữ văn 11,True
"Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”",Nguyễn Nhược Pháp,Nguyễn Bính,Lưu Trọng Lư,Tố Hữu,B,Ngữ văn 11,True
"Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?",Thế Lữ,Lưu Trọng Lư,Nguyễn Nhược Pháp,Nguyễn Bính,C,Ngữ văn 11,True
"Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”.  là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?",Thế Lữ,Xuân Diệu,Lưu Trọng Lư,Hàn Mặc Tử,A,Ngữ văn 11,True
“Cầu hiền” ở đây hướng tới đối tượng nào?,Người ăn ở hiền lành,Người có tài,Người có đức,Người có đức và tài,D,Ngữ văn 11,True
Tác giả của đoạn trích “Tôi có một ước mơ” là ai?,Aleksandr Sergeyevich Pushkin,Mác –tin Lu-thơ Kinh,Rabindranath Tagore,Vic-to Huy-gô,B,Ngữ văn 11,True
"Câu văn “Người hiền xuất hiện ở đời, thì như ngôi sao sáng trên trời cao” nói lên nội dung gì?",Nhân tài Bắc Hà nhiều như sao trên trời.,Người hiền theo Quang Trung rất nhiều như sao trời,Người hiền ở Bắc Hà rất hiếm có,"So sánh người hiền tài như vì sao tinh tú. Đề cao vị trí, vai trò của người hiền tài.",D,Ngữ văn 11,True
Đoạn trích “Tôi có một ước mơ” nằm trong:,Ăn sáng với kim cương,Người đàn ông của chúng tôi ở Havana,"Bước đến tự do, Câu chuyện Mon-ga-mo- ri- Montgomery","Một con gấu tên là Paddington, với hình minh họa của Peggy Fortnum",C,Ngữ văn 11,True
Nữ phóng viên đầu tiên là viết về ai?,Manh Manh nữ sĩ,Nguyễn Thị Bình,Trương Mỹ Hoa,Hồ Xuân Hương,A,Ngữ văn 11,True
Bà Kiêm bắt đầu trở nên nổi tiếng khi:,"Nổi tiếng về những bài diễn thuyết, những bài viết về bình đẳng giới và thơ mới",Viết thơ,Viết bài ủng hộ thơ mới,Viết kí,A,Ngữ văn 11,True
Sở trường của bà Kiêm là gì?,Thơ,Diễn thuyết,Phỏng vấn,Phê bình,B,Ngữ văn 11,True
Tại kì Pa-ra-lim-pích Tô-ky-ô 2020 vận động viên xuất sắc nhất là:,Van Gát,Henry,Hanry,Xnai – đơ,D,Ngữ văn 11,True
Văn bản Trí thông minh nhân tạo được trích từ:,Hồ sơ tương lai: lược sử 50 năm tới,"Kĩ thuật số và con người: chúng ta sẽ sống, yêu và suy nghĩ ra sao trong tương lai",50 ý tưởng về tương lai,"Trí tuệ tương lai: kỉ nguyên thông tin đã thay đổi đầu óc chúng ta như thế thế nào, tại sao và chúng ta có thể làm gì?",C,Ngữ văn 11,True
Địa điểm tổ chức cuộc đua thể thao đầu tiên dành cho các cựu chiến binh thế chiến thứ 2 là ở:,Nhật Bản,Anh,Bệnh viện Xtốc Men-đơ-vin,Mỹ,C,Ngữ văn 11,True
Đoạn trích ‘Vợ nhặt’ là của tác giả nào?,Nam Cao,Ngô Tất Tố,Kim Lân,Chế Lan Viên,C,Ngữ văn 11,True
Giá trị hiện thực của truyện ngắn “Vợ nhặt” là:,Cho thấy một thảm cảnh thê thảm của những con người nghèo trong nạn đói 1945 do phát xít Nhật và thực dân Pháp gây nên.,Tố cáo tội ác của bọn thực dân phát xít.,Thể hiện lòng cảm thông sâu sắc đối với số phận con người trong nạn đói.,"Là bài ca ca ngợi sự sống, tình thương, sự cưu mang, đùm bọc, khát vọng",A,Ngữ văn 11,True
