,Question,Answer,Label,rouge_score
0,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what country's context [MASKED]
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
D: When the Tay Son dynasty collapsed"," the Le-Trinh dynasty collapsed 

The correct answer is A: When the Le-Trinh dynasty collapsed.",was the edict issued?,0.08695652335882187
1,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The answer does not correctly reflect [MASKED]
### Choices:
A: Scholars who hide their names waste their talents. 
B: Officials keep to themselves and do not dare to speak frankly.
C: Many talented people are still unwilling to help the country. 
D: Many people admired King Quang Trung's talent and recommended him."," C: Many talented people are still unwilling to help the country.

The sentence is: ""The answer does not correctly reflect the original intention of the statement.""",the attitude of the Northern scholars:,0.125
2,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the excerpt [MASKED]
### Choices:
A: Works of the New Poetry movement. 
B: Spirit of New Poetry
C: Vietnamese realism. 
D: Art for humanity"," [MASKED]

### Choices:
A: Works of the New Poetry movement. 
B: Spirit of New Poetry
C: Vietnamese realism. 
D: Art for humanity

I'll need more information about the excerpt to provide the correct answer.","""An era in poetry"" discuss?",0.05000000074505806
3,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The poetic soul ""heroic"", Hoai Thanh used to refer [MASKED]
### Choices:
A: Luu Trong Lu 
B: Nguyen Binh
C: Huy Thong 
D: Nguyen Nhuoc Phap", B: Nguyen Binh,"to which poet in the article ""An era in poetry""?",0.0
4,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: ""Strange"" poetic soul, Hoai Thanh used to refer to [MASKED]
### Choices:
A: Xuan Dieu 
B: Huy Can
C: Che Lan Vien 
D: Han Mac Tu", A: Xuan Dieu.,"which poet in the article ""An era in poetry""",0.0
5,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what method is the [MASKED]
### Choices:
A: Discussion 
B: Narrative
C: Expression 
D: Politics"," **Narrative**?

This is a common method in various fields, including psychology, sociology, and education.","excerpt ""I have a dream"" written?",0.09090909361839294
6,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The phrase ""rustic"" poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: Nguyen Nhuoc Phap 
B: Nguyen Binh
C: Luu Trong Lu 
D: To Huu", Nguyen Binh.,"to which poet in the article ""An era in poetry""",0.0
7,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The word ""pure"" in poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: The Lu 
B: Luu Trong Lu
C: Nguyen Nhuoc Phap 
D: Nguyen Binh", A: The Lu.,"to which poet in the article ""An era in poetry""?",0.1538461595773697
8,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In “A Poetic Era”, Hoai Thanh wrote: “Our life lies in the word I. Losing breadth, we seek depth. But the further we go, the colder we feel”. This is [MASKED]
### Choices:
A: The Lu 
B: Xuan Dieu
C: Luu Trong Lu 
D: Han Mac Tu"," The Lu 

The answer is A: The Lu.","Hoai Thanh’s assessment of the poetic soul of the “New Poetry” writers in the declining period. The phrase “but the fairy cave has closed”, which poet does he refer to?",0.10000000149011612
9,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who is the ""seeking [MASKED]
### Choices:
A: Good-natured person 
B: Talented person
C: virtuous person 
D: A person of virtue and talent"," [MASKED]

### Answer: C: virtuous person

The correct completion of the sentence is likely ""seeking virtue,"" which is a phrase that suggests someone is striving to be good or moral.","the wise"" aimed at here?",0.0
10,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who is the author of [MASKED]
### Choices:
A: Alexander Sergeyevich Pushkin 
B: Martin Luther King
C: Rabindranath Tagore 
D: Victor Hugo", 'The Queen of Spades'?,"the excerpt ""I have a dream""?",0.1818181872367859
11,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the sentence ""The appearance of a wise man [MASKED]
### Choices:
A: Northern talents are as numerous as the stars in the sky. 
B: The virtuous people who followed Quang Trung were as numerous as the stars in the sky.
C: Good people in Bac Ha are very rare. 
D: Compare talented people to stars. Emphasize the position and role of talented people."," [MASKED] as the stars in the sky.""","in life is like a bright star in the sky"" convey?",0.3333333432674408
12,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The excerpt “I have [MASKED]
### Choices:
A: Breakfast with diamonds 
B: Our Man in Havana
C: Walk to Freedom, The Montgomery Story 
D: A bear named Paddington, with illustrations by Peggy Fortnum"," [MASKED]” seems to be a quote from the book ""A bear named Paddington, with illustrations by Peggy Fortnum"". The correct answer is:

D: A bear named Paddington, with illustrations by Peggy Fortnum",a dream” is in:,0.0476190485060215
