Question,predict,label,rouge_score,score
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Mạch truyện diễn biến theo trình tự thời gian nào?
### Lựa chọn:
A: Hiện tại - quá khứ 
B: [MASKED]
C: Hiện tại - quá khứ - hiện tại 
D: Hiện tại - quá khứ - tương lai","
B: Hiện tại - quá khứ - tương lai",Hiện tại - tương lại,0.7096773982048035,0.5454545454545454
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Quê hương của Thanh Tịnh là ở đâu?
### Lựa chọn:
A: Ven sông Hương, thành phố Huế 
B: Ven sông Hồng, thành phố Hà Nội
C: [MASKED] 
D: Một tỉnh thuộc đồng bằng Bắc Bộ","Địa danh này để giải thích đoạn [MASKED] trong câu hỏi. Do độ giám sát của câu hỏi về Thanh Tịnh và các bộ dữ liệu, chứng minh độ giám sát là ở đồng b��","Ven sông Đuống, Gia Lâm (Hà Nội)",0.1238938048481941,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Tôi đi học của Thanh Tịnh được viết theo thể loại nào?
### Lựa chọn:
A: Bút kí 
B: Truyện ngắn trữ tình
C: [MASKED] 
D: Tuỳ bút","
C: Bảng kính",Tiểu thuyết,0.0,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: [MASKED] 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ","Đối với tôi, như thế này, chúng ta đã quen đi lại lần này, nhưng lần này tự nhiên thấy lạ
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tị","Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập",0.251748263835907,0.08163265306122448
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học được miêu tả chủ yếu ở phương diện nào?
### Lựa chọn:
A: [MASKED] 
B: Tính cách
C: Tâm trạng 
D: Hành động","
A: Phương diện tâm trạng",Ngoại hình,0.0909090936183929,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Biện pháp tu từ nào được tác giả sử dụng trong đoạn văn trên?
### Lựa chọn:
A: [MASKED] 
B: B. So sánh.
C: C. Điệp ngữ. 
D: D. Ẩn dụ."," [Biện pháp tu] 
Có nghìn chữ trên: 1
Câu học hoàn chỉnh: Biện pháp tu được tác giả sử dụng trong đoạn văn trên?",A. Nhân hóa.,0.0540540553629398,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chủ đề của văn bản “Tôi đi học” nằm ở phần nào?
### Lựa chọn:
A: [MASKED] 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên"," ""MASKED""  Vậy câu hỏi trả luận sẽ diễn voice thành: A:  ""MASKED""  Chỉ số này để giải thích được đối tưỡng của câu hỏi hơch trên đối tư�uteur c",Nhan đề của văn bản,0.1153846159577369,0.0588235294117647
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Sức cuốn hút của tác phẩm ""Tôi đi học"" là:
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: [MASKED]
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C."," ""Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả."" Vậy câu hỏi trắc nghiệm sẽ là: 
### Câu hỏi: Sức cuốn hút của tác","Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.",0.232258066534996,0.0784313725490196
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nhân vật chính trong văn bản 'Tôi đi học’ là ai?
### Lựa chọn:
A: Người mẹ 
B: [MASKED]
C: Ông đốc 
D: Nhân vật ‘tôi’","
D: Nhân vật ‘tôi’",Người thầy giáo,0.1000000014901161,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh Tịnh sử dụng trong văn bản ""Tôi đi học”?
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: [MASKED] 
D: Kết hợp cả A, B, C","Động tín hiểu. Vậy câu hỏi trắc nghiệm sẽ là: C: Các phương thức biểu đạt được tác giả Thanh Tịnh sử dụng trong văn bản ""Tôi đi học"" là Động tín hi",Biểu cảm,0.0784313753247261,0.05714285714285715
