predict,label,score
Đi thoát lại giữa các bạn và tránh tình huống đánh.,Cùng với A đánh B cho vui.,0.1111111111111111
"Đứng tránh lính, tránh tai nạn và tránh những người không có lợi nhuân.",Đèo em bé đó đến gặp công an.,0.0
Động gi lif,Không tôn trọng lẽ phải.,0.0
Đáp án trên,"Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0
Đội thúc.,Khiêm tốn.,0.0
Đàn ếch nhà hàng xóm.,Sang đánh nhà hàng xóm.,0.6
Đồng tích hợp với người khác và cùng hợp tại một cuộc họp.,Tự nhận lỗi về mình,0.0
"Cười người hôm trước, hôm sau người cười",Lời nói không mất tiền mua,0.0
Định nghĩa về tinh thần.,Lòng vị tha.,0.0
Độ tinh thần.,Liêm khiết.,0.0
Điều lệ.,Công bằng.,0.0
"Đảm bảo an toàn, sự trọng tâm, và bảo hộ trong hệ thống thiếu niên.",Giúp cho mọi người tôn trọng nhau hơn.,0.08695652173913045
ở trên trời có cá thể,Phép vua thua lệ làng,0.0
"Đẩy tình yêu cầu cảm thấy tích của, sự đồng hành và động vi trong gia đình.",Giúp cho mọi người gần nhau hơn.,0.0
Độ tuộc.,Tình đồng chí.,0.0
"Đồng cảm, đồng bội sâu sắc với nhau.",Phù hợp với nhau về quan niệm sống.,0.25
"Ý kiến: Tình bạn có thể trong sáng, lành mạnh giữa hai người khác giống nhau.",Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.14814814814814814
"Đầu tiên, D có thể nhắc nhỏ bạn, khuyên bạn không vi phạm kỉ luật này, sau đó nhờ bạn D cho xem tài liệu cùng, đồng thời giúp bạn nhằm tránh vi phạm kỉ luật này trong giờ kiểm tra.",Nói với cô giáo để bạn bị phạt.,0.04081632653061225
Đồng thái và kính thưởng viên trong nhân thể của gia đình bà E.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.2758620689655172
,Nhà nước.,0.0
"Đột tránh, bức huyết trầm cảnh, sự nghèo, tràn trùng, tránh tránh sự nghiệp.","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.0
"Động vi convictions, chiến tranh chiếm đất.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.0
Đồn xã hội.,Vi phạm quy chế.,0.0
Điều hạn.,Cảnh cáo.,0.0
Đẩm thuế.,Phạt tù.,0.0
30 phút.,1 tuần.,0.0
β2-thalassemia,Cúm gà.,0.0
Ảnh khô thẳm,Sút cân trên 10% trọng lượng cơ thể.,0.0
Đánh răng với những khăn nhiễu với người nhiễm HIV,"Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.25
Đối thoại và cảnh quanh cộng hưởng,Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.0
Đơn nhân cơ bản của lực lượng vũ khí.,Cá nhân.,0.1818181818181818
25 tháng 11,Ngày 14 tháng 10,0.28571428571428575
Điều hướng tên pháp vào trục súng.,Dùng dao để đánh nhau.,0.0
"Đối tượng nổ súng quân dụng có thể gây trầm nỗi vùng đột tránh, trật tự, sức khỏe, tài sản của người thi hành công vụ hoặc người khác.","Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.",0.11111111111111112
Độc hại,Vũ khí,0.0
10 năm,Từ 1 năm đến 5 năm.,0.25
χiếm hữu của người không phải chủ sở hữu,Chiếm hữu của chủ sở hữu.,0.6666666666666667
Đội ngũ quốc gia.,Quyền chiếm hữu.,0.0
Độ phát triển sản xuất.,Bảo hộ và chịu trách nhiệm.,0.0
Đối với các hành vi xâm phạm quyền sở hữu…,Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.,0.20689655172413793
Đột xuất tự nhiên cho sản phẩm.,"Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.",0.10526315789473685
