Threshold:0.0, retain_rate:0.3616666666666667, average:0.0
Threshold:0.05, retain_rate:0.44533333333333336, average:0.005716311888588287
Threshold:0.1, retain_rate:0.527, average:0.01669902667706404
Threshold:0.15000000000000002, retain_rate:0.6096666666666667, average:0.03144316205279987
Threshold:0.2, retain_rate:0.6916666666666667, average:0.048798363524429705
Threshold:0.25, retain_rate:0.7583333333333333, average:0.06461973417618982
Threshold:0.30000000000000004, retain_rate:0.7973333333333333, average:0.07505815142489229
Threshold:0.35000000000000003, retain_rate:0.8266666666666667, average:0.08407503843818248
Threshold:0.4, retain_rate:0.8703333333333333, average:0.09899676504666101
Threshold:0.45, retain_rate:0.885, average:0.10456985569394939
Threshold:0.5, retain_rate:0.906, average:0.1134105945498538
Threshold:0.55, retain_rate:0.9223333333333333, average:0.12089452239403368
Threshold:0.6000000000000001, retain_rate:0.9403333333333334, average:0.12970379946307364
Threshold:0.65, retain_rate:0.9503333333333334, average:0.13494036291471073
Threshold:0.7000000000000001, retain_rate:0.958, average:0.139248837826433
Threshold:0.75, retain_rate:0.971, average:0.1471599833356833
Threshold:0.8, retain_rate:0.983, average:0.15484294295047768
Threshold:0.8500000000000001, retain_rate:0.9906666666666667, average:0.1600754519532888
Threshold:0.9, retain_rate:0.9966666666666667, average:0.16442707495709322
Threshold:0.9500000000000001, retain_rate:0.9993333333333333, average:0.16643824494339465
