Unnamed: 0,Question,A,B,C,D,Answer,Grade,remain
2,In what country's context was the edict issued?,When the Le-Trinh dynasty collapsed,When Trinh Sam ascended the throne,Nguyen Hue ascended the throne,When the Tay Son dynasty collapsed,C,Literature 11,True
3,The answer does not correctly reflect the attitude of the Northern scholars:,Scholars who hide their names waste their talents.,Officials keep to themselves and do not dare to speak frankly.,Many talented people are still unwilling to help the country.,Many people admired King Quang Trung's talent and recommended him.,D,Literature 11,True
5,"What does the excerpt ""An era in poetry"" discuss?",Works of the New Poetry movement.,Spirit of New Poetry,Vietnamese realism.,Art for humanity,B,Literature 11,True
8,"The poetic soul ""heroic"", Hoai Thanh used to refer to which poet in the article ""An era in poetry""?",Luu Trong Lu,Nguyen Binh,Huy Thong,Nguyen Nhuoc Phap,C,Literature 11,True
9,"""Strange"" poetic soul, Hoai Thanh used to refer to which poet in the article ""An era in poetry""",Xuan Dieu,Huy Can,Che Lan Vien,Han Mac Tu,C,Literature 11,True
10,"In what method is the excerpt ""I have a dream"" written?",Discussion,Narrative,Expression,Politics,A,Literature 11,True
12,"The phrase ""rustic"" poetry, Hoai Thanh used to refer to which poet in the article ""An era in poetry""",Nguyen Nhuoc Phap,Nguyen Binh,Luu Trong Lu,To Huu,B,Literature 11,True
13,"The word ""pure"" in poetry, Hoai Thanh used to refer to which poet in the article ""An era in poetry""?",The Lu,Luu Trong Lu,Nguyen Nhuoc Phap,Nguyen Binh,C,Literature 11,True
14,"In “A Poetic Era”, Hoai Thanh wrote: “Our life lies in the word I. Losing breadth, we seek depth. But the further we go, the colder we feel”. This is Hoai Thanh’s assessment of the poetic soul of the “New Poetry” writers in the declining period. The phrase “but the fairy cave has closed”, which poet does he refer to?",The Lu,Xuan Dieu,Luu Trong Lu,Han Mac Tu,A,Literature 11,True
15,"Who is the ""seeking the wise"" aimed at here?",Good-natured person,Talented person,virtuous person,A person of virtue and talent,D,Literature 11,True
16,"Who is the author of the excerpt ""I have a dream""?",Alexander Sergeyevich Pushkin,Martin Luther King,Rabindranath Tagore,Victor Hugo,B,Literature 11,True
18,"What does the sentence ""The appearance of a wise man in life is like a bright star in the sky"" convey?",Northern talents are as numerous as the stars in the sky.,The virtuous people who followed Quang Trung were as numerous as the stars in the sky.,Good people in Bac Ha are very rare.,Compare talented people to stars. Emphasize the position and role of talented people.,D,Literature 11,True
19,The excerpt “I have a dream” is in:,Breakfast with diamonds,Our Man in Havana,"Walk to Freedom, The Montgomery Story","A bear named Paddington, with illustrations by Peggy Fortnum",C,Literature 11,True
20,Who did the first female reporter write about?,Miss Manh Manh,Nguyen Thi Binh,Truong My Hoa,Ho Xuan Huong,A,Literature 11,True
22,Mrs. Kiem began to become famous when:,"Famous for his speeches, writings on gender equality and new poetry",Write poetry,Write an article to support new poetry,Write,A,Literature 11,True
24,What is Mrs. Kiem's forte?,Verse,Speech,Interview,Criticize,B,Literature 11,True
26,"At the 2020 Tokyo Paralympics, the best athletes were:",Valve Gate,Henry,Hanry,Xnai – do,D,Literature 11,True
31,Artificial Intelligence text is excerpted from:,Future Files: A Brief History of the Next 50 Years,"Digital and humans: how we will live, love and think in the future",50 ideas about the future,"Future intelligence: how the information age has changed our minds, why, and what can we do about it?",C,Literature 11,True
35,The first sports race for WWII veterans was held at:,Japan,Older brother,St. Mendeville Hospital,America,C,Literature 11,True
40,Who is the author of the excerpt 'The Beggar'?,Nam Cao,Ngo Tat To,Kim Lan,Che Lan Vien,C,Literature 11,True
41,"The realistic value of the short story ""The Beggar's Wife"" is:",Shows the miserable plight of the poor during the 1945 famine caused by Japanese fascists and French colonialists.,Denounce the crimes of fascist colonialists.,Express deep sympathy for the human fate in famine.,"It is a song praising life, love, care, protection, and aspiration.",A,Literature 11,True
42,"The opening of the short story with the image of Chi Pheo ""walking and cursing"" is so humorous and attractive to readers. What does Nam Cao's writing show?",Nam Cao accurately describes the image of drunk men who often cannot control themselves.,"Making the reader happy because Chi Pheo cursed everything, is a prediction of punishment for the cruel and powerful people in Vu Dai village.",It attracts readers because Chi Pheo realized that the reason his life was degenerate was because of the cruel and powerful village tyrants.,"Chi Pheo's humorous appearance is a manifestation of an inner tragedy. The initial involuntary smile leaves a sad, bitter aftertaste in the reader's heart.",D,Literature 11,True
43,The opening image is an old brick kiln and the ending image is the same. What does that mean?,"The author wants to introduce to readers the year-round job of farmers in Vu Dai village, which is brick production.",The image of an abandoned brick kiln makes readers understand that the traditional profession of Vu Dai village has faded away.,"It evokes the vicious circle, deadlock, and hopeless pain of Vietnamese farmers in the old society.",Farmers' lives in Vu Dai village are as desolate as an old brick kiln.,C,Literature 11,True
44,"Which of the following statements is correct about the poem ""Remembering the fields"" by To Huu?","These are the passionate, earnest, and pure thoughts of the young poet about the fields, the homeland, about the beloved people, about the memories of a time of vibrant revolutionary activities.",Missing the old mother bent over in the fields,It is the confusion of a young man who is imprisoned for the first time.,It is a heartfelt longing for a lover - a village girl.,A,Literature 11,True
45,"What is the author's mood in the poem ""Remembering the fields""?","Worried, restless before the prison scene.",Sad and miss my homeland and compatriots so much.,Happy and excited when remembering old memories.,"Nostalgia, nostalgia for a free life.",B,Literature 11,True
46,How is Trang's character described?,"Gentle, funny, likes to play with the kids in the neighborhood",taciturn,"Fierce, grumpy, irritable face",All of the above are correct.,A,Literature 11,True
47,"What does the poem from the line ""Where are the old days, I miss myself"" to ""Like a sad bird missing the wind and clouds"" express?","The author's passion for ideals, desire for freedom and action.",The reproduction of the image of the homeland in the author's soul.,The author's memories of images associated with his homeland.,The author dedicates the poem to his friend.,A,Literature 11,True
49,"What caused Chi Pheo, a gentle and honest young man, to go to prison?",Because of gambling.,For stealing from Ba Kien's house.,For killing people in the village.,Because Ba Kien was jealous,D,Literature 11,True
50,Which is not a typical work of To Huu?,From then on,Go to war,Viet Bac,Evening,D,Literature 11,True
51,"The inspiration for the poem ""Remembering the fields"" was formed from:",The very ordinary sounds of life.,Memories from the author's revolutionary days.,The cuckoo calls summer where the author is imprisoned.,The shout echoed into the prison where the author was imprisoned.,D,Literature 11,True
53,The character of Ba Kien in the most general terms is:,"People are cunning, cruel, and lustful.","A cunning, evil, and treacherous man","vicious, greedy, cunning","Greedy, greedy, fame-hungry.",B,Literature 11,True
54,What is Trang's job?,Farmer,Ox cart for hire,Plowing for hire,Rice milling for hire,B,Literature 11,True
56,"The feeling of emptiness and remoteness of the ""tràng giang"" space in the third stanza of Huy Can's poem ""Tràng giang"" is mainly highlighted by which artistic element?",Syntactic repetition and negative words.,Metaphor.,"Sound, melody.",Love scene.,A,Literature 11,True
57,"What is the ending image of the short story ""The Beggar's Wife""?",Flocks of crows circled in flocks like dark clouds in the sky.,Image of hungry people and the red flag with yellow star fluttering,The sound of tax drums is urgent.,The cries of families whose members died of starvation,B,Literature 11,True
59,Which answer is incorrect when talking about the beauty of the soul of the character Trang?,"Gentle, honest, simple","Optimistic, love life",Potential vitality and fierce resistance,Kind heart,D,Literature 11,True
61,"When explaining ""Propose: ask to be married"" how is the meaning of the word explained?",Use synonyms for the word that needs to be explained.,Present the concept that the word represents.,Combine using synonyms with presenting the concept that the word represents.,Use the opposite word to the word being explained.,B,Literature 11,True
63,The excerpt Trao Duyen demonstrates Nguyen Du's outstanding artistic talent in:,situation creation,use of idioms,character description,building dialogue,C,Literature 11,True
65,What is Nguyen Du's most important and unique artistic success in this excerpt?,Describe character psychology,Choose and use words and images,Dialogue and monologue construction,Create a conflicting situation,A,Literature 11,True
66,Which of the following lines incorrectly identifies the position of Thuy Kieu giving her love to Thuy Van?,After the police came and arrested Kieu's father and younger brother,After Kieu sold herself to redeem her father,The night before Kim Trong and Thuy Kieu made their vows,After Kim Trong had to attend his uncle's funeral in Liaoyang,C,Literature 11,True
70,"The action of ""giving away fate"" in the excerpt Giving away fate by Nguyen Du most clearly shows which quality in the character Thuy Kieu?",Filial piety,Depth.,Altruism.,Tolerance.,C,Literature 11,True
72,"When giving away her love, what is the significance of Kieu using many words referring to death?","Kieu had a premonition about the life ahead, the ultimate despair and suffering.",Kieu said that to force Van to accept.,Kieu wanted to make things worse.,Kieu is in a confused mood.,A,Literature 11,True
73,"Who gave the name ""Truyen Kieu""?",Talented person Thanh Tam,Nguyen Du,People,Hollow,C,Literature 11,True
77,What is the most unique artistic feature of The Tale of Kieu?,The national literary language and the six-eight verse form have reached their brilliant peak.,"Translated into many languages, introduced in many places around the world",Narrative art has made great strides,How to portray unique human personality,A,Literature 11,True
78,How to explain the meaning of the word is incorrect?,Read many times is a word that needs to be explained.,Present the concept that the word represents.,Use synonyms to explain,Use antonyms to explain,A,Literature 11,True
79,When did Thuy Kieu's handover of love to Thuy Van take place?,Before Kieu arranged to sell herself.,After Kieu had arranged to sell herself.,Before Kieu left her family to follow Ma Giam Sinh.,When I heard the news that my family had an accident.,A,Literature 11,True
