Threshold:0.0, retain_rate:0.2, average:0.0
Threshold:0.05, retain_rate:0.5, average:0.01926406926406924
Threshold:0.1, retain_rate:0.7, average:0.0328776965331587
Threshold:0.15000000000000002, retain_rate:0.9, average:0.05126969979911154
Threshold:0.2, retain_rate:0.9, average:0.05126969979911154
Threshold:0.25, retain_rate:0.9, average:0.05126969979911154
Threshold:0.30000000000000004, retain_rate:0.9, average:0.05126969979911154
Threshold:0.35000000000000003, retain_rate:1.0, average:0.08069422483581169
Threshold:0.4, retain_rate:1.0, average:0.08069422483581169
Threshold:0.45, retain_rate:1.0, average:0.08069422483581169
Threshold:0.5, retain_rate:1.0, average:0.08069422483581169
Threshold:0.55, retain_rate:1.0, average:0.08069422483581169
Threshold:0.6000000000000001, retain_rate:1.0, average:0.08069422483581169
Threshold:0.65, retain_rate:1.0, average:0.08069422483581169
Threshold:0.7000000000000001, retain_rate:1.0, average:0.08069422483581169
Threshold:0.75, retain_rate:1.0, average:0.08069422483581169
Threshold:0.8, retain_rate:1.0, average:0.08069422483581169
Threshold:0.8500000000000001, retain_rate:1.0, average:0.08069422483581169
Threshold:0.9, retain_rate:1.0, average:0.08069422483581169
Threshold:0.9500000000000001, retain_rate:1.0, average:0.08069422483581169
