,Question,Answer,Label,rouge_score
0,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Ngô Thì Nhậm từng làm [MASKED]
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: Triều Mạc, Lê, Trịnh, Tây Sơn"," [Triều Lê, Trịnh]. Vậy đáp án đúng là C: Triều Lê, Trịnh, Tây Sơn.",quan dưới triều đại nào?,0.14814814925193787
1,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra [MASKED]
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn", B: Kêu gọi các Nho sĩ ra giúp nước,đời với mục đích gì?,0.0
2,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra đời trong [MASKED]
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ", D: Khi triều đại Tây Sơn sụp đổ,hoàn cảnh đất nước như thế nào?,0.0
3,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đáp án không thể hiện đúng [MASKED]
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử", [MASKED] là C: Nhiều người có tài năng còn chưa chịu ra giúp nước.,thái độ của sĩ phu Bắc Hà:,0.0
4,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Giá trị nội dung [MASKED]
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan"," [MASKED] có thể là ""Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước"" (A).",của Chiếu cầu hiền là:,0.040816325694322586
5,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nội dung của đoạn trích “Một thời đại [MASKED]
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh"," B: Tinh thần Thơ mới""",trong thi ca” bàn đến vấn đề gì?,0.0
6,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: ""Chiếu cầu hiền"" là [MASKED]
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: Ngô gia văn phái 
D: Quang Trung", A: Ngô Thì Nhậm,của tác giả nào?,0.0
7,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu nào dưới đây nói đúng về [MASKED]
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982."," [MASKED]

Trả lời: D: Sinh năm 1909, mất năm 1982. 

Lý do: Để xác định câu trả lời chính xác, chúng ta cần biết thông tin sinh và mất của [MASKED]. Trong trường hợp này, không có thông tin cụ thể nào được cung cấp. Tuy nhiên, từ các lựa chọn đã cho, câu D là duy nhất không có mâu thuẫn về thời gian (",năm sinh và năm mất của Hoài Thanh?,0.09090909361839294
8,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp", C: Huy Thông,nào trong bài viết “Một thời đại trong thi ca”?,0.0
9,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Xuân Diệu 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử"," <MASKED>. 

Đáp án phù hợp cho câu hỏi này là D: Hàn Mặc Tử.",nào trong bài viết “Một thời đại trong thi ca”,0.0
10,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đoạn trích “Tôi có một ước [MASKED]
### Lựa chọn:
A: Nghị luận 
B: Tự sự
C: Biểu cảm 
D: Chính luận", <MASKED>” có thể được hoàn thành bằng lựa chọn C: Biểu cảm.,mơ” được viết theo phương thức nào?,0.095238097012043
11,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Bài diễn thuyết này được Martin Luther [MASKED]
### Lựa chọn:
A: Tại đài tưởng niệm Lin-cơn ngày 28/8/1963 
B: Tại đài tưởng niệm Lin-cơn ngày 29/8/1963
C: Tại đài tưởng niệm Lin-cơn ngày 29/8/1964 
D: Tại đài tưởng niệm Lin-cơn ngày 28/8/1964", King phát biểu tại đài tưởng niệm Lincoln ngày 28/8/1963.,King đọc ở đâu vào thời gian nào?,0.06666667014360428
