,Question,Answer,Label,rouge_score
0,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what country's context [MASKED]
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
D: When the Tay Son dynasty collapsed"," did Nguyen Hue ascend the throne?
### Question: In what country's context (C) Nguyen Hue ascended the throne did this historical event occur?
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne
D: When the Tay Son dynasty collapsed",was the edict issued?,0.025641025975346565
1,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The answer does not correctly reflect [MASKED]
### Choices:
A: Scholars who hide their names waste their talents. 
B: Officials keep to themselves and do not dare to speak frankly.
C: Many talented people are still unwilling to help the country. 
D: Many people admired King Quang Trung's talent and recommended him."," D: Many people admired King Quang Trung's talent and recommended him.

In this context, the sentence suggests that the correct answer should be something that does not align with the admiration and recommendation of King Quang Trung's talent. Therefore, option D is the one that does not fit with the rest of the sentence, as it talks about people admiring and recommending King Quang Trung, which contradicts the idea that the answer is incorrect in",the attitude of the Northern scholars:,0.06185567006468773
2,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the excerpt [MASKED]
### Choices:
A: Works of the New Poetry movement. 
B: Spirit of New Poetry
C: Vietnamese realism. 
D: Art for humanity"," <MASKED> best illustrate or represent? To determine the most suitable option, we need to understand the context of the excerpt. Since the options are related to literary movements or themes, the excerpt likely contains a piece of text or a description from a specific literary work or period. Here's a brief analysis of each choice:

A: Works of the New Poetry movement - This choice suggests that the excerpt is an example of a poem or a","""An era in poetry"" discuss?",0.02222222276031971
3,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The poetic soul ""heroic"", Hoai Thanh used to refer [MASKED]
### Choices:
A: Luu Trong Lu 
B: Nguyen Binh
C: Huy Thong 
D: Nguyen Nhuoc Phap"," to <MASKED> B: Nguyen Binh.

So the completed question would be:

### Question: The poetic soul ""heroic"", Hoai Thanh used to refer to Nguyen Binh.

This question is about a specific relationship between two individuals, Hoai Thanh and Nguyen Binh, presumably in the context of literature, poetry, or a similar field. The other options (Luu Trong Lu","to which poet in the article ""An era in poetry""?",0.0941176488995552
4,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: ""Strange"" poetic soul, Hoai Thanh used to refer to [MASKED]
### Choices:
A: Xuan Dieu 
B: Huy Can
C: Che Lan Vien 
D: Han Mac Tu"," ""A: Xuan Dieu"". The completed multiple-choice question is:

### Question: ""Strange"" poetic soul, Hoai Thanh used to refer to Xuan Dieu.

Here' explanation:

Hoai Thanh is a renowned Vietnamese poet known for his unique and unconventional style of poetry. Xuan Dieu is a term used to describe a type of poetry that is free from the constraints of traditional forms and structures, often","which poet in the article ""An era in poetry""",0.04494382068514824
5,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what method is the [MASKED]
### Choices:
A: Discussion 
B: Narrative
C: Expression 
D: Politics"," [MASKED] primarily used for conveying personal feelings, thoughts, and emotions, often through creative means such as writing, painting, or music?

### Question: In what method is the C: Expression

### Answer: Expression is primarily used for conveying personal feelings, thoughts, and emotions, often through creative means such as writing, painting, or music.

Here's why:

A: Discussion -","excerpt ""I have a dream"" written?",0.02777777798473835
6,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The phrase ""rustic"" poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: Nguyen Nhuoc Phap 
B: Nguyen Binh
C: Luu Trong Lu 
D: To Huu"," to __C: Luu Trong Lu__.

To construct a complete multiple-choice question, we need to insert the correct answer in the masked part of the sentence. Here's the completed question:

### Question: The phrase ""rustic"" poetry, Hoai Thanh used to refer to Luu Trong Lu. Which of the following is correct?
### Choices:
A: Nguyen Nhuoc Phap
B: N","to which poet in the article ""An era in poetry""",0.09876543283462524
7,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The word ""pure"" in poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: The Lu 
B: Luu Trong Lu
C: Nguyen Nhuoc Phap 
D: Nguyen Binh"," to B: Luu Trong Lu.

In the context of Vietnamese literature, ""Luu Trong Lu"" is a term that refers to the essence or the core of a poem, which is often considered the ""pure"" part of the poetry. It is the part that carries the deepest meaning and emotion, untouched by superfallacies or external influences.

Here's a brief explanation of the other choices:

A","to which poet in the article ""An era in poetry""?",0.08791209012269974
8,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In “A Poetic Era”, Hoai Thanh wrote: “Our life lies in the word I. Losing breadth, we seek depth. But the further we go, the colder we feel”. This is [MASKED]
### Choices:
A: The Lu 
B: Xuan Dieu
C: Luu Trong Lu 
D: Han Mac Tu"," B: Xuan Dieu.

To complete the multiple-choice question, the masked part should be filled with the correct option from the given choices. In this case, the correct answer is B: Xuan Dieu, which refers to a literary magazine in Vietnam where Hoai Thanh'aine poem ""A Poetic Era"" was published.

Here's the completed question:

In “A Poetic Era”, Hoai Thanh wrote: “Our life lies","Hoai Thanh’s assessment of the poetic soul of the “New Poetry” writers in the declining period. The phrase “but the fairy cave has closed”, which poet does he refer to?",0.13793103396892548
9,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who is the ""seeking [MASKED]
### Choices:
A: Good-natured person 
B: Talented person
C: virtuous person 
D: A person of virtue and talent"," a person of virtue and talent""

So, the completed sentence with the multiple-choice question would be:

### Question: Who is the ""seeking a person of virtue and talent""
### Choices:
A: Good-natured person 
B: Talented person
C: virtuous person 
D: A person of virtue and talent

The correct answer is D: A person of virtue and talent. This is because the","the wise"" aimed at here?",0.02857142873108387
10,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who is the author of [MASKED]
### Choices:
A: Alexander Sergeyevich Pushkin 
B: Martin Luther King
C: Rabindranath Tagore 
D: Victor Hugo"," [MASKED] written by C: Rabindranath Tagore? To complete the multiple-choice question, you could insert a specific work from one of the authors as the masked part. Here's an example:

### Question: Who is the author of ""Gitanjali"" written by?
### Choices:
A: Alexander Sergeyevich Pushkin
B: Martin Luther King
C: Rabindranath Tagore
","the excerpt ""I have a dream""?",0.04878048598766327
11,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the sentence ""The appearance of a wise man [MASKED]
### Choices:
A: Northern talents are as numerous as the stars in the sky. 
B: The virtuous people who followed Quang Trung were as numerous as the stars in the sky.
C: Good people in Bac Ha are very rare. 
D: Compare talented people to stars. Emphasize the position and role of talented people."," [MASKED]"" best complete with from the given choices?

### Question: What does the sentence ""The appearance of a wise man [MASKED]"" best complete with from the given choices?
### Choices:
A: Northern talents are as numerous as the stars in the sky. 
B: The virtuous people who followed Quang Trung were as numerous as the stars in the sky.
C: Good people in Bac Ha are very rare","in life is like a bright star in the sky"" convey?",0.095238097012043
12,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The excerpt “I have [MASKED]
### Choices:
A: Breakfast with diamonds 
B: Our Man in Havana
C: Walk to Freedom, The Montgomery Story 
D: A bear named Paddington, with illustrations by Peggy Fortnum"," __” is an incomplete statement that requires additional context to determine the most suitable completion from the given choices. To create a multiple-choice question, we need to establish a scenario or a question that relates to the options. Here's an example:

### Question: I have always enjoyed reading books that combine historical events with personal narratives. Which of the following books would best fit this description?

### Choices:
A: Breakfast with diamonds
B",a dream” is in:,0.025316456332802773
13,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who did the first [MASKED]
### Choices:
A: Miss Manh Manh 
B: Nguyen Thi Binh
C: Truong My Hoa 
D: Ho Xuan Huong"," female guerrilla fighter in Vietnam, known for her significant role in the resistance against the French colonial forces, belong to?
### Question: Who did the first (B: Nguyen Thi Binh) female guerrilla fighter in Vietnam, known for her significant role in the resistance against the French colonial forces, belong to?

Explanalion: Nguyen Thi Binh was a Vietnamese guerrilla fighter during the Vietnam War.",female reporter write about?,0.02150537632405758
14,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Mrs. Kiem began [MASKED]
### Choices:
A: Famous for his speeches, writings on gender equality and new poetry 
B: Write poetry
C: Write an article to support new poetry 
D: Write"," writing poetry.

So, the completed sentence would be: Mrs. Kiem began to write poetry.

In this context, the most suitable answer from the given choices would be ""B: Write poetry"". The other options either describe what Mrs. Kiem is famous for (A), or an action she could take to support new poetry (C), but they don't directly indicate the action she began. Option D is too vague and doesn't provide a clear action or context",to become famous when:,0.0470588244497776
15,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What is [MASKED]
### Choices:
A: Verse 
B: Speech
C: Interview 
D: Criticize"," the form of expression or communication represented by the term [MASKED] in the given multiple-choice question? To complete the question, we can insert the term ""form"" before each option, resulting in the following question:

### Question: What is the form of expression or communication represented by the term [MASKED]?
### Choices:
A: Verse form
B: Speech form
C: Interview form
D: Criticize",Mrs. Kiem's forte?,0.0
