predict,label,score
ethically as long as she clarifies her roles with all parties. ,unethically by accepting dual roles.,0.1817999929189682
"Within the context of the war on terror analogy, in which the norms of retaliation and punishment prevail, pre-emptive action is taken against training facilities, headquarters, sources of funding, and even the assassination of key individuals.",],0.0
hearsay.,hearsay.,1.0
Domestic law does not prevail over international law,Only customary international law prevails over domestic law,0.421099990606308
],generalized anxiety disorder,0.0
45°,cos–1 (1/g),0.22220000624656677
Mutation of the RNA genome at many positions,Recombining with another enterovirus,0.0
],mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.0
The seller can obtain only the reasonable value of the use of the car in a restitution action.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.29269999265670776
],Calvin cycle,0.0
"The costs of free trade are dispersed, but benefits are concentrated",],0.0
"False, True ",],0.0
To provide a permanent airway. ,],0.0
"$45,000. 00",],0.0
the central city and the adjacent counties.,],0.0
"Social accounting, Financial accounting.","Financial accounting, Environmental management initiatives",0.53329998254776
0.05 J,0.005 J,0.9230999946594238
is prevented from everting by papillary muscles.,is a semilunar valve,0.11110000312328339
is used to determine the content of minerals in a soil sample,was used to demonstrate DNA as the genetic material,0.26089999079704285
Scenario 1,"Wrong, Wrong",0.0
not pure,useful,0.0
Voting Rights Act of 1965],Medicare and Medicaid,0.0
The board of trustees recommends it.,],0.0
],"In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.0
the spread of religious skepticism among the educated elite of Britain in the eighteenth century,the hatred of all things Roman by British scholars in the eighteenth century,0.3889000117778778
Increasing the total surface area available for diffusion,Decreasing the solubility of the gas in water,0.10530000180006027
Interacting with a virus infected cell,],0.0
"A 17-year-old male who is a B student and a talented artist, but who feels that his life is out of control","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.24560000002384186
150,],0.0
],external influences originating from the Indus Valley.,0.0
],Steps,0.0
Scenario 1,"Wrong, Wrong",0.0
The inferior alveolar nerve,],0.0
cerebellum],visual system,0.0
"Option I if it needs at least $20,000 to pay off an overdue loan",Option II if it wants to maximize expected return,0.2581000030040741
must take into account the interests of all living beings.,make take into account the interests of all sentient beings.,0.761900007724762
],"The resident would not succeed, because the reservation of the resident's right to terminate would be violative of the rule against perpetuities.",0.0
$82,$85,0.666700005531311
It was one of the first well-documented examples of a specific brain area being associated with a set of physical and emotional changes.,Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.,0.23999999463558197
The attack on Pearl Harbor,The bombing of the U.S.S. Liberty,0.125
],6:5,0.0
Egg,Hepatitis,0.0
],Amyotrophic lateral sclerosis,0.0
],"Not wrong, Wrong",0.0
],Introspection,0.0
],Any risk of invasion of privacy,0.0
strike,],0.0
],"Wrong, Not wrong",0.0
Vitamin A,Vitamin A,1.0
Kinetic energy of the alpha particle.,gamma radiation.,0.0
Reliability of sufficient rainfall,],0.0
they will disagree morally only if they disagree about the facts of the case.,],0.0
],Lafayette,0.0
Cliff,Diane,0.0
],"The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",0.0
Interest rates decrease and the dollar depreciates.,Interest rates decrease and the dollar appreciates.,0.7778000235557556
RL circuit.,RC circuit.,0.4000000059604645
Emulated the lifestyle and cultural values of the traditional aristocracy,],0.0
],17,0.0
Surgical scalpel wrapped in gauze. ,],0.0
],Matthias Schleiden and Theodor Schwann,0.0
saving increases by less than $X .,consumption increases by more than $X .,0.666700005531311
They alter the equilibrium constant of a reaction (K_eq) so that more reactant can be converted to product.,"They raise the temperature of the reaction mixture, thereby speeding up the conversion of reactants to products.",0.3077000081539154
Buyclasses.,Buyphases.,0.4000000059604645
