predict,label,score,Subject,retained
unethically,unethically by accepting dual roles.,0.3333333333333333,civic_education,True
"The framing of terrorism as warfare, crime, or disease will shape the government's response.","Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.",0.0963855421686746,civic_education,True
hearsay,hearsay.,1.0,civic_education,True
"No, international law generally takes precedence over domestic law.",Only customary international law prevails over domestic law,0.5882352941176471,civic_education,True
premenstrual dysphoric disorder (PMDD),generalized anxiety disorder,0.2857142857142857,civic_education,True
tan⁻¹(1/2),cos–1 (1/g),0.0,civic_education,True
Recombination with other poliovirus strains,Recombining with another enterovirus,0.2222222222222222,civic_education,True
signing of the Geneva Accords,mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.2666666666666666,civic_education,True
The seller may be entitled to a portion of the down payment as restitution for the minor's use of the car.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.2926829268292683,civic_education,True
Anaerobic Respiration,Calvin cycle,0.0,civic_education,True
Political pressure from domestic industries,Regime type,0.0,civic_education,True
"True, False","False, True",0.5,civic_education,False
To provide a direct airway when the upper airway is obstructed.,Prior to neck surgery.,0.1333333333333333,civic_education,True
"$45,000. 00","$55,000. 00",0.5,civic_education,False
a densely populated area with a high concentration of buildings and infrastructure.,the central city and its hinterlands.,0.1111111111111111,civic_education,True
"Corporate social responsibility reporting, Financial accounting","Financial accounting, Environmental management initiatives",0.3636363636363636,civic_education,True
0.05 J,0.005 J,0.5,civic_education,False
prevents backflow of blood from the right ventricle to the right atrium.,is a semilunar valve,0.0,civic_education,True
amplifies specific DNA sequences,was used to demonstrate DNA as the genetic material,0.1538461538461538,civic_education,True
"Scenario 1, Scenario 2","Wrong, Wrong",0.0,civic_education,True
more mixed,useful,0.0,civic_education,True
the balanced budget mandate,Medicare and Medicaid,0.0,civic_education,True
Both the governor approves of it and the board of trustees recommends it,The governor approves of it.,0.5555555555555556,civic_education,True
The decision paved the way for the Civil Rights Movement to gain momentum and achieve further legal victories.,"In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.1212121212121212,civic_education,True
the influence of Enlightenment thought on historical interpretation,the hatred of all things Roman by British scholars in the eighteenth century,0.1904761904761905,civic_education,True
Increasing the temperature,Decreasing the solubility of the gas in water,0.1818181818181818,civic_education,True
Interacting with an antigen presented by an antigen-presenting cell (APC),Interacting with a plasma cell,0.4,civic_education,True
"Sarah, a 17-year-old Caucasian female, who is preoccupied with her weight and body image, and frequently diets.","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.2926829268292683,civic_education,True
125,144,0.0,civic_education,True
the fertile valleys of the Yellow and Yangtze Rivers.,external influences originating from the Indus Valley.,0.125,civic_education,True
Green,Steps,0.0,civic_education,True
Scenario 2,"Wrong, Wrong",0.0,civic_education,False
The ,The buccal nerve,0.5,civic_education,True
cerebral cortex,visual system,0.0,civic_education,True
Option II,Option II if it wants to maximize expected return,0.3636363636363636,civic_education,True
are based on mutual respect and recognition of others as rational agents.,make take into account the interests of all sentient beings.,0.0909090909090909,civic_education,False
"The resident would succeed, because the logging company's activity constituted a commercial purpose and violated the condition of the grant.","The resident would not succeed, because the reservation of the resident's right to terminate would be violative of the rule against perpetuities.",0.4285714285714286,civic_education,True
$82,$85,0.0,civic_education,False
It demonstrated the importance of the frontal lobe in personality and social behavior.,Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.,0.1874999999999999,civic_education,True
The attack on Pearl Harbor,The bombing of the U.S.S. Liberty,0.1818181818181818,civic_education,True
1.69:1,6:5,0.0,civic_education,True
"Measles, Mumps, and Rubella (MMR)",Hepatitis,0.0,civic_education,True
Vascular dementia,Amyotrophic lateral sclerosis,0.0,civic_education,False
"Right, Wrong","Not wrong, Wrong",0.4,civic_education,True
Immersion/Emersion,Introspection,0.0,civic_education,True
Ethical considerations regarding consent and representation,Any risk of invasion of privacy,0.0,civic_education,False
turkey,mulligan,0.0,civic_education,False
"Wrong, Not Wrong","Wrong, Not wrong",1.0,civic_education,True
Vitamin E,Vitamin A,0.5,civic_education,True
kinetic energy of both the alpha particle and the neutron.,gamma radiation.,0.0,civic_education,True
Availability of skilled labor,Availability of sufficient rainfall,0.5,civic_education,True
they will disagree morally only if they disagree about the facts of the case.,they will share all the same moral opinions.,0.2727272727272727,civic_education,True
],Lafayette,0.0,civic_education,True
Carla,Diane,0.0,civic_education,True
"The net force is zero, because the puck is moving with constant velocity.","The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",0.3888888888888889,civic_education,True
Interest rates increase and the dollar depreciates.,Interest rates decrease and the dollar appreciates.,0.7142857142857143,civic_education,False
RC circuit,RC circuit.,1.0,civic_education,True
accumulated wealth and social standing through industrial and financial success,participated in the same leisure pursuits and events of the 'social calendar',0.1818181818181818,civic_education,True
28,17,0.0,civic_education,True
Saline-soaked gauze,Foam stick.,0.0,civic_education,True
G. Evelyn Hutchinson and Charles Elton,Matthias Schleiden and Theodor Schwann,0.1818181818181818,civic_education,True
saving increases by more than $X,consumption increases by more than $X .,0.8333333333333334,civic_education,False
They provide a favorable microenvironment for the reaction to occur.,"They raise the temperature of the reaction mixture, thereby speeding up the conversion of reactants to products.",0.2962962962962963,civic_education,True
New buys,Buyphases.,0.0,civic_education,True
arguing that it violates the fetus's right to have a future,appealing to the fact that a fetus is biologically human and arguing that it is presumptively morally wrong to kill biologically human beings.,0.2352941176470588,civic_education,True
"Scenario 1, Scenario 2","Not wrong, Wrong",0.0,civic_education,True
an unhealthy soul,worldly wisdom,0.0,civic_education,True
"Scenario 1, Scenario 2","Wrong, Wrong",0.0,civic_education,True
1 - (1/2^4 + 1/2^5 + 1/2^6),1/64,0.0,civic_education,True
72 ÷ 9 = [],72 – 9 = 63,0.5714285714285715,civic_education,True
Southeast Asia,Europe,0.0,civic_education,True
],Prescribe sertraline,0.0,civic_education,True
systematic desensitization,modeling,0.0,civic_education,True
cycle,wavelength,0.0,civic_education,True
"Not wrong, Wrong","Not wrong, Wrong",1.0,civic_education,True
equity initiatives,bills of attainder,0.0,civic_education,True
Focusing solely on financial reporting risks.,Establishing a foundation for monitoring.,0.0,civic_education,True
Develops through a series of distinct stages,Cannot be rationalized in every instance,0.0,civic_education,True
Lm • ¬(Lj ∧ Ll),Lm ∨ ~(Jl ∨ Ll),0.4000000000000001,civic_education,True
Verbal fluency,Mental rotation,0.0,civic_education,True
Driving,Alone,0.0,civic_education,True
misrepresenting someone's argument to make it easier to attack,responding to an argument with an expression of derision instead of a counter argument,0.0869565217391304,civic_education,True
Scenario 2,"Wrong, Wrong",0.0,civic_education,True
establishing staggered terms for senators,requiring all spending bills to originate in the House of Representatives,0.0,civic_education,True
[O'Hare],Orlando,0.0,civic_education,True
Explain the matter in the emphasis-of-matter paragraph and clearly state the reasons for drawing attention to it.,Notify the appropriate regulatory authority if the auditor's opinion was modified on the basis of the matter.,0.1764705882352941,civic_education,True
"2,487,300","2,329,333",0.0,civic_education,False
magnetic field,Neither,0.0,civic_education,False
three,three,1.0,civic_education,True
The collapse of communist regimes,The acceptance of many Eastern European countries into the EU,0.2666666666666666,civic_education,True
"True, True","False, True",0.5,civic_education,True
momentum,momentum,1.0,civic_education,False
Buffy may be bisexual or curious about exploring same-sex relationships.,Buffy's fantasies are indicative of a paraphilia.,0.0,civic_education,True
a complex and fluid system with varying degrees of segregation and interaction,a way of marking out the land so that black people had less space for housing,0.1428571428571428,civic_education,True
breach of the implied warranty of quiet enjoyment,partial constructive eviction.,0.0,civic_education,True
less than,none because it sinks.,0.0,civic_education,True
"the winning candidate receives the most votes, even if it's not a majority",the Senate declares the formal winner,0.2105263157894736,civic_education,True
Validate and sanitize user input,Merge tables,0.0,civic_education,True
"Wrong, Wrong","Not wrong, Wrong",0.8,civic_education,True
"Not wrong, Wrong","Not wrong, Not wrong",0.8571428571428571,civic_education,True
27%,51%,0.0,civic_education,True
Kismet,BurpSuit,0.0,civic_education,True
reinforce each other,Both of these,0.0,civic_education,True
Audiences are active participants in the construction of meaning from media messages.,Audiences are more vulnerable and passive than ever before.,0.1904761904761905,civic_education,True
they are participating in a relationship dynamic that undermines their ability to make freely chosen decisions.,they are dominated by their partners insofar as they are not free to do as they please.,0.2424242424242424,civic_education,True
in the nucleus,in the cytosol.,0.6666666666666666,civic_education,True
rootkit,virus,0.0,civic_education,True
"$0 $100,000",$100000 $0,0.5,civic_education,True
act according to universal ethical principles that transcend the law,"define what is right by what they have learned from others, especially authority figures",0.0,civic_education,True
6,7,0.0,civic_education,False
"Scenario 1, Scenario 2","Wrong, Wrong",0.0,civic_education,True
the group process may inadvertently undermine the work being done in individual therapy.,screening procedures for patients may be ignored because a therapist is recommending the group experience,0.1428571428571428,civic_education,True
A large left-sided pneumothorax,Idiopathic fibrosing alveolitis,0.0,civic_education,True
Linear Perspective,Sfumato,0.0,civic_education,True
],The Affordable Care Act of 2010,0.0,civic_education,True
Scenario 2,"Wrong, Wrong",0.0,civic_education,True
easement in gross,easement in gross.,1.0,civic_education,True
cricoid cartilage,cricothyroid membrane.,0.0,civic_education,True
the law,his own will,0.0,civic_education,True
Statistical significance testing,Extraneous variables,0.0,civic_education,True
ethnolinguistic minority groups,regionalist groups.,0.4,civic_education,False
Treaties are international agreements concluded between States with the intention to be legally bound.,Treaties are agreements concluded between States in written form governed either by international or domestic law,0.3999999999999999,civic_education,True
Caregivers,Neighbors,0.0,civic_education,True
"Scenario 1, Scenario 2","Wrong, Wrong",0.0,civic_education,True
"100,000 books","8,000 books",0.5,civic_education,True
P > ATC > MC,P > MR = MC = ATC,0.5714285714285715,civic_education,False
The MAC does not depend on the message length.,Given H(k \| m)H(k∥m) anyone can compute H(k \| m \| w)H(k∥m∥w) for any ww,0.0,civic_education,False
The change in zoning constitutes a material alteration of the contract.,legal title remained in Sloan.,0.125,civic_education,True
58%,64%,0.0,civic_education,False
is unable to live a fulfilling life,is immoral.,0.2222222222222222,civic_education,True
social comparison,norms.,0.0,civic_education,True
"Wrong, Wrong","Not wrong, Wrong",0.8,civic_education,True
The US provided financial assistance and encouraged economic reforms,The US supported public ownership of natural resources,0.2352941176470588,civic_education,False
The Myers-Briggs Type Indicator,Beck Hopelessness Scale,0.0,civic_education,True
hemoglobin structure is conserved across species due to its essential function.,humans are related to chimpanzees but not to dogs,0.0999999999999999,civic_education,True
Satellite imagery,test pits,0.0,civic_education,True
They are equal in magnitude and opposite in direction.,They have different magnitudes and are pointed in opposite directions.,0.4210526315789474,civic_education,True
"improper, as it is unfairly prejudicial and irrelevant to the informer's credibility.","proper, as tending to show the informer's bad character for truthfulness.",0.3478260869565217,civic_education,True
humans are fundamentally free,existence is a myth,0.0,civic_education,True
security and welfare,war and peace.,0.3333333333333333,civic_education,True
equal,less,0.0,civic_education,True
"Yes, because Congress has the power to regulate activities that have a substantial effect on interstate commerce, even if the activity itself is local in nature.","Yes, because Congress has the power to regulate property for the general welfare.",0.4615384615384615,civic_education,True
It emphasized the importance of empirical observation and data analysis in understanding the natural world.,The ideas of the ancient Greeks guided all of their ideas.,0.2307692307692307,civic_education,True
Russia was exposed to new ideas and technologies from the East.,Russia benefited by becoming the administrative center of Mongol political activity.,0.1818181818181818,civic_education,True
spaced repetition,exercising,0.0,civic_education,True
detecting the dimming of a star's light as a planet passes in front of it (transit method),detecting the starlight reflected off the planet,0.25,civic_education,False
traditional gender roles have assigned them primarily to the domestic sphere,industrial capitalism separated the middle class home from the workplace,0.0952380952380952,civic_education,True
Sefer Yetzirah,Gemarah,0.0,civic_education,True
Scenario 1,"Wrong, Not wrong",0.0,civic_education,True
Logically Equivalent,Contradictory,0.0,civic_education,False
1/1836,[|ɣe| = 1.761 x 10^11 T^-1 s^-1],0.0,civic_education,False
I and III only,II only,0.3333333333333333,civic_education,False
"A defendant was walking down a dark street when a stranger jumped out and attacked him. The defendant, fearing for his life, grabbed a nearby stick and struck the attacker, causing him to fall and hit his head on the pavement. The attacker died from his injuries.","A defendant was a reporter for a newspaper and was sent on assignment to another state to cover the story of a mining disaster. He was sitting in his hotel room one evening, trying to get a message to his editor, when a victim knocked at the door. The defendant opened the door, and the victim announced a robbery. The defendant took a lamp from the night table and threw it at the victim. The victim was momentarily stunned, and the defendant then pulled a gun out of his own suitcase and shot the victim to death.",0.2083333333333333,civic_education,True
A conference committee is formed to reconcile the differences.,The bill goes back to each house's committee and restarts the legislative process.,0.1818181818181818,civic_education,False
I and III only,I only,0.6666666666666666,civic_education,True
torture is ineffective and counterproductive.,endorsing a single act of torture requires endorsing torture as a practice.,0.1176470588235294,civic_education,False
"Jean Baptiste Colbert, his finance minister","Cardinal Mazarin, his regent and foreign policy advisor",0.1428571428571428,civic_education,False
"The statute is content-neutral because it applies to all types of speech, regardless of their content.","The statute is a prior restraint on speech, which unconstitutionally vests unfettered discretion in the school board to decide who may use university lecture halls.",0.1951219512195121,civic_education,True
"The state has a legitimate interest in promoting the health and well-being of its citizens, and this funding mechanism is a permissible way to achieve that goal.",The Tenth Amendment reserves to the states plenary power over the allocation of their public funds.,0.1395348837209302,civic_education,True
10,12,0.0,civic_education,True
the part of the mind that mediates between the id and the superego,the self as a whole: an unstable mix of conscious and unconscious elements,0.2307692307692307,civic_education,False
Square wave,Triangular wave,0.5,civic_education,True
what motivates people to destroy the environment.,whether plants have interests.,0.0,civic_education,True
the majority of people who experiment with illegal drugs do not become addicted.,excessive use of illegal drugs is the norm.,0.2857142857142857,civic_education,False
The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,0.8333333333333334,civic_education,False
low task-orientation and low relationship orientation,high task-orientation and low relationship orientation,0.8333333333333334,civic_education,True
