Threshold:0.0, retain_rate:0.5666666666666667, average:0.0
Threshold:0.05, retain_rate:0.5753333333333334, average:0.0005861529551644997
Threshold:0.1, retain_rate:0.6263333333333333, average:0.0067721127991888196
Threshold:0.15000000000000002, retain_rate:0.6866666666666666, average:0.016952864169278763
Threshold:0.2, retain_rate:0.727, average:0.02554126548615413
Threshold:0.25, retain_rate:0.779, average:0.038974882429884075
Threshold:0.30000000000000004, retain_rate:0.8033333333333333, average:0.046191742727185174
Threshold:0.35000000000000003, retain_rate:0.8336666666666667, average:0.05639360251813018
Threshold:0.4, retain_rate:0.8483333333333334, average:0.06180129660867989
Threshold:0.45, retain_rate:0.8873333333333333, average:0.07763166820377133
Threshold:0.5, retain_rate:0.9133333333333333, average:0.08944813893686464
Threshold:0.55, retain_rate:0.9216666666666666, average:0.093460578854056
Threshold:0.6000000000000001, retain_rate:0.9356666666666666, average:0.10060245813261073
Threshold:0.65, retain_rate:0.946, average:0.10617935180354278
Threshold:0.7000000000000001, retain_rate:0.9606666666666667, average:0.1147497226390406
Threshold:0.75, retain_rate:0.971, average:0.12129402694308672
Threshold:0.8, retain_rate:0.9726666666666667, average:0.12241346832438844
Threshold:0.8500000000000001, retain_rate:0.9786666666666667, average:0.12665105608675112
Threshold:0.9, retain_rate:0.983, average:0.12993462213083581
Threshold:0.9500000000000001, retain_rate:0.985, average:0.1315364807755915
