Question,predict,label,rouge_score,score
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Mạch truyện diễn biến theo trình tự thời gian nào?
### Lựa chọn:
A: Hiện tại - quá khứ 
B: [MASKED]
C: Hiện tại - quá khứ - hiện tại 
D: Hiện tại - quá khứ - tương lai","Hiện tại - quá khứ"" chỉ có nội dùng của lựa chọn B",Hiện tại - tương lại,0.3555555641651153,0.25
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Quê hương của Thanh Tịnh là ở đâu?
### Lựa chọn:
A: Ven sông Hương, thành phố Huế 
B: [MASKED]
C: Ven sông Đuống, Gia Lâm (Hà Nội) 
D: Một tỉnh thuộc đồng bằng Bắc Bộ","ố Huế
Câu trả lời: Một tỉnh thuộc đồng b��","Ven sông Hồng, thành phố Hà Nội",0.0851063802838325,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tôi đi học của Thanh Tịnh được viết theo thể loại nào?
### Lựa chọn:
A: [MASKED] 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút"," Truyện ngắn trữ tình
B: Tiểu thuyết
C: Tuỳ bút
D: Phụ thuộc vào thể loại ""Tiểu thuyết"" để đánh giá.
Câu trả lời: Phụ thuộc vào thể loại ""Tiểu thuyết",Bút kí,0.0444444455206394,0.06060606060606061
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?
### Lựa chọn:
A: [MASKED] 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ"," Cũng như tôi, mấy cậu học trò bỡ ngừng đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
B: Trong lúc ông ta đọc t",Lần ấy trường đối với tôi là một nơi xa lạ,0.2047244161367416,0.09302325581395349
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học được miêu tả chủ yếu ở phương diện nào?
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: [MASKED]",,Hành động,0.0,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Biện pháp tu từ nào được tác giả sử dụng trong đoạn văn trên?
### Lựa chọn:
A: A. Nhân hóa. 
B: [MASKED]
C: C. Điệp ngữ. 
D: D. Ẩn dụ.", và D khác nhiều biện pháp tu thuộc nhóm c,B. So sánh.,0.0666666701436042,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Chủ đề của văn bản “Tôi đi học” nằm ở phần nào?
### Lựa chọn:
A: Nhan đề của văn bản 
B: [MASKED]
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên",đầu tiên],Quan hệ giữa các phần của văn bản,0.0769230797886848,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Sức cuốn hút của tác phẩm ""Tôi đi học"" là:
### Lựa chọn:
A: [MASKED] 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C."," Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm.",Bản thân tình huống truyện.,0.1428571492433548,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhân vật chính trong văn bản 'Tôi đi học’ là ai?
### Lựa chọn:
A: [MASKED] 
B: Người thầy giáo
C: Ông đốc 
D: Nhân vật ‘tôi’"," Người thầy giáo
B: Ông đốc
D: Nhân vật ‘tôi’",Người mẹ,0.2222222238779068,0.16666666666666669
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh Tịnh sử dụng trong văn bản ""Tôi đi học”?
### Lựa chọn:
A: Tự sự 
B: [MASKED]
C: Biểu cảm 
D: Kết hợp cả A, B, C",,Miêu tả,0.0,0.0
