Threshold:0.0, retain_rate:0.5486666666666666, average:0.0
Threshold:0.05, retain_rate:0.549, average:1.710322652368367e-05
Threshold:0.1, retain_rate:0.5686666666666667, average:0.0028946243654853934
Threshold:0.15000000000000002, retain_rate:0.6083333333333333, average:0.01088229353645935
Threshold:0.2, retain_rate:0.658, average:0.02354385499880637
Threshold:0.25, retain_rate:0.6946666666666667, average:0.034481427732629945
Threshold:0.30000000000000004, retain_rate:0.7273333333333334, average:0.04539955780561949
Threshold:0.35000000000000003, retain_rate:0.7613333333333333, average:0.058072362159525465
Threshold:0.4, retain_rate:0.7866666666666666, average:0.06855574839785161
Threshold:0.45, retain_rate:0.8083333333333333, average:0.07822603002503507
Threshold:0.5, retain_rate:0.869, average:0.10742769327004925
Threshold:0.55, retain_rate:0.875, average:0.1103720243897791
Threshold:0.6000000000000001, retain_rate:0.8893333333333333, average:0.11791651871860775
Threshold:0.65, retain_rate:0.8963333333333333, average:0.12183896025799083
Threshold:0.7000000000000001, retain_rate:0.9156666666666666, average:0.13339809283667856
Threshold:0.75, retain_rate:0.9263333333333333, average:0.1403628863281517
Threshold:0.8, retain_rate:0.9313333333333333, average:0.1438471282198814
Threshold:0.8500000000000001, retain_rate:0.94, average:0.15004851174731568
Threshold:0.9, retain_rate:0.9543333333333334, average:0.160791386956468
Threshold:0.9500000000000001, retain_rate:0.9583333333333334, average:0.1639686624639973
