Threshold:0.0, retain_rate:0.46166666666666667, average:0.0
Threshold:0.05, retain_rate:0.6366666666666667, average:0.008146987188466919
Threshold:0.1, retain_rate:0.7503333333333333, average:0.017814653156551622
Threshold:0.15000000000000002, retain_rate:0.806, average:0.02516117140739464
Threshold:0.2, retain_rate:0.8373333333333334, average:0.03086603060280567
Threshold:0.25, retain_rate:0.8666666666666667, average:0.037728340777483285
Threshold:0.30000000000000004, retain_rate:0.883, average:0.042184464460936676
Threshold:0.35000000000000003, retain_rate:0.9133333333333333, average:0.051723293435017643
Threshold:0.4, retain_rate:0.932, average:0.05849744495619092
Threshold:0.45, retain_rate:0.9393333333333334, average:0.06138897622277682
Threshold:0.5, retain_rate:0.955, average:0.06844242829676504
Threshold:0.55, retain_rate:0.962, average:0.07187146679016401
Threshold:0.6000000000000001, retain_rate:0.9713333333333334, average:0.07675880626849829
Threshold:0.65, retain_rate:0.9736666666666667, average:0.07806662540089912
Threshold:0.7000000000000001, retain_rate:0.9836666666666667, average:0.08405036014775544
Threshold:0.75, retain_rate:0.9913333333333333, average:0.08902372118832481
Threshold:0.8, retain_rate:0.9963333333333333, average:0.09253057560391541
Threshold:0.8500000000000001, retain_rate:0.9983333333333333, average:0.0939872239058258
Threshold:0.9, retain_rate:0.9996666666666667, average:0.09502727140774365
Threshold:0.9500000000000001, retain_rate:1.0, average:0.09530670676171885
