Threshold:0.0, retain_rate:0.47698149027052683, average:0.0
Threshold:0.05, retain_rate:0.4878974845752254, average:0.0008900131981172731
Threshold:0.1, retain_rate:0.540579022306597, average:0.008295448314607629
Threshold:0.15000000000000002, retain_rate:0.5980066445182725, average:0.01945560939474271
Threshold:0.2, retain_rate:0.6535358329378262, average:0.032911104096202
Threshold:0.25, retain_rate:0.6967252017085904, average:0.04530618053117569
Threshold:0.30000000000000004, retain_rate:0.7261509254864736, average:0.054752166201553175
Threshold:0.35000000000000003, retain_rate:0.7636449928808733, average:0.06821577553577919
Threshold:0.4, retain_rate:0.7921214997626957, average:0.07974494127829039
Threshold:0.45, retain_rate:0.8125296630280019, average:0.08856666943894051
Threshold:0.5, retain_rate:0.8709065021357381, average:0.11587358020092127
Threshold:0.55, retain_rate:0.8818224964404366, average:0.12105989087984632
Threshold:0.6000000000000001, retain_rate:0.901281442809682, average:0.13091956080662484
Threshold:0.65, retain_rate:0.9093497864261983, average:0.13531391333856668
Threshold:0.7000000000000001, retain_rate:0.9335548172757475, average:0.14914315951214285
Threshold:0.75, retain_rate:0.9482676791646891, average:0.1582312078113146
Threshold:0.8, retain_rate:0.9534883720930233, average:0.1616524696719089
Threshold:0.8500000000000001, retain_rate:0.9596582819174181, average:0.16581372001676326
Threshold:0.9, retain_rate:0.965828191741813, average:0.17035432527066205
Threshold:0.9500000000000001, retain_rate:0.9682012339819649, average:0.17220968607446896
