,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Mạch truyện diễn biến theo trình tự thời gian nào?
### Lựa chọn:
A: Hiện tại - quá khứ 
B: Hiện tại - tương lại
C: [MASKED] 
D: Hiện tại - quá khứ - tương lai","n là: **Hiện tại - Quá khứ - Tương lai**. 
",Hiện tại - quá khứ - hiện tại,0.47058823704719543
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Quê hương của Thanh Tịnh là ở đâu?
### Lựa chọn:
A: Ven sông Hương, thành phố Huế 
B: [MASKED]
C: Ven sông Đuống, Gia Lâm (Hà Nội) 
D: Một tỉnh thuộc đồng bằng Bắc Bộ","ải:**

Thanh Tịnh quê ở Gia Lai. 
","Ven sông Hồng, thành phố Hà Nội",0.0
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tôi đi học của Thanh Tịnh được viết theo thể loại nào?
### Lựa chọn:
A: [MASKED] 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút"," **[D: Tuỳ bút]** 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút 


**Giải thích:**

* **Câu hỏi:**  Câu hỏi hỏi về thể loại của tác phẩm ""Tôi đi học của Thanh Tịnh"".
* **Lựa chọn A:**  ""Tuỳ bút"" là thể loại phù hợp với tác phẩm ""Tôi đi học của Thanh Tịnh"". 


 
",Bút kí,0.0
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: [MASKED] 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ",,"Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập",0.0
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học được miêu tả chủ yếu ở phương diện nào?
### Lựa chọn:
A: [MASKED] 
B: Tính cách
C: Tâm trạng 
D: Hành động"," **[Tâm trạng]** 
B: Tính cách
C: Tâm trạng 
D: Hành động 


**Giải thích:**

Câu hỏi yêu cầu miêu tả phương diện chủ yếu của nhân vật chính trong văn bản. 

* **A: Tâm trạng** là phương diện chính xác nhất để miêu tả nhân vật chính trong văn bản ""Tôi đi học"". 

* **B: Tính cách** và **C: Tâm trạng** là",Ngoại hình,0.0
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Biện pháp tu từ nào được tác giả sử dụng trong đoạn văn trên?
### Lựa chọn:
A: [MASKED] 
B: B. So sánh.
C: C. Điệp ngữ. 
D: D. Ẩn dụ."," **C. Điệp ngữ.** 

**Giải thích:**

* **Điệp ngữ** là một biện pháp tu từ trong văn học sử dụng từ ngữ, cụm từ, hoặc cấu trúc ngữ pháp giống nhau để tạo hiệu ứng nghệ thuật, tăng sức gợi hình, gợi ý ý nghĩa. 

* **So sánh** là biện pháp tu từ dùng để so sánh hai đối tượng, sự vật, hay hiện tượng để tạo ra sự liên kết, sự tương",A. Nhân hóa.,0.0
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Chủ đề của văn bản “Tôi đi học” nằm ở phần nào?
### Lựa chọn:
A: [MASKED] 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên"," **Cơ sở hành động** 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên 


**Giải thích:**

* **A: Cơ sở hành động:**  Chủ đề của văn bản là hành động đi học,  là cơ sở hành động của văn bản. 
* **B: Quan hệ giữa các phần của văn bản:**  Quan",Nhan đề của văn bản,0.11267605423927307
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Sức cuốn hút của tác phẩm ""Tôi đi học"" là:
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: [MASKED] 
D: Cả A, B, C.","ch miêu tả về cuộc sống của người dân quê** là yếu tố khiến tác phẩm ""Tôi đi học"" cuốn hút người đọc. 

Các lựa chọn khác không phù hợp","Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả.",0.0833333358168602
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhân vật chính trong văn bản 'Tôi đi học’ là ai?
### Lựa chọn:
A: Người mẹ 
B: Người thầy giáo
C: [MASKED] 
D: Nhân vật ‘tôi’","ăn bản này kể về hành trình của ""tôi"" khi đi học. Do đó, nhân vật chính là ""tôi"". 
",Ông đốc,0.0
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh Tịnh sử dụng trong văn bản ""Tôi đi học”?
### Lựa chọn:
A: Tự sự 
B: [MASKED]
C: Biểu cảm 
D: Kết hợp cả A, B, C"," bản, kể về hành trình của tác giả khi đi học.
* **Lập luận:**  Là phương thức biểu đạt logic, sử dụng các luận điểm, dẫn chứng để giải thích, phân tích. 
* **Biểu cảm:** Là phương thức",Miêu tả,0.0
