Question,predict,label,rouge_score,score
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Vì sao toàn cầu hóa là một xu thế [MASKED]
### Lựa chọn:
A: Kết quả của việc mở rộng các tổ chức liên kết quốc tế 
B: Kết quả của việc thống nhất thị trường giữa các nước đang phát triển
C: Hệ quả của việc mở rộng quan hệ thương mại giữa các cường quốc 
D: Hệ quả của cuộc cách mạng khoa học-kỹ thuật hiện đại"," kết quả của việc mở rộng các tổ chức liên kết quốc tế

Giải thích: 

- Toàn cầu hóa là quá trình tăng cường giao lưu, liên kết, hội nhập và hội nhập giữa các quốc gia, các vùng lãnh thổ và các dân tộc trên thế giới. 

- Xu thế toàn cầu hóa có nguyên nhân và hệ quả sâu sắc, trong đó nguyên nhân bao gồm các yếu tố như: 

+ Mở rộng các tổ chức liên kết quốc tế: Các tổ","khách quan, một thực tế không thể đảo ngược?",0.0217391308397054,0.022222222222222223
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Các giao dịch của Doanh nghiệp, Hợp tác xã lâm vào tình trạng phá sản được thực hiện trong khoảng [MASKED]
### Lựa chọn:
A: Tặng, cho bất động sản, động sản cho người khác 
B: Thanh toán các khoản nợ chưa đến hạn
C: Thế chấp, cầm cố tài sản của Doanh nghiệp, Hợp tác xã 
D: Tất cả đều đúng"," 3 tháng trước khi nộp đơn yêu cầu mở thủ tục phá sản.

Vậy đáp án đúng là: 3 tháng.",thời ba tháng trước ngày tòa án thụ lý đơn yêu cầu mở thủ tục phá sản coi là vô hiệu,0.5116279125213623,0.5365853658536585
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Diện tích toàn phần hình lập [MASKED]
### Lựa chọn:
A: 150 cm^{3} 
B: 150 cm^{2}
C: 150 cm^{3} 
D: 25 cm^{2}"," là hình lập phương, nên diện tích toàn phần (hay thể tích) của nó được đo bằng đơn vị thể tích, là cm^{3}.

Vậy đáp án đúng là: C: 150 cm^{3}.",phương có cạnh 5 cm là:,0.0888888910412788,0.1081081081081081
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nếu lãi suất thực tế là 4%, tỷ lệ lạm phát là 6%, và [MASKED]
### Lựa chọn:
A: 1% 
B: 2%
C: 3% 
D: nan"," tỷ lệ tăng trưởng kinh tế là 2%

Lời giải:

Lãi suất thực tế (r) = lãi suất danh nghĩa (i) - tỷ lệ lạm phát (π)

4 = i - 6

i = 10

Tỷ lệ tăng trưởng kinh tế (g) = lãi suất danh nghĩa (i) - tỷ lệ lạm phát (π)

g = 10 - 6 = 4

Tuy nhiên, trong câu hỏi, chúng ta được","thuế suất là 20%, mức lãi suất thực tế sau thuế là bao nhiêu?",0.1428571492433548,0.136986301369863
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Từ sau Chiến tranh thế giới thứ hai phong trào giải phóng [MASKED]
### Lựa chọn:
A: Bắc Phi 
B: Nam Phi
C: Đông Phi 
D: Tây Phi"," là phong trào giải phóng [C]. Đông Phi

Giải thích: Phong trào giải phóng Đông Phi là phong trào đấu tranh của các dân tộc ở châu Phi nhằm giành độc lập và tự do khỏi sự cai trị của các cường quốc phương Tây, đặc biệt là các nước thuộc địa của Pháp, Anh, Bỉ, Bồ Đào Nha và Italy. Phong trào này đã diễn ra từ sau Chiến tranh thế giới thứ hai và đạt được nhiều thành công quan",dân tộc ở châu Phi nổ ra sớm nhất ở khu vực nào?,0.112149529159069,0.12631578947368421
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tham số nào của Bus [MASKED]
### Lựa chọn:
A: Dải thông của Bus 
B: Tần số của Bus
C: Độ rộng của Bus 
D: Cả ba tham số trên"," là Dải thông của Bus, Tần số của Bus, Độ rộng của Bus.

Câu trả lời đúng: D

Lời giải: 

Bus là một loại giao diện truyền thông trong mạng máy tính, được sử dụng để kết nối các thiết bị trong mạng. 

- Dải thông của Bus: Là tốc độ truyền dữ liệu trên bus, thường được đo bằng đơn vị bps (bit/phút) hoặc Mbps (megabit/phút).

- Tần số",cho biết đường dây của nó?,0.0238095242530107,0.02702702702702703
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Thời kỳ tồn tại của vương quốc nào được coi [MASKED]
### Lựa chọn:
A: Vương triều III Ur 
B: Vương quốc Tân Babylon
C: Vương quốc Akkad 
D: Vương quốc Cổ Babylon"," là thời cổ đại?

Câu trả lời đúng: C: Vương quốc Akkad",là thời kỳ huy hoàng nhất trong lịch sử Lưỡng Hà?,0.2068965584039688,0.17391304347826086
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Theo Bộ luật Dân sự 2015 “tài sản” được [MASKED]
### Lựa chọn:
A: Tài sản là vật, tiền, giấy tờ có giá và quyền tài sản 
B: Tài sản là bất động sản
C: Tài sản là vật, tiền, giấy tờ có giá và quyền tài sản bao gồm bất động sản và động sản. Bất động sản và động sản có thể là tài sản hiện có và tài sản hình thành trong tương lai 
D: nan"," định nghĩa như sau:

""Tài sản bao gồm tài sản hiện có và tài sản hình thành trong tương lai là vật, tiền, giấy tờ có giá và quyền tài sản. Bất động sản và động sản có thể là tài sản hiện có và tài sản hình thành trong tương lai""

Vậy, đáp án đúng là C: Tài sản là vật, tiền, giấy tờ có giá và quyền tài sản bao gồm bất động sản và động sản. Bất động sản và động sản",hiểu như thế nào và bao gồm những gì?,0.0824742242693901,0.0851063829787234
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Yếu tố nào sau đây là yếu tố bắt [MASKED]
### Lựa chọn:
A: Tên chứng từ 
B: Phương thức thanh toán
C: Mã số thuế 
D: Thời điểm trả tiền"," buộc phải có trong hóa đơn điện tử?

Đáp án: A: Tên chứng từ",buộc của bản chứng từ? Chọn một câu trả lời,0.3076923191547394,0.25
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nguyên tử của nguyên tố nào có bán [MASKED]
### Lựa chọn:
A: S 
B: K
C: P 
D: Al"," kính nguyên tử nhỏ nhất là nguyên tử Hydro (H).

Vậy câu trả lời đúng là A: H.",kính lớn nhất trong các nguyên tử sau đây?,0.3448275923728943,0.2962962962962963
