predict,label,score
"In violation of ethical guidelines, as it may create conflicts of interest and bias.",unethically by accepting dual roles.,0.0
"The perspective on terrorism can significantly shape a government's response, depending on how it categorizes the threat. If viewed through the lens of warfare, governments might employ military strategies, including preemptive strikes and targeted assassinations. If terrorism is framed as a criminal act, law enforcement and judicial measures such as detaining suspects and conducting investigations become the primary tools. Alternatively, if the threat is seen as a disease, public health interventions like surveillance and community outreach might be prioritized. Thus, the conceptualization of terrorism can lead to a variety of policy responses ranging from aggressive military action to more nuanced social and legal strategies.","Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.",0.11560693641618497
hearsay.,hearsay.,1.0
"No, obligations under international law prevail over domestic law",Only customary international law prevails over domestic law,0.5882352941176471
Pre-Menstrual Dysphoric Disorder (PMDD),generalized anxiety disorder,0.28571428571428575
45°,cos–1 (1/g),0.0
Acquisition of new genes from other viruses through recombination,Recombining with another enterovirus,0.0
1964 Johnson-Patrick Act,mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.0
"The minor's disaffirmation of the contract is valid, but the seller may be entitled to recover the reasonable value of the use of the car during the time it was in the minor's possession.",The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.18518518518518517
**Anaerobic Respiration**,Calvin cycle,0.0
Political power dynamics and the desire for domestic industries to maintain competitive advantages,Regime type,0.0
"True, False","False, True",0.5
To facilitate breathing when alternative methods are not sufficient or when there is a need for prolonged mechanical ventilation.,Prior to neck surgery.,0.08695652173913043
"$45,000. 00","$55,000. 00",0.5
"a densely populated region with high levels of infrastructure development, typically including the central city, its suburbs, and adjacent areas with integrated economic, social, and transportation systems.",the central city and its hinterlands.,0.24242424242424243
Corporate Social Responsibility (CSR) reporting,"Financial accounting, Environmental management initiatives",0.0
0.1 J,0.005 J,0.5
is the tricuspid valve.,is a semilunar valve,0.5
uses short DNA primers and a thermostable DNA polymerase to replicate specific DNA sequences in vitro.,was used to demonstrate DNA as the genetic material,0.16
Scenario 1,"Wrong, Wrong",0.0
disordered or unpredictable,useful,0.0
(Balanced Budget Act),Medicare and Medicaid,0.0
The condition is that both the governor approves of it and the board of trustees recommends it.,The governor approves of it.,0.45454545454545453
The legal decision led to the immediate integration of all schools across the United States.,"In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.06666666666666667
the spread of religious skepticism among the educated elite of Britain in the eighteenth century,the hatred of all things Roman by British scholars in the eighteenth century,0.42857142857142855
Increasing the total surface area available for diffusion,Decreasing the solubility of the gas in water,0.125
Receiving signals from antigen-presenting cells,Interacting with a plasma cell,0.0
"20-year-old college student, with a history of perfectionism and a fear of gaining weight, who often skips meals and engages in excessive exercise","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.1276595744680851
130,144,0.0
5000 years ago,external influences originating from the Indus Valley.,0.0
Course,Steps,0.0
