Threshold:0.0, retain_rate:0.08833333333333333, average:0.0
Threshold:0.05, retain_rate:0.16233333333333333, average:0.016711251429591394
Threshold:0.1, retain_rate:0.44166666666666665, average:0.05455212758958351
Threshold:0.15000000000000002, retain_rate:0.696, average:0.08000367876788982
Threshold:0.2, retain_rate:0.8656666666666667, average:0.09798871535009203
Threshold:0.25, retain_rate:0.945, average:0.10833328855854236
Threshold:0.30000000000000004, retain_rate:0.972, average:0.11289318240168673
Threshold:0.35000000000000003, retain_rate:0.984, average:0.11544185794169609
Threshold:0.4, retain_rate:0.9896666666666667, average:0.11695460278240657
Threshold:0.45, retain_rate:0.9933333333333333, average:0.11809413159282306
Threshold:0.5, retain_rate:0.997, average:0.11943916625557727
Threshold:0.55, retain_rate:0.998, average:0.11985019341241006
Threshold:0.6000000000000001, retain_rate:0.9986666666666667, average:0.12014424857540994
Threshold:0.65, retain_rate:0.9993333333333333, average:0.12047462907361485
Threshold:0.7000000000000001, retain_rate:0.9996666666666667, average:0.1206618059834997
Threshold:0.75, retain_rate:0.9996666666666667, average:0.1206618059834997
Threshold:0.8, retain_rate:1.0, average:0.12088825204817184
Threshold:0.8500000000000001, retain_rate:1.0, average:0.12088825204817184
Threshold:0.9, retain_rate:1.0, average:0.12088825204817184
Threshold:0.9500000000000001, retain_rate:1.0, average:0.12088825204817184
