predict,label,score,Subject,retained
Can ngăn A và giúp B.,Cùng với A đánh B cho vui.,0.3077000081539154,civic_education,True
Gọi điện cho gia đình của em đó và nhờ sự giúp đỡ của người lớn.,Đèo em bé đó đến gặp công an.,0.166700005531311,civic_education,True
Không trung thực.,Không tôn trọng lẽ phải.,0.25,civic_education,True
"Làm giàu bằng chính sức lực, tài năng của mình","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0,civic_education,True
Chính trực. ,Khiêm tốn.,0.0,civic_education,True
Sang khuyên nhà hàng xóm tắt máy vì đêm đã khuya nên để mọi người ngủ.,Sang đánh nhà hàng xóm.,0.3810000121593475,civic_education,True
"Nói chuyện to, cười đùa trong lớp học ",Tự nhận lỗi về mình,0.0,civic_education,True
Biết ăn biết ở hơn người giàu sang,Lời nói không mất tiền mua,0.0,civic_education,True
Giữ lời hứa. ,Lòng vị tha.,0.0,civic_education,True
Giữ chữ tín. ,Liêm khiết.,0.0,civic_education,True
Văn hóa.,Công bằng.,0.0,civic_education,True
Giúp cho mọi người hoàn thiện mình hơn.,Giúp cho mọi người tôn trọng nhau hơn.,0.625,civic_education,False
"Đất có lề, quê có thói",Phép vua thua lệ làng,0.0,civic_education,True
Giúp cho mọi người tôn trọng nhau hơn.,Giúp cho mọi người gần nhau hơn.,0.800000011920929,civic_education,False
Tình anh em.,Tình đồng chí.,0.3332999944686889,civic_education,True
"Không có sự ghen tị, đố kỵ.",Phù hợp với nhau về quan niệm sống.,0.0,civic_education,True
Biết phê bình nhau trong mọi trường hợp.,Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.631600022315979,civic_education,False
Báo cáo với giáo viên để xử lý đúng quy định. ,Nói với cô giáo để bạn bị phạt.,0.3158000111579895,civic_education,True
Gia đình bà E sống ích kỉ.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.3635999858379364,civic_education,True
Đảng Cộng sản Việt Nam.,Nhà nước.,0.0,civic_education,True
"Gây mất trật tự, an toàn xã hội.","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.3810000121593475,civic_education,True
"Nghiện ma túy, nghiện game không lành mạnh.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.0,civic_education,True
Tệ nạn xã hội. ,Vi phạm quy chế.,0.0,civic_education,True
Tử hình. ,Cảnh cáo.,0.0,civic_education,True
Phạt hành chính.,Phạt tù.,0.4000000059604645,civic_education,False
2-3 giờ đầu.,1 tuần.,0.2222000062465667,civic_education,True
Viêm gan B. ,Cúm gà.,0.0,civic_education,True
Sốt kéo dài trên 1 tháng.,Sút cân trên 10% trọng lượng cơ thể.,0.3528999984264374,civic_education,True
Quan hệ tình dục không an toàn,"Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.0,civic_education,True
"Tham gia các hoạt động phòng, chống tại địa phương.",Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.1599999964237213,civic_education,True
"Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an.",Cá nhân.,0.0,civic_education,True
Ngày 10 tháng 10,Ngày 14 tháng 10,0.875,civic_education,False
Không có hành động nào trong các hành động trên.,Dùng dao để đánh nhau.,0.0,civic_education,True
"Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác chống người thi hành công vụ có độ nguy hiểm cao.","Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.",0.1481000036001205,civic_education,True
Thuốc trừ sâu,Vũ khí,0.0,civic_education,True
Từ 10 năm đến 15 năm. ,Từ 1 năm đến 5 năm.,0.8888999819755554,civic_education,False
Chiếm hữu hoàn toàn và chiếm hữu không hoàn toàn.,Chiếm hữu của chủ sở hữu.,0.375,civic_education,True
Quyền sở hữu.,Quyền chiếm hữu.,0.666700005531311,civic_education,False
Công nhận và đảm bảo.,Bảo hộ và chịu trách nhiệm.,0.1817999929189682,civic_education,True
"Tuyên truyền, giáo dục công dân cách thức bảo vệ quyền sở hữu của mình và ý thức tôn trọng quyền sở hữu của người khác.",Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.,0.2222000062465667,civic_education,True
Con người tác động vào tự nhiên để tạo ra các sản phẩm phù hợp với như cầu của mình. ,"Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.",0.1875,civic_education,True
Tạo ra các giá trị vật chất và tinh thần ,Thúc đẩy tăng trưởng kinh tế.,0.0,civic_education,True
Việc làm của người lao động. ,Thu nhập của người lao động.,0.666700005531311,civic_education,False
Công cụ lao động.,Kết cấu hạ tầng của sản xuất.,0.0,civic_education,True
Máy móc hiện đại.,Đối tượng lao động.,0.0,civic_education,True
Hai điều kiện,Hai điều kiện,1.0,civic_education,False
Giá trị sử dụng,Giá cả và giá trị sử dụng,0.7272999882698059,civic_education,False
Lao động của người sản xuất hàng hóa kết tinh trong hàng hóa,Chi phí làm ra hàng hóa,0.2105000019073486,civic_education,True
Người sản xuất mang hàng hóa ra thị trường bán,Người sản xuất cung ứng hàng hóa phù hợp với nhu cầu nhu cầu của người tiêu dùng,0.3571000099182129,civic_education,True
Không khí,Nước máy,0.0,civic_education,True
Công bằng,Khoan dung,0.0,civic_education,True
