Threshold:0.0, retain_rate:0.578, average:0.0
Threshold:0.05, retain_rate:0.581, average:0.0001732071138153249
Threshold:0.1, retain_rate:0.6153333333333333, average:0.004412296828475828
Threshold:0.15000000000000002, retain_rate:0.6636666666666666, average:0.013135509880747041
Threshold:0.2, retain_rate:0.7146666666666667, average:0.024519682785412708
Threshold:0.25, retain_rate:0.7626666666666667, average:0.03724790219269639
Threshold:0.30000000000000004, retain_rate:0.7913333333333333, average:0.04595299069506838
Threshold:0.35000000000000003, retain_rate:0.825, average:0.05744234328920191
Threshold:0.4, retain_rate:0.839, average:0.06261271338378525
Threshold:0.45, retain_rate:0.866, average:0.07353240955302677
Threshold:0.5, retain_rate:0.8993333333333333, average:0.08895385466941291
Threshold:0.55, retain_rate:0.9043333333333333, average:0.09140833018782216
Threshold:0.6000000000000001, retain_rate:0.9163333333333333, average:0.09769487062793682
Threshold:0.65, retain_rate:0.9226666666666666, average:0.10118851145847857
Threshold:0.7000000000000001, retain_rate:0.939, average:0.11107649979732712
Threshold:0.75, retain_rate:0.945, average:0.1150015166880172
Threshold:0.8, retain_rate:0.9493333333333334, average:0.11799736658446072
Threshold:0.8500000000000001, retain_rate:0.9563333333333334, average:0.12302854660808853
Threshold:0.9, retain_rate:0.9613333333333334, average:0.1268822469809267
Threshold:0.9500000000000001, retain_rate:0.963, average:0.128258670916521
