,Question,Answer,Label,rouge_score
0,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: In what country's context was the edict issued?
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
D: [MASKED]","
D: In the context of the Nguyen dynasty's rule

So, the question would be:

### Question: In what country's context was the edict issued during the rule of the Nguyen dynasty?
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
",When the Tay Son dynasty collapsed,0.15000000596046448
1,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The answer does not correctly reflect the attitude of the Northern scholars:
### Choices:
A: Scholars who hide their names waste their talents. 
B: Officials keep to themselves and do not dare to speak frankly.
C: [MASKED] 
D: Many people admired King Quang Trung's talent and recommended him.","

C: Northern scholars openly share their knowledge and engage in intellectual debates.

This choice reflects a positive and open attitude towards knowledge sharing and intellectual growth, which contrasts with the negative implication in the question that the Northern scholars' attitude is not correctly reflected in the given answer. The other options either describe a negative attitude (A and B) or a positive one related to a different context (D), but not directly addressing the attitude of",Many talented people are still unwilling to help the country.,0.04040404036641121
2,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: What does the excerpt ""An era in poetry"" discuss?
### Choices:
A: Works of the New Poetry movement. 
B: Spirit of New Poetry
C: Vietnamese realism. 
D: [MASKED]","
""The influence and impact of the era in poetry on subsequent literary movements.""

So, the completed question would be:

### Question: What does the excerpt ""An era in poetry"" discuss?
### Choices:
A: Works of the New Poetry movement.
B: Spirit of New Poetry
C: Vietnamese realism.
D: The influence and impact of the era in poetry on subsequent literary movements.

This question",Art for humanity,0.0
3,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The poetic soul ""heroic"", Hoai Thanh used to refer to which poet in the article ""An era in poetry""?
### Choices:
A: Luu Trong Lu 
B: [MASKED]
C: Huy Thong 
D: Nguyen Nhuoc Phap","
B: Phan Thach",Nguyen Binh,0.0
4,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: ""Strange"" poetic soul, Hoai Thanh used to refer to which poet in the article ""An era in poetry""
### Choices:
A: Xuan Dieu 
B: [MASKED]
C: Che Lan Vien 
D: Han Mac Tu","
B: Phan Thiết

So, the question would be: ""Strange"" poetic soul, Hoai Thanh used to refer to which poet in the article ""An era in poetry""?
### Choices:
A: Xuan Dieu 
B: Phan Thiết
C: Che Lan Vien 
D: Han Mac Tu

Please note that the answer is based on the provided choices and the context. The actual answer",Huy Can,0.0
5,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: In what method is the excerpt ""I have a dream"" written?
### Choices:
A: Discussion 
B: Narrative
C: Expression 
D: [MASKED]","
D: Speech

So, the question would be: In what method is the excerpt ""I have a dream"" written?
### Choices:
A: Discussion
B: Narrative
C: Expression
D: Speech

The excerpt ""I have a dream"" is famously written in the method of a Speech. This phrase is from Martin Luther King Jr.' explanation of his vision for racial equality and justice",Politics,0.0
6,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The phrase ""rustic"" poetry, Hoai Thanh used to refer to which poet in the article ""An era in poetry""
### Choices:
A: [MASKED] 
B: Nguyen Binh
C: Luu Trong Lu 
D: To Huu","

### Answer: To Huu

This conclusion is based on the context provided. However, without the actual article, this is an educated guess. Normally, the correct answer would be directly derived from the specific information in the article.

### Explanation:

In the context of the question, ""rustic"" poetry refers to a specific type of poetry, and Hoai Thanh, as the author of the article, uses this term to describe a",Nguyen Nhuoc Phap,0.0
7,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The word ""pure"" in poetry, Hoai Thanh used to refer to which poet in the article ""An era in poetry""?
### Choices:
A: [MASKED] 
B: Luu Trong Lu
C: Nguyen Nhuoc Phap 
D: Nguyen Binh","

A: Nguyen Binh

So, the question would be: The word ""pure"" in poetry, Hoai Thanh used to refer to which poet in the article ""An era in poetry""?

### Answer: Nguyen Binh",The Lu,0.04878048598766327
8,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: In “A Poetic Era”, Hoai Thanh wrote: “Our life lies in the word I. Losing breadth, we seek depth. But the further we go, the colder we feel”. This is Hoai Thanh’s assessment of the poetic soul of the “New Poetry” writers in the declining period. The phrase “but the fairy cave has closed”, which poet does he refer to?
### Choices:
A: The Lu 
B: Xuan Dieu
C: Luu Trong Lu 
D: [MASKED]","
D: Nguyen Binh Thanh

Hoai Thanh, in his assessment of the poetic soul of the ""New Poetry"" writers in the declining period, refers to Nguyen Binh Thanh with the phrase ""but the fairy cave has closed"". This suggests that Nguyen Binh Thanh'ainexperienced a decline or end in his poetic journey, similar to the metaphor of a fairy cave",Han Mac Tu,0.0
9,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Who is the ""seeking the wise"" aimed at here?
### Choices:
A: [MASKED] 
B: Talented person
C: virtuous person 
D: A person of virtue and talent","

A: The ""seeking the wise"" is aimed at a [MASKED].

Based on the provided choices, the most comprehensive answer would be:

D: A person of virtue and talent

This implies that the ""seeking the wise"" is aimed at individuals who not only have talent but also possess virtue, suggesting a holistic approach to personal growth and wisdom.",Good-natured person,0.03030303120613098
10,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Who is the author of the excerpt ""I have a dream""?
### Choices:
A: Alexander Sergeyevich Pushkin 
B: Martin Luther King
C: Rabindranath Tagore 
D: [MASKED]","
B: Martin Luther King

So, the completed question is:

### Question: Who is the author of the excerpt ""I have a dream""?
##eed: A: Alexander Sergeyevich Pushkin, B: Martin Luther King, C: Rabindranath Tagore, D: Martin Luther King

### Answer: B: Martin Luther King

Martin Luther King Jr. is the author of the famous excerpt ""I",Victor Hugo,0.0
11,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: What does the sentence ""The appearance of a wise man in life is like a bright star in the sky"" convey?
### Choices:
A: Northern talents are as numerous as the stars in the sky. 
B: The virtuous people who followed Quang Trung were as numerous as the stars in the sky.
C: [MASKED] 
D: Compare talented people to stars. Emphasize the position and role of talented people.","

C: The wisdom of a man in life is as significant and noticeable as a bright star in the sky.

This choice best fits the given sentence as it conveys the same idea as the original sentence. It suggests that a wise man, like a bright star, stands out and has a significant role or impact in life. The other choices either refer to different subjects (talents, Quang Trung'aine people) or focus on comparison and emphasis, which",Good people in Bac Ha are very rare.,0.021052632480859756
12,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The excerpt “I have a dream” is in:
### Choices:
A: [MASKED] 
B: Our Man in Havana
C: Walk to Freedom, The Montgomery Story 
D: A bear named Paddington, with illustrations by Peggy Fortnum","
A: Martin Luther King Jr.'s ""I Have a Dream"" speech

So, the filled question would be:
### Question: The excerpt “I have a dream” is in:
A: Martin Luther King Jr.'s ""I Have a Dream"" speech
B: Our Man in Havana
C: Walk to Freedom, The Montgomery Story
D: A bear named Paddington, with illustrations by Peggy Fortnum
",Breakfast with diamonds,0.025316456332802773
13,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Who did the first female reporter write about?
### Choices:
A: Miss Manh Manh 
B: Nguyen Thi Binh
C: [MASKED] 
D: Ho Xuan Huong","

C: Marie Curie

So, the question would be:

### Question: Who did the first female reporter write about, Marie Curie?

### Choices:
A: Miss Manh Manh 
B: Nguyen Thi Binh
C: Marie Curie
D: Ho Xuan Huong

Please note that this is a hypothetical scenario. The actual answer could vary based on the context. In reality,",Truong My Hoa,0.025974025949835777
14,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Mrs. Kiem began to become famous when:
### Choices:
A: Famous for his speeches, writings on gender equality and new poetry 
B: Write poetry
C: [MASKED] 
D: Write","
C: Organized a significant event or published a groundbreaking work

So, the completed question would be:

Mrs. Kiem began to become famous when:
A: Famous for his speeches, writings on gender equality and new poetry
B: Write poetry
C: Organized a significant event or published a groundbreaking work
D: Write

In this context, the most suitable answer would be C, as it logically fits the",Write an article to support new poetry,0.07407407462596893
15,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: What is Mrs. Kiem's forte?
### Choices:
A: Verse 
B: Speech
C: Interview 
D: [MASKED]","
D: Writing

So, the completed question would be:

What is Mrs. Kiem's forte?
### Choices:
A: Verse
B: Speech
C: Interview
D: Writing

Please note that without specific context or background information about Mrs. Kiem, it's impossible to definitively determine her forte. The answer provided is based on the format of the question and the given choices.",Criticize,0.0
16,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: At the 2020 Tokyo Paralympics, the best athletes were:
### Choices:
A: Valve Gate 
B: [MASKED]
C: Hanry 
D: Xnai – do","
B: Zhang Zeng Yu

So the question would be:

At the 2020 Tokyo Paralympics, the best athletes were:
A: Valve Gate
B: Zhang Zeng Yu
C: Hanry
D: Xnai – do

Please note that the context here is a bit unclear as the names provided do not directly relate to a known event or athlete. The correct answer is based on the",Henry,0.0235294122248888
