Question,predict,label,rouge_score,score
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong [MASKED]
### Lựa chọn:
A: Báo với cô giáo chủ nhiệm để tìm cách giải quyết. 
B: Mặc kệ vì không liên quan đến mình.
C: Cùng với A đánh B cho vui. 
D: Chạy đi chỗ khác chơi."," C: Cùng với A đánh B cho vui.

Câu hỏi hoàn chỉ: ""Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong [MASKED] đọc thế nào?""
",lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?,0.1954887211322784,0.11111111111111112
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây [MASKED]
### Lựa chọn:
A: Lờ đi chỗ khác và coi như không biết. 
B: Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.
C: Đèo em bé đó đến gặp công an. 
D: Đạp thật nhanh về nhà."," đạp thật nhanh về nhà, đồng nghị: D: Đạp thật nhanh về nhà.",tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?,0.1411764770746231,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu thành ngữ: Gió chiều nào theo [MASKED]
### Lựa chọn:
A: Không tôn trọng lẽ phải. 
B: Không trung thực.
C: Không chín chắn. 
D: Không có ý thức."," không chín chắn?
Cho đồ равноценное выражение из опции: C: Không chín chắn.",chiều ấy nói về người như thế nào?,0.0869565233588218,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Em rèn tính liêm [MASKED]
### Lựa chọn:
A: Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi 
B: Làm giàu bằng chính sức lực, tài năng của mình
C: Nhặt được của rơi trả lại cho người bị mất 
D: Tất cả đáp án trên"," được nhặt được của rơi trả lại cho người bị mất, nên đồn này được đổ bỏ thành:

### Câu hỏi: Em rèn tính liêm được nhặt đư",khiết trong học tập là:,0.0754716992378234,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Không hám danh, hám lợi, không [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Khiêm tốn."," [C: Lẽ phải].

Câu hỏi: ""Không hám danh, nhưng hám lợi, phải không [C: Lẽ phải], rồi gì?""","nhỏ nhen, ích kỉ được gọi là?",0.1866666674613952,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc [MASKED]
### Lựa chọn:
A: Mặc kệ. 
B: Sang đánh nhà hàng xóm.
C: Sang chửi nhà hàng xóm. 
D: Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.",", sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.

Sắp xếp lựa chọn: D

Có thể điền ""khuyên họ tắt máy"" đối với <MASKED> ",hát karaoke. Trong tình huống này em sẽ làm gì?,0.1071428582072258,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những hành vi nào sau đây [MASKED]
### Lựa chọn:
A: Đi nhẹ, nói khẽ trong bệnh viện 
B: Châm chọc, chế giễu người khuyết tật.
C: Biết lắng nghe ý kiến của mọi người. 
D: Tự nhận lỗi về mình"," châm chọc, chế giữ người khuyết tập?
### Lựa chọn: B: Châm chọc, chế giữ người khuyết tập.",thể hiện không tôn trọng người khác:,0.2465753406286239,0.08333333333333333
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Một vài câu ca dao, tục ngữ [MASKED]
### Lựa chọn:
A: Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang

 
B: Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau
C: Cười người hôm trước, hôm sau người cười 
D: Tất cả các ý trên", [D] Tất cả các ý trên,nói về sự tôn trọng người khác:,0.125,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu tục ngữ: Nói lời phải giữ lấy lời, đừng [MASKED]
### Lựa chọn:
A: Lòng chung thủy. 
B: Lòng trung thành.
C: Giữ chữ tín. 
D: Lòng vị tha."," [MASKED]
### Lựa chọn: C: Giữ chữ tín.
Họ đồn cũ: Nói lời phải giữ lấy lời, đừng giữ chữ tín.

Câu hỏi: Nếu nói lời phải giữ lấy lời, đ�",như con bướm đậu rồi lại bay nói đến điều gì,0.208695650100708,0.04878048780487805
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Coi trọng lòng tin của mọi người đối với mình, [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Giữ chữ tín."," D: Giữ chữ tín.

Câu hỏi: Coi trọng lòng tin của mọi người đối với mình, giữ chữ tín.

Mặt hàng này đảm bảo rõ hơn trọng lòng tin, tránh thuận và",biết trọng lời hứa và tin tưởng nhau được gọi là?,0.2276422828435897,0.09302325581395349
