Question,predict,label,rouge_score,score,Grade
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại nào?
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: [MASKED] 
D: Triều Mạc, Lê, Trịnh, Tây Sơn","

**C: Triều Lê, Mạc, Trịnh, Tây Sơn** 

**Giải thích:**

Ngô Thì Nhậm là một quan triều đại, nhưng không phải là một quan trong các triều đại nào trong câu hỏi. 

* **Triều Lê:** Ngô Thì Nhậm là một quan trong triều Lê Sơ.
* **Triều Mạc:** Ngô Thì Nhậm là một quan trong triều Mạc","Triều Lê, Trịnh, Tây Sơn",0.1538461595773697,0.1694915254237288,Văn 11
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời với mục đích gì?
### Lựa chọn:
A: [MASKED] 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn","

**Chiếu cầu hiền ra đời với mục đích gì?**

**Câu trả lời:** **B: Kêu gọi các Nho sĩ ra giúp nước**

**Giải thích:**

* Chiếu cầu hiền là một hoạt động của triều đình Tây Sơn nhằm **kêu gọi sự giúp đỡ của các nhà nho sĩ** trong việc thống nhất đất nước. 

* Các lựa chọn khác không phù hợp:
    * C: Kêu gọi những",Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn,0.1463414579629898,0.16216216216216217,Văn 11
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: [MASKED]
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ","

**B: Khi triều đại Lê – Trịnh sụp đổ** 

**Giải thích:**

* **Chiếu cầu hiền** là một trong những điều kiện quan trọng để Nguyễn Huệ lên ngôi vua. 
* **Triều đại Lê – Trịnh sụp đổ** là thời điểm Nguyễn Huệ lên ngôi vua. 


 
",Khi Trịnh Sâm lên ngôi vua,0.2068965584039688,0.20408163265306123,Văn 11
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: [MASKED] 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử","

**A: Người ra làm quan thì giữ mình không dám nói thẳng**

**Giải thích:**

Câu trả lời A phù hợp với thái độ của sĩ phu Bắc Hà. 

* **Người ra làm quan thì giữ mình không dám nói thẳng** là một câu nói về sự ngại ngùng, sợ hãi khi nói ra ý kiến trái với ý muốn của người cầm quyền. 
* **Sĩ phu Bắc Hà**  là một nhóm người có ý thức",Kẻ sĩ mai danh ẩn tích uổng phí tài năng,0.0229885056614875,0.024096385542168672,Văn 11
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Giá trị nội dung của Chiếu cầu hiền là:
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: [MASKED]","

**D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước** 


**Giải thích:**

* **Chiếu cầu hiền** là một văn kiện quan trọng thể hiện chủ trương của Nguyễn Huệ,  để động viên quân Tây Sơn tham gia xây dựng đất nước. 

* Câu trả lời A, B, C đều sai vì:",Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan,0.4423076808452606,0.45360824742268036,Văn 11
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: [MASKED]","**B: Tinh thần Thơ mới** 

**Giải thích:**

* **""Một thời đại trong thi ca""** là một đoạn trích nói về một thời đại trong thi ca. 
* **Tinh thần Thơ mới** là chủ đề chính của đoạn trích. 


 
",Quan điểm nghệ thuật vị nhân sinh,0.0,0.0,Văn 11
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: ""Chiếu cầu hiền"" là của tác giả nào?
### Lựa chọn:
A: Ngô Thì Nhậm 
B: [MASKED]
C: Ngô gia văn phái 
D: Quang Trung","

**B: Ngô gia văn phái** 

**Giải thích:**

* **Chiếu cầu hiền** là một tác phẩm văn học nổi tiếng của **Ngô gia văn phái**. 

Cả A, D đều sai. 
",Ngô Thì Sĩ,0.0540540553629398,0.06451612903225806,Văn 11
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Câu nào dưới đây nói đúng về năm sinh và năm mất của Hoài Thanh?
### Lựa chọn:
A: [MASKED] 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982.","

**Hoài Thanh sinh năm 1909, mất năm 1982.** 

**Giải thích:**

* **Hoài Thanh sinh năm 1909, mất năm 1982.** 

Câu trả lời đúng là D. 
","Sinh năm 1915, mất năm 1951.",0.3571428656578064,0.26666666666666666,Văn 11
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: [MASKED]","**D:  ** **Hoài Thanh** 

**Giải thích:**

* Bài viết ""Một thời đại trong thi ca"" của Hoài Thanh là một bài viết về thơ ca Việt Nam trong thời kỳ đầu của ông. 
* Hoài Thanh là nhà thơ nổi tiếng của Việt Nam, được biết đến với phong cách thơ hùng tráng, đầy sức sống. 


 
",Nguyễn Nhược Pháp,0.0,0.0,Văn 11
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: [MASKED] 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử","

**Hồn thơ “kì dị”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”**

**Câu trả lời là:  D: Hàn Mặc Tử** 


**Giải thích:**

* **Hồn thơ “kì dị”** là một trong những nét đặc trưng của thơ Hoài Thanh. 
* **Hàn Mặc Tử** là nhà thơ nổi tiếng với phong cách thơ ""kì",Xuân Diệu,0.0,0.0,Văn 11
