Threshold:0.0,  retain_rate:0.6893333333333334, average:0.0
Threshold:0.05,  retain_rate:0.692, average:0.00021244813256573693
Threshold:0.1,  retain_rate:0.7343333333333333, average:0.006469230746017922
Threshold:0.15000000000000002,  retain_rate:0.7793333333333333, average:0.01578530458519693
Threshold:0.2,  retain_rate:0.818, average:0.02565942993469274
Threshold:0.25,  retain_rate:0.857, average:0.03763740363884437
Threshold:0.30000000000000004,  retain_rate:0.875, average:0.04413649139174242
Threshold:0.35000000000000003,  retain_rate:0.898, average:0.05360300395305651
Threshold:0.4,  retain_rate:0.9043333333333333, average:0.056468218976325035
Threshold:0.45,  retain_rate:0.923, average:0.06579775618177644
Threshold:0.5,  retain_rate:0.9436666666666667, average:0.0778988643478719
Threshold:0.55,  retain_rate:0.948, average:0.08056472462299932
Threshold:0.6000000000000001,  retain_rate:0.9556666666666667, average:0.08557872156120061
Threshold:0.65,  retain_rate:0.9596666666666667, average:0.08839862172194934
Threshold:0.7000000000000001,  retain_rate:0.971, average:0.09708791079290906
Threshold:0.75,  retain_rate:0.974, average:0.09963189368095593
Threshold:0.8,  retain_rate:0.9753333333333334, average:0.10081816219014055
Threshold:0.8500000000000001,  retain_rate:0.982, average:0.10695798811864668
Threshold:0.9,  retain_rate:0.9843333333333333, average:0.1092476971636699
Threshold:0.9500000000000001,  retain_rate:0.9853333333333333, average:0.11030081707282714
