,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Mạch truyện diễn biến theo trình tự thời gian nào?
### Lựa chọn:
A: Hiện tại - quá khứ 
B: Hiện tại - tương lại
C: Hiện tại - quá khứ - hiện tại 
D: [MASKED]",,Hiện tại - quá khứ - tương lai,0.0
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Quê hương của Thanh Tịnh là ở đâu?
### Lựa chọn:
A: Ven sông Hương, thành phố Huế 
B: [MASKED]
C: Ven sông Đuống, Gia Lâm (Hà Nội) 
D: Một tỉnh thuộc đồng bằng Bắc Bộ",,"Ven sông Hồng, thành phố Hà Nội",0.0
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tôi đi học của Thanh Tịnh được viết theo thể loại nào?
### Lựa chọn:
A: [MASKED] 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút"," [MASKED] 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút ",Bút kí,0.11764705926179886
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: [MASKED] 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ",,"Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập",0.0
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học được miêu tả chủ yếu ở phương diện nào?
### Lựa chọn:
A: [MASKED] 
B: Tính cách
C: Tâm trạng 
D: Hành động"," [MASKED] 
B: Tính cách
C: Tâm trạng 
D: Hành động ",Ngoại hình,0.0
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Biện pháp tu từ nào được tác giả sử dụng trong đoạn văn trên?
### Lựa chọn:
A: A. Nhân hóa. 
B: [MASKED]
C: C. Điệp ngữ. 
D: D. Ẩn dụ.",,B. So sánh.,0.0
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Chủ đề của văn bản “Tôi đi học” nằm ở phần nào?
### Lựa chọn:
A: Nhan đề của văn bản 
B: [MASKED]
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên",,Quan hệ giữa các phần của văn bản,0.0
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Sức cuốn hút của tác phẩm ""Tôi đi học"" là:
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: [MASKED] 
D: Cả A, B, C.",,"Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả.",0.0
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhân vật chính trong văn bản 'Tôi đi học’ là ai?
### Lựa chọn:
A: [MASKED] 
B: Người thầy giáo
C: Ông đốc 
D: Nhân vật ‘tôi’"," [MASKED] 
B: Người thầy giáo
C: Ông đốc 
D: Nhân vật ‘tôi’ ",Người mẹ,0.13333334028720856
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh Tịnh sử dụng trong văn bản ""Tôi đi học”?
### Lựa chọn:
A: [MASKED] 
B: Miêu tả
C: Biểu cảm 
D: Kết hợp cả A, B, C"," Miêu tả
B: Biểu cảm
C: Kết hợp cả A, B, C
D: Không có phương thức nào trong số trên ",Tự sự,0.0
