Question,predict,label,rouge_score,score,Grade,retained
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại nào?
### Lựa chọn:
A: [MASKED] 
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: Triều Mạc, Lê, Trịnh, Tây Sơn","**Triều Nguyễn** 


Vậy câu hỏi hoàn chỉnh là:

### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại nào?
### Lựa chọn:
A: Triều Nguyễn
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: Triều Mạc, Lê, Trịnh, Tây Sơn 

","Triều Mạc, Lê, Trịnh",0.2222222238779068,0.1666666666666666,Văn 11,True
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời với mục đích gì?
### Lựa chọn:
A: [MASKED] 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn","**Kêu gọi các quan lại trung thành với nhà Lê ra giúp nước** 


Chiếu cầu hiền được Nguyễn Huệ (tức Quang Trung) ban hành với mục đích kêu gọi các quan lại trung thành với nhà Lê, những người có tài năng và đức độ, ra giúp nước, cùng dẹp loạn và phục hồi nền thái bình. 
",Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn,0.1891891956329345,0.1764705882352941,Văn 11,False
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: [MASKED]","**Trong thời kỳ phong kiến suy tàn, nước ta bị chia cắt, nhiều cuộc khởi nghĩa nổ ra**. 


Chiếu cầu hiền ra đời trong bối cảnh đất nước bị chia cắt, phong kiến suy tàn, nhân dân oán hận, khát khao thống nhất đất nước. 
",Khi triều đại Tây Sơn sụp đổ,0.0,0.0,Văn 11,True
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: [MASKED]
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử","**""Sĩ phu Bắc Hà chỉ quan tâm đến lợi ích cá nhân""**

**Giải thích:**

* **Câu hỏi** muốn tìm đáp án thể hiện thái độ **không đúng** với sĩ phu Bắc Hà. 
* **A, C, D** đều thể hiện sự **phàn nàn** về sĩ phu Bắc Hà: 
    * A: Họ lãng phí tài năng.
    * C: Họ thờ ơ với việc giúp nước.
",Người ra làm quan thì giữ mình không dám nói thẳng,0.0540540553629398,0.0571428571428571,Văn 11,True
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Giá trị nội dung của Chiếu cầu hiền là:
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: [MASKED] 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan","

**C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên nhân dân Bắc Hà tham gia xây dựng đất nước**


 
Giải thích:

* Chiếu Cầu Hiền là một văn kiện quan trọng của Nguyễn Huệ, sau khi lên ngôi Hoàng đế, nhằm động viên nhân dân Bắc Hà (và cả nước) tham gia xây dựng đất nước. 
* Lựa chọn A và",Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước,0.5046728849411011,0.5200000000000001,Văn 11,False
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: [MASKED]","**D:  Sự hình thành và phát triển của phong trào Thơ mới.**


 
""Một thời đại trong thi ca"" là bài viết của nhà thơ Xuân Diệu,  đánh giá và phân tích về sự ra đời và phát triển của phong trào Thơ mới. 
",Quan điểm nghệ thuật vị nhân sinh,0.0,0.0,Văn 11,True
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: ""Chiếu cầu hiền"" là của tác giả nào?
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: [MASKED] 
D: Quang Trung","**Tản Đà** 


Chiếu cầu hiền là tác phẩm của nhà thơ, nhà văn, nhà chính trị Tản Đà. 
",Ngô gia văn phái,0.0740740746259689,0.0909090909090909,Văn 11,False
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Câu nào dưới đây nói đúng về năm sinh và năm mất của Hoài Thanh?
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: [MASKED]
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982.","**Sinh năm 1916, mất năm 1951.** 


Dựa vào trí nhớ của mình, năm sinh của Hoài Thanh là 1916 và năm mất là 1951. 
","Sinh năm 1920, mất năm 2002.",0.290909081697464,0.2666666666666666,Văn 11,False
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Lưu Trọng Lư 
B: [MASKED]
C: Huy Thông 
D: Nguyễn Nhược Pháp","**Tế Hanh** 


Hoài Thanh dùng từ ""hùng tráng"" để chỉ hồn thơ của Tế Hanh trong bài viết ""Một thời đại trong thi ca"". 
",Nguyễn Bính,0.0,0.0,Văn 11,True
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: Xuân Diệu 
B: [MASKED]
C: Chế Lan Viên 
D: Hàn Mặc Tử","**Tế Hanh** 


Hoài Thanh dùng từ ""hồn thơ kì dị"" để chỉ **Tế Hanh** trong bài viết ""Một thời đại trong thi ca"". 
",Huy Cận,0.0,0.0,Văn 11,True
