Threshold:0.0,  retain_rate:0.7836666666666666, average:0.0
Threshold:0.05,  retain_rate:0.7866666666666666, average:0.00029407345529689177
Threshold:0.1,  retain_rate:0.8113333333333334, average:0.00480966977247933
Threshold:0.15000000000000002,  retain_rate:0.848, average:0.014197539869701287
Threshold:0.2,  retain_rate:0.8733333333333333, average:0.022431687228330534
Threshold:0.25,  retain_rate:0.9056666666666666, average:0.035276398802972675
Threshold:0.30000000000000004,  retain_rate:0.9183333333333333, average:0.04102297553094542
Threshold:0.35000000000000003,  retain_rate:0.9333333333333333, average:0.04883437119060456
Threshold:0.4,  retain_rate:0.942, average:0.05382776441491352
Threshold:0.45,  retain_rate:0.956, average:0.06274970707561109
Threshold:0.5,  retain_rate:0.9633333333333334, average:0.06819461817482349
Threshold:0.55,  retain_rate:0.9663333333333334, average:0.07057622348097253
Threshold:0.6000000000000001,  retain_rate:0.972, average:0.07542519952927715
Threshold:0.65,  retain_rate:0.9753333333333334, average:0.0785189342628024
Threshold:0.7000000000000001,  retain_rate:0.98, average:0.08317103492739297
Threshold:0.75,  retain_rate:0.9843333333333333, average:0.08782467896889402
Threshold:0.8,  retain_rate:0.985, average:0.08859698831145815
Threshold:0.8500000000000001,  retain_rate:0.9876666666666667, average:0.09183759026969888
Threshold:0.9,  retain_rate:0.989, average:0.0935784487863822
Threshold:0.9500000000000001,  retain_rate:0.99, average:0.09495508852332368
