Threshold:0.0, retain_rate:0.094, average:0.0
Threshold:0.05, retain_rate:0.175, average:0.01742642621142624
Threshold:0.1, retain_rate:0.396, average:0.051487063047005406
Threshold:0.15000000000000002, retain_rate:0.6423333333333333, average:0.07949679771305225
Threshold:0.2, retain_rate:0.8403333333333334, average:0.10193446853339533
Threshold:0.25, retain_rate:0.935, average:0.11426183834086193
Threshold:0.30000000000000004, retain_rate:0.9663333333333334, average:0.11943208804505963
Threshold:0.35000000000000003, retain_rate:0.9793333333333333, average:0.12216104619569217
Threshold:0.4, retain_rate:0.989, average:0.1246047618466209
Threshold:0.45, retain_rate:0.993, average:0.1258529868457694
Threshold:0.5, retain_rate:0.9953333333333333, average:0.1266865048386164
Threshold:0.55, retain_rate:0.996, average:0.12695634289521943
Threshold:0.6000000000000001, retain_rate:0.9973333333333333, average:0.12756435050063494
Threshold:0.65, retain_rate:0.9986666666666667, average:0.12823902262666048
Threshold:0.7000000000000001, retain_rate:0.999, average:0.12841867816354402
Threshold:0.75, retain_rate:0.9993333333333333, average:0.12861842934736964
Threshold:0.8, retain_rate:0.9993333333333333, average:0.12861842934736964
Threshold:0.8500000000000001, retain_rate:0.9993333333333333, average:0.12861842934736964
Threshold:0.9, retain_rate:0.9993333333333333, average:0.12861842934736964
Threshold:0.9500000000000001, retain_rate:0.9996666666666667, average:0.12887867358869795
