Question,First_half,Label
"Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong  [MASKED]
A: Báo với cô giáo chủ nhiệm để tìm cách giải quyết. 
B: Mặc kệ vì không liên quan đến mình.
C: Cùng với A đánh B cho vui. 
D: Chạy đi chỗ khác chơi.
","Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong ",lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?
"Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây  [MASKED]
A: Lờ đi chỗ khác và coi như không biết. 
B: Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.
C: Đèo em bé đó đến gặp công an. 
D: Đạp thật nhanh về nhà.
",Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây ,tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?
"Câu thành ngữ: Gió chiều nào theo  [MASKED]
A: Không tôn trọng lẽ phải. 
B: Không trung thực.
C: Không chín chắn. 
D: Không có ý thức.
",Câu thành ngữ: Gió chiều nào theo ,chiều ấy nói về người như thế nào?
"Em rèn tính liêm  [MASKED]
A: Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi 
B: Làm giàu bằng chính sức lực, tài năng của mình
C: Nhặt được của rơi trả lại cho người bị mất 
D: Tất cả đáp án trên
",Em rèn tính liêm ,khiết trong học tập là:
"Không hám danh, hám lợi, không  [MASKED]
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Khiêm tốn.
","Không hám danh, hám lợi, không ","nhỏ nhen, ích kỉ được gọi là?"
"Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc  [MASKED]
A: Mặc kệ. 
B: Sang đánh nhà hàng xóm.
C: Sang chửi nhà hàng xóm. 
D: Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.
",Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc ,hát karaoke. Trong tình huống này em sẽ làm gì?
"Những hành vi nào sau đây  [MASKED]
A: Đi nhẹ, nói khẽ trong bệnh viện 
B: Châm chọc, chế giễu người khuyết tật.
C: Biết lắng nghe ý kiến của mọi người. 
D: Tự nhận lỗi về mình
",Những hành vi nào sau đây ,thể hiện không tôn trọng người khác:
"Một vài câu ca dao, tục ngữ  [MASKED]
A: Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang

 
B: Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau
C: Cười người hôm trước, hôm sau người cười 
D: Tất cả các ý trên
","Một vài câu ca dao, tục ngữ ",nói về sự tôn trọng người khác:
"Câu tục ngữ: Nói lời phải giữ lấy lời, đừng  [MASKED]
A: Lòng chung thủy. 
B: Lòng trung thành.
C: Giữ chữ tín. 
D: Lòng vị tha.
","Câu tục ngữ: Nói lời phải giữ lấy lời, đừng ",như con bướm đậu rồi lại bay nói đến điều gì
"Coi trọng lòng tin của mọi người đối với mình,  [MASKED]
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Giữ chữ tín.
","Coi trọng lòng tin của mọi người đối với mình, ",biết trọng lời hứa và tin tưởng nhau được gọi là?
"Những quy định, quy ước ở một tập thể, một  [MASKED]
A: Liêm khiết. 
B: Công bằng.
C: Pháp luật. 
D: Kỉ luật.
","Những quy định, quy ước ở một tập thể, một ",cộng đồng người ở phạm vi hẹp hơn được gọi là?
"Những quy định của pháp luật và kỉ luật  [MASKED]
A: Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động. 
B: Giúp cho mọi người gần nhau hơn.
C: Giúp cho mọi người tôn trọng nhau hơn. 
D: Giúp cho mọi người hoàn thiện mình hơn.
",Những quy định của pháp luật và kỉ luật ,có ý nghĩa như thế nào với mọi người?
"Câu ca dao thể hiện tôn  [MASKED]
A: Đất có lề, quê có thói 
B: Phép vua thua lệ làng
C: Thương em anh để trong lòng Việc quan anh cứ phép công anh làm 
D: A, B, C
",Câu ca dao thể hiện tôn ,trọng pháp luật và kỉ luật
"Tình bạn trong sáng, lành mạnh  [MASKED]
A: Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn. 
B: Giúp cho mọi người gần nhau hơn.
C: Giúp cho mọi người tôn trọng nhau hơn. 
D: Giúp cho mọi người vui vẻ hơn
","Tình bạn trong sáng, lành mạnh ",có ý nghĩa như thế nào?
