Question,predict,label,rouge_score,score,Grade,retained
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Ngô Thì Nhậm từng làm [MASKED]
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: Triều Mạc, Lê, Trịnh, Tây Sơn"," nhà thơ thời [Triều Lê, Trịnh, Tây Sơn], nên câu trả lời đúng là C: Triều Lê, Trịnh, Tây Sơn.",quan dưới triều đại nào?,0.1621621549129486,0.08,Văn 11,False
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra [MASKED]
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn", là kêu gọi những người giỏi võ ra giúp nước.,đời với mục đích gì?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra đời trong [MASKED]
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ"," C: Nguyễn Huệ lên ngôi vua

Câu hỏi đúng: Chiếu cầu hiền ra đời trong thời gian Nguyễn Huệ lên ngôi vua.",hoàn cảnh đất nước như thế nào?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đáp án không thể hiện đúng [MASKED]
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử"," là A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng

Câu hỏi trắc nghiệm có thể hoàn thành như sau:

Câu hỏi: Đáp án không thể hiện đúng [A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng]

Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài",thái độ của sĩ phu Bắc Hà:,0.0229885056614875,0.0256410256410256,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Giá trị nội dung [MASKED]
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan"," của câu hỏi là: A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước

Giải thích: Nguyễn Huệ là một vị vua của nhà Tây Sơn, và tác phẩm được đề cập đến trong câu hỏi có thể là một văn kiện quan trọng thể hiện chủ trương đúng đắn của ông nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước",của Chiếu cầu hiền là:,0.0576923079788684,0.0439560439560439,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nội dung của đoạn trích “Một thời đại [MASKED]
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh","” thuộc chủ đề phong trào Thơ mới. Vì vậy, đáp án đúng là A: Các tác phẩm thuộc phong trào Thơ mới.",trong thi ca” bàn đến vấn đề gì?,0.0540540553629398,0.064516129032258,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: ""Chiếu cầu hiền"" là [MASKED]
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: Ngô gia văn phái 
D: Quang Trung"," Ngô Thì Sĩ

Giải thích: Ngô Thì Sĩ (tiếng Hán Việt: 卢思衡, 1032-1107) là nhà thơ, nhà nho, nhà sử học, nhà chính trị và nhà quân sự thời nhà Ngô, nhà Lý.",của tác giả nào?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu nào dưới đây nói đúng về [MASKED]
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982."," Hồ Chí Minh:

### Lựa chọn:
A: Sinh năm 1915, mất năm 1951.",năm sinh và năm mất của Hoài Thanh?,0.2222222238779068,0.3,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp", Huy Thông.,nào trong bài viết “Một thời đại trong thi ca”?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Xuân Diệu 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử"," Chế Lan Viên

Hoài Thanh là một nhà thơ nổi tiếng của Việt Nam, được biết đến với phong cách thơ độc đáo và sâu sắc. Trong số những nhà thơ mà Hoài Thanh đã viết về, Chế Lan Viên là một trong những nhà thơ được ông đánh giá cao và có thể được gọi là ""hồn thơ kì dị"".

Chế Lan Viên là một nhà thơ nổi tiếng của thế kỷ 17, được biết",nào trong bài viết “Một thời đại trong thi ca”,0.0799999982118606,0.0697674418604651,Văn 11,True
