Question,predict,label,rouge_score,score,Grade,retained
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Ngô Thì Nhậm từng làm [MASKED]
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: Triều Mạc, Lê, Trịnh, Tây Sơn"," **chức vụ quan lại** trong các triều đại nào?

### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: Triều Mạc, Lê, Trịnh, Tây Sơn 


 
",quan dưới triều đại nào?,0.1509433984756469,0.1999999999999999,Văn 11,False
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra [MASKED]
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn"," **kêu gọi những người giỏi võ ra giúp nước** 


**Giải thích:**

Chiếu cầu hiền là chiếu dụ của vua Quang Trung (Nguyễn Huệ) nhằm kêu gọi những người tài giỏi, có võ nghệ xuất chúng, không phân biệt giai cấp, giúp nước đánh đuổi quân xâm lược. 
",đời với mục đích gì?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra đời trong [MASKED]
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ"," **C: Nguyễn Huệ lên ngôi vua** 


Chiếu cầu hiền là chiếu dụ được Nguyễn Huệ (sau là vua Quang Trung) ban hành năm 1788, sau khi ông lên ngôi vua, nhằm mục đích kêu gọi nhân dân cả nước hưởng ứng cuộc kháng chiến chống quân xâm lược Xiêm và Thanh. 
",hoàn cảnh đất nước như thế nào?,0.0289855077862739,0.0344827586206896,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đáp án không thể hiện đúng [MASKED]
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử"," **lỗi của quan lại thời Lê Trung Hưng**

### Giải thích:

* **A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng** -  Đây là một vấn đề chung trong xã hội, không chỉ riêng thời Lê Trung Hưng.
* **B: Người ra làm quan thì giữ mình không dám nói thẳng** - Đây là một đặc điểm tiêu biểu của quan lại thời Lê Trung Hưng, đặc biệt là trong triều đình nhà Lê.
* **",thái độ của sĩ phu Bắc Hà:,0.0487804859876632,0.0512820512820512,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Giá trị nội dung [MASKED]
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan"," **""Chiếu Dời đô""**


### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn",của Chiếu cầu hiền là:,0.0227272734045982,0.050632911392405,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nội dung của đoạn trích “Một thời đại [MASKED]
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh"," **B: Tinh thần Thơ mới**” 


**Giải thích:**

* **""Một thời đại""** thường được sử dụng để chỉ một khoảng thời gian lịch sử hoặc văn học có những đặc điểm chung. 
* **""Thơ mới""** là một phong trào văn học có những đặc điểm riêng biệt về nội dung, thể thức và tư tưởng. 

Do đó, câu hỏi hoàn chỉnh là: Nội dung của đoạn trích “Một thời",trong thi ca” bàn đến vấn đề gì?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: ""Chiếu cầu hiền"" là [MASKED]
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: Ngô gia văn phái 
D: Quang Trung"," **B: Ngô Thì Sĩ** 


Chiếu cầu hiền là bản chiếu được soạn thảo bởi Ngô Thì Sĩ, một trong những đại biểu tiêu biểu của Ngô gia văn phái, gửi cho vua Lê Hiển Tông vào năm 1785. 
",của tác giả nào?,0.0,0.0476190476190476,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu nào dưới đây nói đúng về [MASKED]
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982."," **Hoàng Văn Thụ** ?

### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982. 


 
",năm sinh và năm mất của Hoài Thanh?,0.078947365283966,0.1951219512195122,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp"," **C: Huy Thông** 


Hoài Thanh trong ""Hoàng Việt"" đã dùng cụm từ ""hồn thơ hùng tráng"" để chỉ phong cách thơ của Huy Thông. 
",nào trong bài viết “Một thời đại trong thi ca”?,0.0540540553629398,0.0588235294117647,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Xuân Diệu 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử"," **D: Hàn Mặc Tử** 


Hoài Thanh trong ""Hoài Thanh - Hoài Chân"" đã dùng cụm từ ""hồn thơ kì dị"" để chỉ phong cách thơ độc đáo, trữ tình và đầy chất thơ của Hàn Mặc Tử. 
",nào trong bài viết “Một thời đại trong thi ca”,0.039215687662363,0.0434782608695652,Văn 11,True
