,Question,Answer,Label,rouge_score
0,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra đời trong [MASKED]
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ"," **C: Nguyễn Huệ lên ngôi vua** 


Chiếu cầu hiền là chiếu dụ được Nguyễn Huệ (sau là vua Quang Trung) ban hành năm 1788, sau khi ông lên ngôi vua, nhằm mục đích kêu gọi nhân dân cả nước hưởng ứng cuộc kháng chiến chống quân xâm lược Xiêm và Thanh. 
",hoàn cảnh đất nước như thế nào?,0.028985507786273956
1,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đáp án không thể hiện đúng [MASKED]
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử"," **lỗi của quan lại thời Lê Trung Hưng**

### Giải thích:

* **A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng** -  Đây là một vấn đề chung trong xã hội, không chỉ riêng thời Lê Trung Hưng.
* **B: Người ra làm quan thì giữ mình không dám nói thẳng** - Đây là một đặc điểm tiêu biểu của quan lại thời Lê Trung Hưng, đặc biệt là trong triều đình nhà Lê.
* **",thái độ của sĩ phu Bắc Hà:,0.04878048598766327
2,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nội dung của đoạn trích “Một thời đại [MASKED]
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh"," **B: Tinh thần Thơ mới**” 


**Giải thích:**

* **""Một thời đại""** thường được sử dụng để chỉ một khoảng thời gian lịch sử hoặc văn học có những đặc điểm chung. 
* **""Thơ mới""** là một phong trào văn học có những đặc điểm riêng biệt về nội dung, thể thức và tư tưởng. 

Do đó, câu hỏi hoàn chỉnh là: Nội dung của đoạn trích “Một thời",trong thi ca” bàn đến vấn đề gì?,0.0
3,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp"," **C: Huy Thông** 


Hoài Thanh trong ""Hoàng Việt"" đã dùng cụm từ ""hồn thơ hùng tráng"" để chỉ phong cách thơ của Huy Thông. 
",nào trong bài viết “Một thời đại trong thi ca”?,0.054054055362939835
4,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Xuân Diệu 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử"," **D: Hàn Mặc Tử** 


Hoài Thanh trong ""Hoài Thanh - Hoài Chân"" đã dùng cụm từ ""hồn thơ kì dị"" để chỉ phong cách thơ độc đáo, trữ tình và đầy chất thơ của Hàn Mặc Tử. 
",nào trong bài viết “Một thời đại trong thi ca”,0.03921568766236305
5,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đoạn trích “Tôi có một ước [MASKED]
### Lựa chọn:
A: Nghị luận 
B: Tự sự
C: Biểu cảm 
D: Chính luận"," **<biểu cảm>**”


**Câu hỏi hoàn chỉnh:** Đoạn trích “Tôi có một ước **biểu cảm**” thuộc thể loại nào?

**Lựa chọn:**

A: Nghị luận 
B: Tự sự
C: Biểu cảm 
D: Chính luận 


**Giải thích:**

* **Biểu cảm** là thể loại văn học thể hiện cảm xúc, tình cảm của tác giả về một sự việc",mơ” được viết theo phương thức nào?,0.03125
6,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Nguyễn Nhược Pháp 
B: Nguyễn Bính
C: Lưu Trọng Lư 
D: Tố Hữu"," **C: Lưu Trọng Lư** 


Hoài Thanh trong bài viết ""Hồn thơ ""quê mùa"""" đã dùng để chỉ nhà thơ Lưu Trọng Lư. 
",nào trong bài viết “Một thời đại trong thi ca”,0.1666666716337204
7,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Thế Lữ 
B: Lưu Trọng Lư
C: Nguyễn Nhược Pháp 
D: Nguyễn Bính"," **A: Thế Lữ** 


Hoài Thanh trong bài ""Văn học Mới"" đã dùng cụm từ ""hồn thơ trong sáng"" để chỉ phong cách thơ của Thế Lữ. 
",nào trong bài viết “Một thời đại trong thi ca”?,0.1463414579629898
8,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”. [MASKED]
### Lựa chọn:
A: Thế Lữ 
B: Xuân Diệu
C: Lưu Trọng Lư 
D: Hàn Mặc Tử"," **Ý kiến của Hoài Thanh trong đoạn trích trên phản ánh quan điểm của dòng thơ nào?**

### Lựa chọn:
A: Thế Lữ 
B: Xuân Diệu
C: Lưu Trọng Lư 
D: Hàn Mặc Tử 


**Đáp án:**  **D: Hàn Mặc Tử** 


Hoài Thanh trong ""Một thời đại thi ca"" đã phân tích và đánh giá về dòng thơ Hàn Mặc Tử, đặc","là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?",0.1568627506494522
9,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: “Cầu hiền” ở đây [MASKED]
### Lựa chọn:
A: Người ăn ở hiền lành 
B: Người có tài
C: Người có đức 
D: Người có đức và tài"," **C: Người có đức** 


""Cầu hiền"" là một cách nói dân gian để chỉ người có đức, có nhân cách tốt. 
",hướng tới đối tượng nào?,0.0
