Question,predict,label,rouge_score,score,Subject,retained
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong [MASKED]
### Lựa chọn:
A: Báo với cô giáo chủ nhiệm để tìm cách giải quyết. 
B: Mặc kệ vì không liên quan đến mình.
C: Cùng với A đánh B cho vui. 
D: Chạy đi chỗ khác chơi."," **lớp** 


**Câu hỏi hoàn chỉnh:** Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong **lớp**  
A: Báo với cô giáo chủ nhiệm để tìm cách giải quyết. 
B: Mặc kệ vì không liên quan đến mình.
C: Cùng với A đánh B cho vui. 
D: Chạy đi chỗ khác chơi. 

",lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?,0.1176470592617988,0.1012658227848101,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây [MASKED]
### Lựa chọn:
A: Lờ đi chỗ khác và coi như không biết. 
B: Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.
C: Đèo em bé đó đến gặp công an. 
D: Đạp thật nhanh về nhà."," **tai nạn**. 


Let me know if you'd like to try another one! 
",tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?,0.1111111119389534,0.1290322580645161,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu thành ngữ: Gió chiều nào theo [MASKED]
### Lựa chọn:
A: Không tôn trọng lẽ phải. 
B: Không trung thực.
C: Không chín chắn. 
D: Không có ý thức."," **B: Không trung thực**. 


Câu đầy đủ là: **Gió chiều nào theo **không trung thực**. 
",chiều ấy nói về người như thế nào?,0.0833333358168602,0.1739130434782609,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Em rèn tính liêm [MASKED]
### Lựa chọn:
A: Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi 
B: Làm giàu bằng chính sức lực, tài năng của mình
C: Nhặt được của rơi trả lại cho người bị mất 
D: Tất cả đáp án trên"," **chi**

### Câu hỏi: Em rèn tính liêm **chi**

### Lựa chọn:
A: Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi 
B: Làm giàu bằng chính sức lực, tài năng của mình
C: Nhặt được của rơi trả lại cho người bị mất 
D: Tất cả đáp án trên 


**Giải thích:**

""Liêm chi"" là một đức tính tốt, thể",khiết trong học tập là:,0.0277777779847383,0.0298507462686567,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Không hám danh, hám lợi, không [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Khiêm tốn."," **tham quyền** 


Vậy câu hỏi hoàn chỉnh là:

### Câu hỏi: Không hám danh, hám lợi, không tham quyền 
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Khiêm tốn. 

","nhỏ nhen, ích kỉ được gọi là?",0.0416666679084301,0.0512820512820512,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc [MASKED]
### Lựa chọn:
A: Mặc kệ. 
B: Sang đánh nhà hàng xóm.
C: Sang chửi nhà hàng xóm. 
D: Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ."," **[D:  vang lên to** 

**Câu hỏi hoàn chỉnh:** Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc **vang lên to**, bạn sẽ làm gì?


**Lựa chọn:**
A: Mặc kệ. 
B: Sang đánh nhà hàng xóm.
C: Sang chửi nhà hàng xóm. 
D: Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ",hát karaoke. Trong tình huống này em sẽ làm gì?,0.0987654328346252,0.0857142857142857,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những hành vi nào sau đây [MASKED]
### Lựa chọn:
A: Đi nhẹ, nói khẽ trong bệnh viện 
B: Châm chọc, chế giễu người khuyết tật.
C: Biết lắng nghe ý kiến của mọi người. 
D: Tự nhận lỗi về mình"," **thể hiện sự tôn trọng người khác**? 


Let me know if you'd like more examples! 
",thể hiện không tôn trọng người khác:,0.5600000023841858,0.5454545454545455,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Một vài câu ca dao, tục ngữ [MASKED]
### Lựa chọn:
A: Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang

 
B: Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau
C: Cười người hôm trước, hôm sau người cười 
D: Tất cả các ý trên"," **A: Khó mà biết lẽ biết lời** 
**Biết ăn biết ở hơn người giàu sang** 


**Câu hỏi hoàn chỉnh:** Một vài câu ca dao, tục ngữ **Khó mà biết lẽ biết lời** 
**Biết ăn biết ở hơn người giàu sang**  là những lời khuyên về điều gì? 


**Lựa chọn:**

A:  Cách sống giản dị, thanh cao
B:  Sự chân thành trong lời nói
",nói về sự tôn trọng người khác:,0.0563380271196365,0.0571428571428571,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu tục ngữ: Nói lời phải giữ lấy lời, đừng [MASKED]
### Lựa chọn:
A: Lòng chung thủy. 
B: Lòng trung thành.
C: Giữ chữ tín. 
D: Lòng vị tha."," **C: Giữ chữ tín**. 


Chọn C là đáp án phù hợp nhất vì câu tục ngữ muốn nhấn mạnh tầm quan trọng của việc giữ lời hứa, thể hiện sự trung thực và đáng tin cậy. 
",như con bướm đậu rồi lại bay nói đến điều gì,0.0,0.0,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Coi trọng lòng tin của mọi người đối với mình, [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Giữ chữ tín."," **D: Giữ chữ tín**. 


Câu hỏi hoàn chỉnh: Coi trọng lòng tin của mọi người đối với mình, **giữ chữ tín**. 
",biết trọng lời hứa và tin tưởng nhau được gọi là?,0.1176470592617988,0.125,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những quy định, quy ước ở một tập thể, một [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Pháp luật. 
D: Kỉ luật."," **D: Kỉ luật**. 


Câu hỏi hoàn chỉnh là: Những quy định, quy ước ở một tập thể, một **kỉ luật** 
",cộng đồng người ở phạm vi hẹp hơn được gọi là?,0.0571428574621677,0.064516129032258,civic_education,True
