Threshold:0.0, retain_rate:0.594, average:0.0
Threshold:0.05, retain_rate:0.6006666666666667, average:0.00041664816639680664
Threshold:0.1, retain_rate:0.6486666666666666, average:0.006118756391104205
Threshold:0.15000000000000002, retain_rate:0.699, average:0.014645207556507299
Threshold:0.2, retain_rate:0.7426666666666667, average:0.023845825938313952
Threshold:0.25, retain_rate:0.7896666666666666, average:0.03582220366236439
Threshold:0.30000000000000004, retain_rate:0.8136666666666666, average:0.0429800902281547
Threshold:0.35000000000000003, retain_rate:0.8443333333333334, average:0.053318081332089
Threshold:0.4, retain_rate:0.8526666666666667, average:0.05639644252482956
Threshold:0.45, retain_rate:0.877, average:0.06630231867569486
Threshold:0.5, retain_rate:0.9113333333333333, average:0.08245555974642563
Threshold:0.55, retain_rate:0.9166666666666666, average:0.08507232735272158
Threshold:0.6000000000000001, retain_rate:0.927, average:0.09045918733156154
Threshold:0.65, retain_rate:0.9356666666666666, average:0.0953025295072984
Threshold:0.7000000000000001, retain_rate:0.9536666666666667, average:0.10614823505356621
Threshold:0.75, retain_rate:0.9606666666666667, average:0.11074628741341455
Threshold:0.8, retain_rate:0.9623333333333334, average:0.11190239017120242
Threshold:0.8500000000000001, retain_rate:0.9733333333333334, average:0.119791918012237
Threshold:0.9, retain_rate:0.9783333333333334, average:0.12362442950684786
Threshold:0.9500000000000001, retain_rate:0.98, average:0.1249869389792106
