Threshold:0.0, retain_rate:0.31766666666666665, average:0.0
Threshold:0.05, retain_rate:0.5853333333333334, average:0.012380512522397462
Threshold:0.1, retain_rate:0.68, average:0.020752540965161426
Threshold:0.15000000000000002, retain_rate:0.7403333333333333, average:0.02927622958698637
Threshold:0.2, retain_rate:0.781, average:0.03687247463512569
Threshold:0.25, retain_rate:0.8146666666666667, average:0.04489761480626283
Threshold:0.30000000000000004, retain_rate:0.835, average:0.0506635419427526
Threshold:0.35000000000000003, retain_rate:0.8493333333333334, average:0.05530823737881744
Threshold:0.4, retain_rate:0.8746666666666667, average:0.0647562801647785
Threshold:0.45, retain_rate:0.894, average:0.0727108786123186
Threshold:0.5, retain_rate:0.9076666666666666, average:0.07892530250326957
Threshold:0.55, retain_rate:0.9186666666666666, average:0.08442247255015208
Threshold:0.6000000000000001, retain_rate:0.9406666666666667, average:0.096006273178733
Threshold:0.65, retain_rate:0.9506666666666667, average:0.10153178917261117
Threshold:0.7000000000000001, retain_rate:0.9656666666666667, average:0.11035798155009403
Threshold:0.75, retain_rate:0.9773333333333334, average:0.1176931847104117
Threshold:0.8, retain_rate:0.985, average:0.1228709288671059
Threshold:0.8500000000000001, retain_rate:0.991, average:0.12710892341742142
Threshold:0.9, retain_rate:0.997, average:0.13159843129859455
Threshold:0.9500000000000001, retain_rate:0.9986666666666667, average:0.13290491292934162
