,Question,Answer,Label,rouge_score
0,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what country's context [MASKED]
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
D: When the Tay Son dynasty collapsed"," did the Le-Trinh dynasty collapse?

### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
D: When the Tay Son dynasty collapsed",was the edict issued?,0.043478261679410934
1,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The answer does not correctly reflect [MASKED]
### Choices:
A: Scholars who hide their names waste their talents. 
B: Officials keep to themselves and do not dare to speak frankly.
C: Many talented people are still unwilling to help the country. 
D: Many people admired King Quang Trung's talent and recommended him."," [MASKED]

A: Scholars who hide their names waste their talents.

B: Officials keep to themselves and do not dare to speak frankly.

C: Many talented people are still unwilling to help the country.

D: Many people admired King Quang Trung's talent and recommended him.",the attitude of the Northern scholars:,0.03773584961891174
2,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the excerpt [MASKED]
### Choices:
A: Works of the New Poetry movement. 
B: Spirit of New Poetry
C: Vietnamese realism. 
D: Art for humanity"," ""[MASKED]"" refer to in the context of the New Poetry movement?

### Choices:
A: Works of the New Poetry movement.
B: Spirit of New Poetry
C: Vietnamese realism.
D: Art for humanity.

The correct answer would depend on the specific content of the excerpt that is not shown. However, given the options provided, if the excerpt is discussing the essence or spirit of the New Poetry movement, then:

B: Spirit of New Poetry

would be the most appropriate choice.","""An era in poetry"" discuss?",0.0476190485060215
3,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The poetic soul ""heroic"", Hoai Thanh used to refer [MASKED]
### Choices:
A: Luu Trong Lu 
B: Nguyen Binh
C: Huy Thong 
D: Nguyen Nhuoc Phap", A: Luu Trong Lu,"to which poet in the article ""An era in poetry""?",0.0
4,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: ""Strange"" poetic soul, Hoai Thanh used to refer to [MASKED]
### Choices:
A: Xuan Dieu 
B: Huy Can
C: Che Lan Vien 
D: Han Mac Tu", A: Xuan Dieu,"which poet in the article ""An era in poetry""",0.0
5,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what method is the [MASKED]
### Choices:
A: Discussion 
B: Narrative
C: Expression 
D: Politics", **Narrative**,"excerpt ""I have a dream"" written?",0.0
6,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The phrase ""rustic"" poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: Nguyen Nhuoc Phap 
B: Nguyen Binh
C: Luu Trong Lu 
D: To Huu", C: Luu Trong Lu.,"to which poet in the article ""An era in poetry""",0.0
7,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The word ""pure"" in poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: The Lu 
B: Luu Trong Lu
C: Nguyen Nhuoc Phap 
D: Nguyen Binh", to A: The Lu.,"to which poet in the article ""An era in poetry""?",0.2857142984867096
8,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In “A Poetic Era”, Hoai Thanh wrote: “Our life lies in the word I. Losing breadth, we seek depth. But the further we go, the colder we feel”. This is [MASKED]
### Choices:
A: The Lu 
B: Xuan Dieu
C: Luu Trong Lu 
D: Han Mac Tu", C: Luu Trong Lu,"Hoai Thanh’s assessment of the poetic soul of the “New Poetry” writers in the declining period. The phrase “but the fairy cave has closed”, which poet does he refer to?",0.0
9,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who is the ""seeking [MASKED]
### Choices:
A: Good-natured person 
B: Talented person
C: virtuous person 
D: A person of virtue and talent"," [MASKED]""?

### Choices:
A: Good-natured person 
B: Talented person
C: Virtuous person 
D: A person of virtue and talent

The correct answer would depend on the context of the sentence, but given the options, ""A person of virtue and talent"" (Option D) could be a suitable completion if the sentence implies someone who possesses both moral excellence and skill.","the wise"" aimed at here?",0.0
