,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: [MASKED]","**Trong thời kỳ phong kiến suy tàn, nước ta bị chia cắt, nhiều cuộc khởi nghĩa nổ ra**. 


Chiếu cầu hiền ra đời trong bối cảnh đất nước bị chia cắt, phong kiến suy tàn, nhân dân oán hận, nhiều cuộc khởi nghĩa nổ ra. 
",Khi triều đại Tây Sơn sụp đổ,0.0
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: [MASKED] 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử","**C:  Phản đối việc vua Quang Trung lên ngôi**

**Giải thích:**

* Sĩ phu Bắc Hà thời Nguyễn được biết đến với lòng yêu nước, mong muốn đất nước thái bình và có một vị vua minh quân. 
*  Lựa chọn A, B thể hiện sự bất mãn của sĩ phu với quan lại tham nhũng, không dám nói thẳng với vua. 
* Lựa chọn D thể hiện sự tôn trọng tài năng của vua",Nhiều người có tài năng còn chưa chịu ra giúp nước,0.06976744532585144
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: [MASKED] 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh","**Sự hình thành và phát triển của phong trào Thơ mới**. 


Vậy câu hỏi hoàn chỉnh là:

### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: **Sự hình thành và phát triển của phong trào Thơ mới**
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ",Các tác phẩm thuộc phong trào Thơ mới.,0.12987013161182404
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: [MASKED]","**Tế Hanh** 


Hoài Thanh dùng từ ""hùng tráng"" để chỉ hồn thơ của Tế Hanh trong bài viết ""Một thời đại trong thi ca"". 
",Nguyễn Nhược Pháp,0.0
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: [MASKED] 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử","**Tế Hanh** 


Hoài Thanh dùng từ ""hồn thơ kì dị"" để chỉ **Tế Hanh** trong bài viết ""Một thời đại trong thi ca"". 
",Xuân Diệu,0.0
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đoạn trích “Tôi có một ước mơ” được viết theo phương thức nào?
### Lựa chọn:
A: Nghị luận 
B: [MASKED]
C: Biểu cảm 
D: Chính luận","**Tự sự** 

Đoạn trích ""Tôi có một ước mơ"" của Hồ Chí Minh là một đoạn văn **tự sự** kể về ước mơ của tác giả về một đất nước độc lập, tự do và hạnh phúc. 


",Tự sự,0.1428571492433548
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: [MASKED] 
B: Nguyễn Bính
C: Lưu Trọng Lư 
D: Tố Hữu","**Huy Cận** 


Hoài Thanh dùng từ ""hồn thơ quê mùa"" để chỉ **Huy Cận** trong bài viết ""Một thời đại trong thi ca"". 
",Nguyễn Nhược Pháp,0.0
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Thế Lữ 
B: [MASKED]
C: Nguyễn Nhược Pháp 
D: Nguyễn Bính","**Tế Hanh** 


Hoài Thanh dùng từ ""hồn thơ trong sáng"" để chỉ **Tế Hanh** trong bài viết ""Một thời đại trong thi ca"". 
",Lưu Trọng Lư,0.0
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”.  là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?
### Lựa chọn:
A: Thế Lữ 
B: Xuân Diệu
C: Lưu Trọng Lư 
D: [MASKED]","**Huy Cận** 


Cụm từ ""nhưng động tiên đã khép"" là lời nhận định của Hoài Thanh về hồn thơ của nhà thơ **Huy Cận** trong giai đoạn thoái trào của thơ ""Thơ mới"". 
",Hàn Mặc Tử,0.0
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: “Cầu hiền” ở đây hướng tới đối tượng nào?
### Lựa chọn:
A: [MASKED] 
B: Người có tài
C: Người có đức 
D: Người có đức và tài","**Người có tài nhưng chưa có đức** 


Câu hỏi hoàn chỉnh: “Cầu hiền” ở đây hướng tới đối tượng nào?
A: **Người có tài nhưng chưa có đức** 
B: Người có đức 
C: Người có đức và tài
D: 


**Giải thích:**

""Cầu hiền"" là một khái niệm trong đạo lý Việt Nam, thường được dùng để chỉ việc khuyên nhủ những người có tài năng",Người ăn ở hiền lành,0.1066666692495346
