predict,label,score,Subject,retained
"Ở lại và bảo vệ B, đồng thời báo cáo với cô giáo.",Cùng với A đánh B cho vui.,0.1,civic_education,True
Ở lại và cố gắng giúp đỡ thanh niên đó nếu có khả năng hoặc nhờ người lớn giúp.,Đèo em bé đó đến gặp công an.,0.074074074074074,civic_education,True
Ở lại sau.,Không tôn trọng lẽ phải.,0.0,civic_education,True
"làm giàu bằng chính sức lực, tài năng của mình","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0,civic_education,True
Ứng xử tốt.,Khiêm tốn.,0.0,civic_education,True
Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.,Sang đánh nhà hàng xóm.,0.3636363636363636,civic_education,True
Ảnh hưởng đến quyền riêng tư của người khác.,Tự nhận lỗi về mình,0.0,civic_education,True
"Ở người có lòng, ở nhà có tình",Lời nói không mất tiền mua,0.0,civic_education,True
Ưng lời.,Lòng vị tha.,0.0,civic_education,True
Giữ chữ tín],Liêm khiết.,0.0,civic_education,True
"Ưng lự (hoặc ""quy tắc"", ""quy định"" tùy thuộc vào ngữ cảnh).",Công bằng.,0.0,civic_education,True
Ưu tiên quyền lợi của cá nhân trên cộng đồng.,Giúp cho mọi người tôn trọng nhau hơn.,0.0,civic_education,False
"Ở đâu người, ở đó pháp",Phép vua thua lệ làng,0.0,civic_education,True
Ở đây là C. Giúp cho mọi người tôn trọng nhau hơn.,Giúp cho mọi người gần nhau hơn.,0.631578947368421,civic_education,False
Ải ức.,Tình đồng chí.,0.0,civic_education,True
"Ưng ý, hiểu biết và thông cảm, đồng cảm sâu sắc với nhau.",Phù hợp với nhau về quan niệm sống.,0.1904761904761905,civic_education,True
"Ở một số trường hợp, tình bạn có thể không cần thiết phải có sự đối xứng.",Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.1428571428571428,civic_education,False
"Ở bên cạnh bạn D, nhắc nhở bạn về việc tuân thủ quy định của trường và không nên vi phạm kỷ luật.",Nói với cô giáo để bạn bị phạt.,0.064516129032258,civic_education,True
Ở gia đình bà E có quan điểm riêng về việc sử dụng thời gian và họ coi những hoạt động này là không cần thiết.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.2926829268292683,civic_education,True
Ươm mầm,Nhà nước.,0.0,civic_education,True
Ảnh hưởng tiêu cực đến sự phát triển của xã hội.,"Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.1739130434782608,civic_education,True
Ảnh hưởng của văn hóa tiêu cực.,"Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.0,civic_education,True
Ứơc định.,Vi phạm quy chế.,0.0,civic_education,True
Ở tù.,Cảnh cáo.,0.0,civic_education,True
Ở lại nhà và được giám sát bởi gia đình.,Phạt tù.,0.0,civic_education,True
2-3 giờ đầu.,1 tuần.,0.0,civic_education,True
Ảnh hưởng của vi rút HIV đến hệ thống miễn dịch của con người.,Cúm gà.,0.0,civic_education,True
"Ở đây sẽ là ""Sự xuất hiện của các mảng da màu trắng (lichen planus) hoặc các nốt sùi (Kaposi's sarcoma), và các triệu chứng nhiễm trùng trùng lặp như sốt, mệt mỏi, mất cân đối, và ỉa chảy kéo dài trên 1 tháng"".",Sút cân trên 10% trọng lượng cơ thể.,0.0769230769230769,civic_education,True
Ươm mầm qua đường tình dục không an toàn,"Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.0,civic_education,True
"Ở đây bạn cần điền ""Cả A, B, C.""",Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.0,civic_education,True
Ươm mầm từ Bộ Quốc phòng và Bộ Công an.,Cá nhân.,0.0,civic_education,True
