,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Mạch truyện diễn biến theo trình tự thời gian nào?
### Lựa chọn:
A: Hiện tại - quá khứ 
B: [MASKED]
C: Hiện tại - quá khứ - hiện tại 
D: Hiện tại - quá khứ - tương lai",,Hiện tại - tương lại,0.0
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Quê hương của Thanh Tịnh là ở đâu?
### Lựa chọn:
A: Ven sông Hương, thành phố Huế 
B: [MASKED]
C: Ven sông Đuống, Gia Lâm (Hà Nội) 
D: Một tỉnh thuộc đồng bằng Bắc Bộ",,"Ven sông Hồng, thành phố Hà Nội",0.0
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tôi đi học của Thanh Tịnh được viết theo thể loại nào?
### Lựa chọn:
A: Bút kí 
B: Truyện ngắn trữ tình
C: [MASKED] 
D: Tuỳ bút",,Tiểu thuyết,0.0
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: [MASKED] 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ",,"Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập",0.0
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học được miêu tả chủ yếu ở phương diện nào?
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: [MASKED] 
D: Hành động",,Tâm trạng,0.0
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Biện pháp tu từ nào được tác giả sử dụng trong đoạn văn trên?
### Lựa chọn:
A: A. Nhân hóa. 
B: B. So sánh.
C: [MASKED] 
D: D. Ẩn dụ.",,C. Điệp ngữ.,0.0
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Chủ đề của văn bản “Tôi đi học” nằm ở phần nào?
### Lựa chọn:
A: Nhan đề của văn bản 
B: [MASKED]
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên", ba yếu tố trên,Quan hệ giữa các phần của văn bản,0.0
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Sức cuốn hút của tác phẩm ""Tôi đi học"" là:
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: [MASKED] 
D: Cả A, B, C.",,"Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả.",0.0
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhân vật chính trong văn bản 'Tôi đi học’ là ai?
### Lựa chọn:
A: Người mẹ 
B: Người thầy giáo
C: [MASKED] 
D: Nhân vật ‘tôi’",,Ông đốc,0.0
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh Tịnh sử dụng trong văn bản ""Tôi đi học”?
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: [MASKED] 
D: Kết hợp cả A, B, C",,Biểu cảm,0.0
10,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Đặc sắc nghệ thuật của truyện ngắn ""Tôi đi học""?
### Lựa chọn:
A: Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường. 
B: Sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.
C: Cả A và B đúng 
D: [MASKED]",,Cả A và B sai,0.0
11,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Hai câu văn sau trong tác phẩm “Tôi đi học” đã thể hiện những đức tính gì của ông đốc và thầy giáo trẻ?
### Lựa chọn:
A: Rất vui vẻ. 
B: Hết lòng săn sóc và thương yêu học sinh.
C: [MASKED] 
D: Cả 3 ý trên đều đúng",,Rất hiền hậu.,0.0
12,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Ý nào nói đúng nhất tác dụng của biện pháp tu từ so sánh được sử dụng trong câu văn: “Tôi quên thế nào được những cảm giác trong sáng ấy nảy nở trong lòng tôi như mấy cành hoa tươi mỉm cười giữa bầu trời quang đãng”?
### Lựa chọn:
A: Tô đậm cảm giác trong trẻo, tươi sáng của nhân vật “tôi” ngay trong ngày đến trường đầu tiên. 
B: [MASKED]
C: Cho người được thấy được những kỉ niệm trong buổi sáng đến trường đầu tiên luôn được in đậm trong tâm trí nhân vật “tôi”. 
D: Tô đậm vẻ đẹp của những cành hoa tươi nở giữa bầu trời quang đãng.",,Nói lên nỗi nhớ thường trực của nhân vật “tôi” về ngày đến trường đầu tiên.,0.0
13,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Ý nào nói đúng nhất tác dụng của biện pháp tu từ được tác giả Thanh Tịnh sử dụng trong đoạn văn
### Lựa chọn:
A: Tô đậm tâm trạng, cảm giác của nhân vật 'tôi' khi nhìn các bạn, thấy các bạn cũng sợ sệt, vụng về như mình 
B: [MASKED]
C: Tô đậm niềm mong ước được biết lớp, biết thầy để khỏi phải rụt rè trong khung cảnh trường lớp xa lạ của mấy cậu học trò mới 
D: Cả A, B, C đều đúng"," cảm xúc và trải nghiệm của nhân vật 'tôi' với những người xung quanh, đặc biệt là những","Tô đậm tâm trạng, cảm giác của mấy cậu học trò mới khi đứng bên người thân trước giờ vào lớp học",0.08888889104127884
