Threshold:0.0, retain_rate:0.3635500711912672, average:0.0
Threshold:0.05, retain_rate:0.3640246796392976, average:5.0145421722996614e-05
Threshold:0.1, retain_rate:0.3901281442809682, average:0.005366559671339327
Threshold:0.15000000000000002, retain_rate:0.4242999525391552, average:0.01510330869360184
Threshold:0.2, retain_rate:0.46511627906976744, average:0.029500292616365567
Threshold:0.25, retain_rate:0.4973896535358329, average:0.04253980535619649
Threshold:0.30000000000000004, retain_rate:0.5282392026578073, average:0.05630988826220651
Threshold:0.35000000000000003, retain_rate:0.5771238728049359, average:0.07933922343706552
Threshold:0.4, retain_rate:0.6179401993355482, average:0.09963009918546517
Threshold:0.45, retain_rate:0.6407214048410061, average:0.11127019004408906
Threshold:0.5, retain_rate:0.7308970099667774, average:0.15863941938812004
Threshold:0.55, retain_rate:0.7446606549596583, average:0.16555881889217614
Threshold:0.6000000000000001, retain_rate:0.7769340294257238, average:0.18279943614152092
Threshold:0.65, retain_rate:0.7892738490745135, average:0.18971976449341585
Threshold:0.7000000000000001, retain_rate:0.8305647840531561, average:0.2135238548883478
Threshold:0.75, retain_rate:0.8514475557664927, average:0.22628211191414857
Threshold:0.8, retain_rate:0.8694826767916469, average:0.23782264283051052
Threshold:0.8500000000000001, retain_rate:0.8875177978168012, average:0.24971159826945502
Threshold:0.9, retain_rate:0.9041290934978643, average:0.2611971802810037
Threshold:0.9500000000000001, retain_rate:0.9121974371143806, average:0.26704312270094477
