predict,label,score,Subject,retained
"unethically, as this dual role can create a conflict of interest and may compromise her objectivity.",unethically by accepting dual roles.,0.3077000081539154,civic_education,True
"Governments may employ a range of measures, including military action, law enforcement, and intelligence gathering, depending on their perspective on terrorism.",],0.0,civic_education,True
hearsay.,hearsay.,1.0,civic_education,True
"No, countries cannot rely on their domestic law as an excuse to violate their obligations under international law",Only customary international law prevails over domestic law,0.1481000036001205,civic_education,True
premenstrual dysphoric disorder (PMDD),generalized anxiety disorder,0.1429000049829483,civic_education,True
45°,cos–1 (1/g),0.0,civic_education,True
Reassortment of the viral genome,Recombining with another enterovirus,0.125,civic_education,True
"The Southeast Asia Collective Defense Treaty, also known as the Manila Pact, which led to the formation of the Southeast Asia Treaty Organization (SEATO) and provided a collective defense commitment to South Vietnam.",mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.2449000030755996,civic_education,True
The seller can obtain the reasonable value of the car's use and the down payment minus the reasonable value of the car's use.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.3043000102043152,civic_education,True
Lactic acid fermentation or Alcohol fermentation,Calvin cycle,0.0,civic_education,True
"The costs of free trade are concentrated among a few domestic firms that may lose their competitive advantage in the global market, while the benefits are dispersed among many consumers who enjoy lower prices.",],0.0,civic_education,True
"True, True",],0.0,civic_education,False
"To provide a permanent airway when a patient has difficulty breathing through their mouth and nose, such as in cases of severe respiratory failure or obstruction.",],0.0,civic_education,True
"$45,000.00",],0.0,civic_education,False
"the central city and the surrounding metropolitan area, including suburbs and adjacent counties.",],0.0,civic_education,True
"Corporate social responsibility, Financial accounting.","Financial accounting, Environmental management initiatives",0.1817999929189682,civic_education,True
0.01 J,0.005 J,0.75,civic_education,False
],is a semilunar valve,0.0,civic_education,True
is used to determine the content of minerals in a soil sample,was used to demonstrate DNA as the genetic material,0.2856999933719635,civic_education,True
"Wrong, Not wrong","Wrong, Wrong",0.800000011920929,civic_education,True
overlapping or mixed,useful,0.0,civic_education,True
the Economic Opportunity Act of 1964,Medicare and Medicaid,0.0,civic_education,True
The university raises tuition.,],0.0,civic_education,True
"The decision paved the way for the Civil Rights Movement, leading to further desegregation and equal rights for African Americans.","In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.1026000007987022,civic_education,True
The tolerance of the Roman government towards different religions.,the hatred of all things Roman by British scholars in the eighteenth century,0.2608999907970428,civic_education,False
Increasing the partial pressure gradient of the gas,Decreasing the solubility of the gas in water,0.4000000059604645,civic_education,True
"Interacting with antigens (or more specifically, through the presentation of antigens by antigen-presenting cells to T helper cells, which then stimulate B cells).",],0.0,civic_education,True
"Samantha, a 17-year-old female, who is a perfectionist and has a family history of eating disorders, and is currently dieting to lose weight for an upcoming school dance","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.2856999933719635,civic_education,True
75,],0.0,civic_education,True
"the Yangtze River Valley, specifically the area around the modern-day city of Xi'an.",external influences originating from the Indus Valley.,0.0799999982118606,civic_education,True
"Links is a common term for a golf course, especially those located near the sea. ",Steps,0.0,civic_education,True
I shot an arrow through the bulleye.],"Wrong, Wrong",0.0,civic_education,False
The inferior alveolar nerve,],0.0,civic_education,True
cerebellum],visual system,0.0,civic_education,True
"Option I if it needs at least $25,000 to pay off an overdue loan",Option II if it wants to maximize expected return,0.3077000081539154,civic_education,True
