,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại nào?
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: [MASKED] 
D: Triều Mạc, Lê, Trịnh, Tây Sơn"," [MASKED]  Vậy câu hỏi thực chuyên là: Ngô Thì Nhậm từng làm quan dưới triều đại này? 
### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại này?","Triều Lê, Trịnh, Tây Sơn",0.11650485545396805
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời với mục đích gì?
### Lựa chọn:
A: [MASKED] 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn","Để giúp nước chiếu cầu hiền ra đời
### Câu hỏi: Chiếu cầu hiền ra đời [MASKED] để giúp nước?
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đì",Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn,0.1599999964237213
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: [MASKED]
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ","Đối thoại Phan Đình Phước với triều đại Tây Sơn sụp đổ, điều quan trọng để chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào.
### Câu",Khi Trịnh Sâm lên ngôi vua,0.0714285746216774
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: [MASKED]
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử","
D: Nhiều người ngư�uteur mộ tài năng của vua Quang Trung đã ra tiến cử",Người ra làm quan thì giữ mình không dám nói thẳng,0.1944444477558136
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Giá trị nội dung của Chiếu cầu hiền là:
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: [MASKED] 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan","
Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra là là quan.",Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước,0.3739837408065796
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: [MASKED]","Đối thoại giữa Thơ mới và Thi ca. 

Cậu, hãy nhớ và giải thích về động vật giữa Thơ mới và Thi ca trong thời đại này, thể hiện những gì?",Quan điểm nghệ thuật vị nhân sinh,0.19607843458652496
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: ""Chiếu cầu hiền"" là của tác giả nào?
### Lựa chọn:
A: Ngô Thì Nhậm 
B: [MASKED]
C: Ngô gia văn phái 
D: Quang Trung"," [MASKED]
Chúng ta thay B thành câu hỏi: ""Chiếu cầu hiền"" là của [MASKED]?",Ngô Thì Sĩ,0.04878048598766327
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Câu nào dưới đây nói đúng về năm sinh và năm mất của Hoài Thanh?
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: Sinh năm 1920, mất năm 2002.
C: [MASKED] 
D: Sinh năm 1909, mất năm 1982."," [1915] 
Rõ ràng học đọc: Câu này dườt thảy thật liều chi tiết năm sinh và năm mất của Hoài Thanh, trong trường hợp A, B và D. Năm sinh được đánh tháp ","Sinh năm 1930, mất năm 2008.",0.21238937973976135
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Lưu Trọng Lư 
B: [MASKED]
C: Huy Thông 
D: Nguyễn Nhược Pháp","
B: [Bà Tràu Pháp]",Nguyễn Bính,0.11764705926179886
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: Xuân Diệu 
B: [MASKED]
C: Chế Lan Viên 
D: Hàn Mặc Tử","
B: Hồn thơ “kì dị"" Hoài Thanh dùng nhà thơ [MASKED] trong bài viết “Một thời đại trong thi ca""
### Câu hỏi: Hồn thơ “kì dị"", nhà thơ thành viên trong bài viết ""M",Huy Cận,0.06741572916507721
