predict,label,score
"Tìm cách can thiệp và bảo vệ B, nói với A hành động của cậu ấy là sai và không nên làm như vậy.",Cùng với A đánh B cho vui.,0.12903225806451613
"Tới can ngăn thanh niên gây tai nạn và gọi điện cho cảnh sát, cùng người xung quanh giúp đỡ nạn nhân.",Đèo em bé đó đến gặp công an.,0.0
"Thiển cận, dễ thay đổi",Không tôn trọng lẽ phải.,0.0
"Không gian lận trong bài thi, kiểm tra","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.09523809523809525
Tư tâm,Khiêm tốn.,0.0
Gọi điện cho người thân hoặc bạn bè để nhờ họ giúp đỡ hoặc khuyên nhủ.,Sang đánh nhà hàng xóm.,0.0
"Lăng mạ, nói xấu người khác sau lưng.",Tự nhận lỗi về mình,0.0
Ăn quả nhớ kẻ trồng cây,Lời nói không mất tiền mua,0.0
Sự thật,Lòng vị tha.,0.0
Giữ chữ tín,Liêm khiết.,0.0
Luật lệ nội quy,Công bằng.,0.0
"Đảm bảo trật tự, an toàn và quyền lợi cho mỗi cá nhân.",Giúp cho mọi người tôn trọng nhau hơn.,0.09523809523809525
"Có nết, có phép, mới làm nên người",Phép vua thua lệ làng,0.15384615384615385
"Là một động lực giúp con người vượt qua khó khăn, thử thách trong cuộc sống.",Giúp cho mọi người gần nhau hơn.,0.17391304347826086
Tình đồng chí,Tình đồng chí.,1.0
Không lợi dụng lẫn nhau,Phù hợp với nhau về quan niệm sống.,0.15384615384615385
Tình bạn phải luôn gắn liền với lợi ích cá nhân,Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.18181818181818182
Tuyên bố với thầy cô rằng E đang gian lận.,Nói với cô giáo để bạn bị phạt.,0.22222222222222224
Gia đình bà E có quan điểm hạn hẹp về việc tham gia các hoạt động cộng đồng.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.5454545454545454
Ủy ban nhân dân các cấp,Nhà nước.,0.0
"Gây ra những hậu quả nghiêm trọng cho xã hội, ảnh hưởng đến an ninh trật tự và phát triển kinh tế.","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.11764705882352942
"Giết người, trộm cắp, bạo lực học đường.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.22222222222222224
Hậu quả xã hội,Vi phạm quy chế.,0.0
Tử hình,Cảnh cáo.,0.0
"Giáo dục, kèm cặp",Phạt tù.,0.0
Ngay sau khi tiếp xúc,1 tuần.,0.0
HIV,Cúm gà.,0.0
Hệ miễn dịch suy giảm,Sút cân trên 10% trọng lượng cơ thể.,0.0
Quan hệ tình dục không an toàn,"Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.0
Sử dụng bao cao su khi quan hệ tình dục.,Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.0
Các doanh nghiệp quốc phòng,Cá nhân.,0.0
Ngày 23 tháng 3,Ngày 14 tháng 10,0.5
Để bình gas trong nhà bếp không có thông gió.,Dùng dao để đánh nhau.,0.13333333333333333
"Đối tượng đang cố tình, nguy hiểm, gây chết người hoặc làm bị thương người thi hành công vụ hoặc người khác, và các biện pháp khác không đủ để khống chế tình hình.","Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.",0.13559322033898305
Chất độc hại,Vũ khí,0.0
Từ 3 năm đến 7 năm,Từ 1 năm đến 5 năm.,0.6666666666666666
Chiếm hữu của chủ sở hữu và chiếm hữu của người không phải chủ sở hữu.,Chiếm hữu của chủ sở hữu.,0.5454545454545454
Quyền sở hữu,Quyền chiếm hữu.,0.6666666666666666
Đảm bảo và bảo vệ,Bảo hộ và chịu trách nhiệm.,0.3636363636363636
Đảm bảo quyền sở hữu của công dân,Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.,0.44444444444444436
để đáp ứng nhu cầu của con người,"Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.",0.0
Đáp ứng nhu cầu của con người,Thúc đẩy tăng trưởng kinh tế.,0.0
Sự phát triển của xã hội,Thu nhập của người lao động.,0.16666666666666666
