predict,label,score,Subject,retained
Đi thoát lại giữa các bạn và tránh tình huống đánh.,Cùng với A đánh B cho vui.,0.25,civic_education,True
"Đứng tránh lính, tránh tai nạn và tránh những người không có lợi nhuân.",Đèo em bé đó đến gặp công an.,0.125,civic_education,True
Động gi lif,Không tôn trọng lẽ phải.,0.0869999974966049,civic_education,True
Đáp án trên,"Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.1176000013947486,civic_education,True
Đội thúc.,Khiêm tốn.,0.0,civic_education,True
Đàn ếch nhà hàng xóm.,Sang đánh nhà hàng xóm.,0.7407000064849854,civic_education,True
Đồng tích hợp với người khác và cùng hợp tại một cuộc họp.,Tự nhận lỗi về mình,0.1429000049829483,civic_education,True
"Cười người hôm trước, hôm sau người cười",Lời nói không mất tiền mua,0.1777999997138977,civic_education,True
Định nghĩa về tinh thần.,Lòng vị tha.,0.1738999933004379,civic_education,True
Độ tinh thần.,Liêm khiết.,0.0,civic_education,True
Điều lệ.,Công bằng.,0.0,civic_education,True
"Đảm bảo an toàn, sự trọng tâm, và bảo hộ trong hệ thống thiếu niên.",Giúp cho mọi người tôn trọng nhau hơn.,0.1310999989509582,civic_education,False
ở trên trời có cá thể,Phép vua thua lệ làng,0.0833000019192695,civic_education,True
"Đẩy tình yêu cầu cảm thấy tích của, sự đồng hành và động vi trong gia đình.",Giúp cho mọi người gần nhau hơn.,0.1111000031232833,civic_education,False
Độ tuộc.,Tình đồng chí.,0.25,civic_education,True
"Đồng cảm, đồng bội sâu sắc với nhau.",Phù hợp với nhau về quan niệm sống.,0.2608999907970428,civic_education,True
"Ý kiến: Tình bạn có thể trong sáng, lành mạnh giữa hai người khác giống nhau.",Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.2632000148296356,civic_education,False
"Đầu tiên, D có thể nhắc nhỏ bạn, khuyên bạn không vi phạm kỉ luật này, sau đó nhờ bạn D cho xem tài liệu cùng, đồng thời giúp bạn nhằm tránh vi phạm kỉ luật này trong giờ kiểm tra.",Nói với cô giáo để bạn bị phạt.,0.163000002503395,civic_education,True
