,Question,Answer,Label,rouge_score
0,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: During recess, A teased and hit B, causing him to bleed and break his teeth. No one in the class said anything because they were afraid A would hit him. What would you do in this situation?
### Choices:
A: Tell the homeroom teacher to find a solution. 
B: [MASKED]
C: Play B with A for fun. 
D: Go play somewhere else.", Report the incident to the school authorities or inform an adult in charge immediately.,Ignore it because it has nothing to do with me.,0.0833333358168602
1,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: On the way home from school, I saw a young man speeding on a motorbike and causing an accident, breaking a student's arm. What would you do in that situation?
### Choices:
A: Ignore it and pretend you don't know. 
B: With the help of an adult, take the baby to the hospital and call the baby's family.
C: [MASKED] 
D: Pedal home quickly."," Report the incident to the authorities or call the police.

Justification: In this scenario, witnessing an accident caused by reckless behavior such as speeding on a motorbike, which resulted in injury, requires immediate action to ensure safety and seek appropriate medical care for the injured party. Ignoring the situation (choice A) or returning home quickly (choice D) does not address the issue at hand. Choice B involves taking personal initiative but lacks a legal or official response, whereas reporting the incident to the authorities or",Take that baby to the police.,0.06521739065647125
2,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: What does the proverb: ""Follow the wind"" say about people?
### Choices:
A: No respect for reason. 
B: [MASKED]
C: immature 
D: Unconscious."," A lack of direction or decision-making skills.

Justification: The proverb ""Follow the wind"" typically implies that someone is acting without a clear plan, direction, or control over their actions. This suggests they may not be making decisions deliberately or with purpose, which can be interpreted as lacking direction or decision-making skills. None of the other choices directly align with the implications of this proverb.",dishonest,0.0
3,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: I practice integrity in studying is:
### Choices:
A: Enthusiastically help people without calculation or self-interest 
B: [MASKED]
C: Pick up lost property and return it to its owner. 
D: All of the above"," B: Maintain honesty, fairness, and consistency in actions, words, and beliefs.

This choice aligns with the concept of integrity, which involves practicing honesty, fairness, and consistency in one's actions, words, and beliefs. It is closely related to options A and C, which also represent aspects of integrity by emphasizing helping others without self-interest and returning lost property, respectively.",Get rich with your own strength and talent,0.05797101557254791
4,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Not greedy for fame, not greedy for profit, not petty, selfish is called?
### Choices:
A: Integrity. 
B: [MASKED]
C: Right. 
D: Modest.", **B: Modest**,Fair.,0.0
5,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: At 12 o'clock at night, the neighbor's house is still playing karaoke music. In this situation, what would you do?
### Choices:
A: Whatever. 
B: Go beat up the neighbor.
C: [MASKED] 
D: Go to the neighbor's house and advise them to turn off the machine because it's late at night so everyone can sleep.", D: Go to the neighbor's house and advise them to turn off the machine because it's late at night so everyone can sleep.,Go scold the neighbor.,0.13333334028720856
6,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Which of the following behaviors shows disrespect for others:
### Choices:
A: Walk softly and speak softly in the hospital. 
B: Mocking, mocking people with disabilities.
C: Know how to listen to everyone's opinions. 
D: [MASKED]", Spreading rumors or gossip about others.,Take the blame on yourself,0.0
7,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Some folk songs and proverbs about respecting others:
### Choices:
A: It is difficult to know reason and words. Knowing how to behave and behave is better than the rich. 
B: [MASKED]
C: Laugh at others today, tomorrow others will laugh at you 
D: All of the above","你敬人一尺，人敬你一丈 (You respect others by one zhang, and others will respect you by ten zhang). This proverb emphasizes the importance of showing respect for others, as it will lead to reciprocal respect.","Words do not cost money, choose your words carefully to please each other.",0.043478261679410934
8,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Proverb: Keep your word, don't be like a butterfly that lands and then flies away, saying something else.
### Choices:
A: Loyalty. 
B: [MASKED]
C: Keep your word. 
D: Altruism.", B: Changeability.,Loyalty.,0.0
9,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Respecting people's trust in you, knowing how to keep promises and trusting each other is called?
### Choices:
A: [MASKED] 
B: Fair.
C: Right. 
D: Keep your word."," **Trust**.

Respecting people's trust in you, knowing how to keep promises, and trusting each other is called **trust**.",Integrity.,0.0
10,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: What are the rules and conventions in a group or community of people on a smaller scale called?
### Choices:
A: Integrity. 
B: [MASKED]
C: Law. 
D: Discipline."," Norms. 

Rules and conventions in a group or community of people on a smaller scale are often referred to as ""norms."" Norms are understood expectations that guide behavior within a specific context, such as a family, school, workplace, or club. They can be unwritten and taken for granted, but they significantly influence how members interact and behave.",Fair.,0.0
11,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: What do laws and regulations mean to people?
### Choices:
A: Help everyone have a common standard for training and unity in activities. 
B: [MASKED]
C: Help people respect each other more. 
D: Help people improve themselves."," A: Help everyone have a common standard for training and unity in activities. This choice aligns with the typical purpose of laws and regulations, which aim to establish guidelines that ensure order, fairness, and consistency in society. They provide a framework for expected behavior and activities, allowing individuals and groups to understand and adhere to standards that promote cooperation and harmony among them.",Bringing people closer together.,0.0
12,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The folk song shows respect for law and discipline.
### Choices:
A: Land has borders, hometown has customs 
B: [MASKED]
C: I love you, I keep it in my heart. I do my official duties as I please. 
D: A, B, C","《土地有疆域，鄉閩有風俗》。

So the completed question would be:

### Question: The folk song ""Land has borders, hometown has customs"" shows respect for law and discipline.

### Choices:
A: Land has borders, hometown has customs 
B: 土地有疆域，鄉閩有風俗
C: I love you, I keep it in my heart. I do my official duties as I please. 
D: A, B",The king's law is weaker than the village's custom.,0.0317460335791111
13,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: What does a pure, healthy friendship mean?
### Choices:
A: Helps people feel warm, confident, love life and improve themselves. 
B: [MASKED]
C: Help people respect each other more. 
D: Make people happier"," Helps people feel warm, confident, love life and improve themselves.

Therefore, the completed question would be:

### Question: What does a pure, healthy friendship mean?
### Choices:
A: Helps people feel warm, confident, love life and improve themselves. 
B: Helps people feel warm, confident, love life and improve themselves.
C: Help people respect each other more. 
D: Make people happier",Bringing people closer together.,0.0317460335791111
14,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The emotional attachment between two or more people based on compatibility in personality, interests, and ideals is called?
### Choices:
A: [MASKED] 
B: Friendship.
C: Comradeship. 
D: Fraternity."," **Love**.

The emotional attachment between two or more people based on compatibility in personality, interests, and ideals is called **Love**.",Love.,0.095238097012043
15,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: What are the characteristics of a pure, healthy friendship?
### Choices:
A: [MASKED] 
B: Compatible with each other in terms of life philosophy.
C: Sympathy, deep empathy with each other. 
D: Both A, B, C."," Compatible with each other in terms of life philosophy.

Therefore, the completed question reads:

### Question: What are the characteristics of a pure, healthy friendship?
### Choices:
A: Compatible with each other in terms of life philosophy.
B: Sympathy, deep empathy with each other.
C: Mutual respect and trust.
D: Both A, B, C.

The answer would be D: Both A, B, C.",Equality and mutual respect.,0.0615384615957737
16,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Which of the following opinions about friendship do you disagree with?
### Choices:
A: Pure, healthy friendship cannot be one-sided. 
B: Friends must protect each other in all situations.
C: Know how to criticize each other in all situations. 
D: [MASKED]"," Friendship requires honesty and trust, but it does not mean that friends need to share every secret or personal detail.

This fills in the blank as an opinion that could potentially be disagreed with, contrasting with the other choices which are more straightforward affirmations or requirements of friendship.","It is possible to have a pure, healthy friendship between two people of the opposite sex.",0.06060606241226196
17,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: is E's best friend. During the 15-minute test, E didn't study the old lesson so he secretly opened his book to copy. If you were D, what would you do?
### Choices:
A: Remind you, advise you not to do so because it violates discipline. 
B: Thanks D for showing me the document.
C: [MASKED] 
D: Tell the teacher so you get punished."," Ignore and pretend not to notice.

Justification: Based on the context provided in the question, E is in a situation where they are cheating during a test by copying from their book when their best friend D is present. Given that choices A, B, and D involve some form of intervention or honesty, choice C suggests ignoring the situation, which might be an option if one believes in giving friends second chances or thinks that intervening could escalate the situation negatively. However, this choice implies a lack of support",Ignore it because it has nothing to do with me.,0.04040404036641121
