,Question,Answer,Label,rouge_score
0,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what country's context [MASKED]
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
D: When the Tay Son dynasty collapsed"," **C: Nguyen Hue ascended the throne** 

**Explanation:**

The question is asking for the context of a specific event in Vietnamese history.  

* **Nguyen Hue** was the ruler of the Nguyen dynasty, which rose to power in Vietnam. 
* **A, B, and D** all relate to other dynasties or events in Vietnamese history, but they don't directly address the context of Nguyen Hue's ascension to the throne. 


Let me know if you",was the edict issued?,0.025974025949835777
1,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The answer does not correctly reflect [MASKED]
### Choices:
A: Scholars who hide their names waste their talents. 
B: Officials keep to themselves and do not dare to speak frankly.
C: Many talented people are still unwilling to help the country. 
D: Many people admired King Quang Trung's talent and recommended him."," **C: Many talented people are still unwilling to help the country.**

Here's why:

* **The sentence structure:** The sentence is set up to contrast the answer choices.  The question implies that the answer is incorrect because it doesn't align with the general idea of the other choices. 

* **Choice C is the only option that is a statement of fact, not a comparison.** The other choices are either about people hiding their talents, or about the actions of officials",the attitude of the Northern scholars:,0.0470588244497776
2,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the excerpt [MASKED]
### Choices:
A: Works of the New Poetry movement. 
B: Spirit of New Poetry
C: Vietnamese realism. 
D: Art for humanity"," **A: Works of the New Poetry movement.**

**Explanation:**

The question is asking about the subject matter of the excerpt.  

* **A: Works of the New Poetry movement** is the most likely answer because it directly refers to a specific movement in literature. 

Let's look at why the other options are less likely:

* **B: Spirit of New Poetry:** While this is a possible interpretation, it's not as specific as ""Works of the New","""An era in poetry"" discuss?",0.05128205195069313
3,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The poetic soul ""heroic"", Hoai Thanh used to refer [MASKED]
### Choices:
A: Luu Trong Lu 
B: Nguyen Binh
C: Huy Thong 
D: Nguyen Nhuoc Phap"," **to** **C: Huy Thong** 

Here's why:

* **Huy Thong** was a prominent Vietnamese poet known for his heroic and passionate works. 

The other options are not associated with the same level of poetic connection to Hoai Thanh. 


Let me know if you have any other questions! 
","to which poet in the article ""An era in poetry""?",0.1034482792019844
4,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: ""Strange"" poetic soul, Hoai Thanh used to refer to [MASKED]
### Choices:
A: Xuan Dieu 
B: Huy Can
C: Che Lan Vien 
D: Han Mac Tu"," **C: Che Lan Vien**. 

Here's why:

* **Che Lan Vien** was a renowned Vietnamese poet known for his unique and unconventional style, often described as ""strange"" or ""eccentric."" 

The other options are not associated with this description:

* **Xuan Dieu** was a prominent Vietnamese poet known for his romantic and lyrical works.
* **Huy Can** was a Vietnamese poet known for his traditional and elegant style.
* **Han Mac","which poet in the article ""An era in poetry""",0.050632912665605545
5,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what method is the [MASKED]
### Choices:
A: Discussion 
B: Narrative
C: Expression 
D: Politics"," **expression**? 

The answer is **C: Expression**. 

Here's why:

* **Expression** refers to the way someone communicates their thoughts, feelings, or ideas. 

Let's look at why the other options are incorrect:

* **Discussion:**  A discussion involves a conversation or exchange of ideas.
* **Narrative:** A narrative is a story or account of events.
* **Politics:** Politics is the system of governing a country or community","excerpt ""I have a dream"" written?",0.029411764815449715
6,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The phrase ""rustic"" poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: Nguyen Nhuoc Phap 
B: Nguyen Binh
C: Luu Trong Lu 
D: To Huu"," to **C: Luu Trong Lu**. 

Here's why:

* **Luu Trong Lu** was a prominent Vietnamese poet known for his rustic, simple, and often rural-themed poetry. 

The other options are not associated with this type of poetry:

* **Nguyen Nhuoc Phap** was a different poet known for his more refined and lyrical style.
* **Nguyen Binh** is not a known poet associated with rustic poetry.
* **","to which poet in the article ""An era in poetry""",0.10256410390138626
7,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The word ""pure"" in poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: The Lu 
B: Luu Trong Lu
C: Nguyen Nhuoc Phap 
D: Nguyen Binh"," to **B: Luu Trong Lu**. 

Here's why:

* **Luu Trong Lu** is a specific poetic style associated with Hoai Thanh.  It's a term that refers to a type of poetry that emphasizes purity, simplicity, and elegance. 

Let's look at why the other options are incorrect:

* **The Lu:** This is a general term for a type of Vietnamese poetry, but not specifically associated with Hoai Thanh's use","to which poet in the article ""An era in poetry""?",0.0714285746216774
8,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In “A Poetic Era”, Hoai Thanh wrote: “Our life lies in the word I. Losing breadth, we seek depth. But the further we go, the colder we feel”. This is [MASKED]
### Choices:
A: The Lu 
B: Xuan Dieu
C: Luu Trong Lu 
D: Han Mac Tu"," **C: Luu Trong Lu**. 

Here's why:

* **Luu Trong Lu** is a famous Vietnamese poetic work by Hoai Thanh. 
* The other options are not associated with Hoai Thanh or the context of the quote. 


Let me know if you have any other questions! 
","Hoai Thanh’s assessment of the poetic soul of the “New Poetry” writers in the declining period. The phrase “but the fairy cave has closed”, which poet does he refer to?",0.125
9,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who is the ""seeking [MASKED]
### Choices:
A: Good-natured person 
B: Talented person
C: virtuous person 
D: A person of virtue and talent"," **[MASKED]**""

The best answer here is **C: virtuous person**. 

Here's why:

* **The sentence structure:** The sentence implies a person is actively searching for something.  
* **The context:**  ""Virtuous"" means having strong moral principles and good character. This fits the idea of someone actively seeking a quality like that.

Let's look at why the other options aren't as strong:

* **A: Good-","the wise"" aimed at here?",0.02985074557363987
