,Question,Answer,Label,rouge_score
0,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: In what country's context was the edict issued?
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
D: [MASKED]"," After the fall of the Tran dynasty.

In the context of Vietnamese history, this edict refers to the ""Edict of Forgiveness and Amnesty"" issued by Emperor Gia Long (Nguyen Hue) in 1802, shortly after the fall of the Tran dynasty and his ascension to the throne. This edict was significant as it marked the beginning of the Nguyen dynasty and set the tone for a more lenient and inclusive approach to governance.",When the Tay Son dynasty collapsed,0.04395604506134987
1,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The answer does not correctly reflect the attitude of the Northern scholars:
### Choices:
A: Scholars who hide their names waste their talents. 
B: Officials keep to themselves and do not dare to speak frankly.
C: [MASKED] 
D: Many people admired King Quang Trung's talent and recommended him.","人们害怕表达自己的观点，因为他们担心被报复。

This choice reflects the attitude of the Northern scholars more accurately, as it suggests that they were cautious and hesitant to express their opinions for fear of repercussions.",Many talented people are still unwilling to help the country.,0.05263157933950424
2,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: What does the excerpt ""An era in poetry"" discuss?
### Choices:
A: Works of the New Poetry movement. 
B: Spirit of New Poetry
C: Vietnamese realism. 
D: [MASKED]"," The excerpt ""An era in poetry"" discusses the evolution and characteristics of poetry during a specific time period, which could encompass various movements, styles, or themes including the New Poetry movement, the spirit of New Poetry, or Vietnamese realism depending on the context provided in the excerpt. Without additional information or context, it's impossible to definitively choose between A, B, or C as the correct answer. Therefore, the answer to what is being discussed in the excerpt titled ""An era in poetry"" would",Art for humanity,0.0
3,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The poetic soul ""heroic"", Hoai Thanh used to refer to which poet in the article ""An era in poetry""?
### Choices:
A: Luu Trong Lu 
B: Nguyen Binh
C: Huy Thong 
D: [MASKED]", D: Bui Tuong,Nguyen Nhuoc Phap,0.0
4,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: ""Strange"" poetic soul, Hoai Thanh used to refer to which poet in the article ""An era in poetry""
### Choices:
A: Xuan Dieu 
B: Huy Can
C: Che Lan Vien 
D: [MASKED]", D: Bao Ninh,Han Mac Tu,0.0
5,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: In what method is the excerpt ""I have a dream"" written?
### Choices:
A: Discussion 
B: Narrative
C: [MASKED] 
D: Politics", Martin Luther King Jr.'s famous speech.,Expression,0.0
6,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The phrase ""rustic"" poetry, Hoai Thanh used to refer to which poet in the article ""An era in poetry""
### Choices:
A: Nguyen Nhuoc Phap 
B: Nguyen Binh
C: [MASKED] 
D: To Huu", C: Bao Ninh,Luu Trong Lu,0.0
7,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: The word ""pure"" in poetry, Hoai Thanh used to refer to which poet in the article ""An era in poetry""?
### Choices:
A: The Lu 
B: Luu Trong Lu
C: Nguyen Nhuoc Phap 
D: [MASKED]", D: Bao Ninh,Nguyen Binh,0.2222222238779068
8,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: In “A Poetic Era”, Hoai Thanh wrote: “Our life lies in the word I. Losing breadth, we seek depth. But the further we go, the colder we feel”. This is Hoai Thanh’s assessment of the poetic soul of the “New Poetry” writers in the declining period. The phrase “but the fairy cave has closed”, which poet does he refer to?
### Choices:
A: The Lu 
B: [MASKED]
C: Luu Trong Lu 
D: Han Mac Tu"," but the fairy cave has closed.

Hoai Thanh refers to B: Lu Trung Lu, a well-known Vietnamese poet. His line ""but the fairy cave has closed"" is a metaphorical expression that signifies the decline and loss of inspiration or creativity in the poetic works of the New Poetry writers during the declining period.",Xuan Dieu,0.0
9,"Please fill in the <MASKED> in the question below based on your benchmark knowledge.
### Question: Who is the ""seeking the wise"" aimed at here?
### Choices:
A: [MASKED] 
B: Talented person
C: virtuous person 
D: A person of virtue and talent"," A: Person

So the completed question is:

### Question: Who is the ""seeking the wise"" aimed at here?
### Choices:
A: Person
B: Talented person
C: Virtuous person 
D: A person of virtue and talent",Good-natured person,0.05263157933950424
