,Question,Answer,Label,rouge_score
0,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Ngô Thì Nhậm từng làm [MASKED]
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: Triều Mạc, Lê, Trịnh, Tây Sơn"," triều đại Triều Lê, Mạc, Tây Sơn.",quan dưới triều đại nào?,0.30000001192092896
1,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra [MASKED]
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn"," là ""kêu gọi những người giỏi võ ra giúp nước"".",đời với mục đích gì?,0.0
2,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra đời trong [MASKED]
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ", thời kỳ Nguyễn Huệ lên ngôi vua.,hoàn cảnh đất nước như thế nào?,0.0
3,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đáp án không thể hiện đúng [MASKED]
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử", là C: Nhiều người có tài năng còn chưa chịu ra giúp nước.,thái độ của sĩ phu Bắc Hà:,0.0833333358168602
4,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Giá trị nội dung [MASKED]
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan"," của câu hỏi là:

C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước

Giải thích: Nguyễn Huệ là vị vua của Tây Sơn, nên trong câu hỏi này, người viết đang đề cập đến việc động viên quân Tây Sơn tham gia xây dựng đất nước.",của Chiếu cầu hiền là:,0.07407407462596893
5,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nội dung của đoạn trích “Một thời đại [MASKED]
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh"," [MASKED]” là Tinh thần Thơ mới

Giải thích: 
Đoạn trích “Một thời đại Tinh thần Thơ mới” là một đoạn văn được sử dụng để giới thiệu về phong trào Thơ mới, một phong trào văn học nổi bật trong lịch sử văn học Việt Nam. Tinh thần Thơ mới là một trong những đặc điểm quan trọng của phong trào này, thể hiện sự thay đổi về nội dung và hình thức",trong thi ca” bàn đến vấn đề gì?,0.0
6,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: ""Chiếu cầu hiền"" là [MASKED]
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: Ngô gia văn phái 
D: Quang Trung"," Ngô Thì Sĩ

""Chiếu cầu hiền"" là một tác phẩm của Ngô Thì Sĩ, một nhà thơ nổi tiếng thời Ngô Đình (năm 479-482) trong lịch sử Việt Nam.",của tác giả nào?,0.04545454680919647
7,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu nào dưới đây nói đúng về [MASKED]
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982."," Hồ Chí Minh:

### Câu trả lời: A: Sinh năm 1915, mất năm 1969.",năm sinh và năm mất của Hoài Thanh?,0.2142857164144516
8,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp", Huy Cận.,nào trong bài viết “Một thời đại trong thi ca”?,0.0
9,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Xuân Diệu 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử", Hàn Mặc Tử.,nào trong bài viết “Một thời đại trong thi ca”,0.0
