predict,label,score,Subject,retained
unethically without proper disclosure and consent from all parties involved.,unethically by accepting dual roles.,0.3000000119209289,civic_education,True
"1) It shapes the strategies and tactics employed, ranging from military interventions to intelligence operations.",],0.0,civic_education,True
hearsay,hearsay.,1.0,civic_education,True
Domestic law does not automatically override international law,Only customary international law prevails over domestic law,0.2222000062465667,civic_education,True
,generalized anxiety disorder,0.0,civic_education,True
45°,cos–1 (1/g),0.2222000062465667,civic_education,True
1. Acquiring mutations that enhance its ability to bind to host cell receptors,Recombining with another enterovirus,0.0,civic_education,True
1964 Gulf of Tonkin incident where North Vietnamese forces were reported to have attacked U.S. naval vessels,mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.0952000021934509,civic_education,True
1. The seller may be entitled to keep the down payment as it was a valid part of the contract.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.2082999944686889,civic_education,True
Krebs Cycle or Citric Acid Cycle,Calvin cycle,0.1817999929189682,civic_education,True
"Domestic industries need time to adjust and compete, and protection can provide a buffer for these industries to innovate and improve efficiency.",],0.0,civic_education,True
,],0.0,civic_education,False
To provide an alternative airway for patients who cannot breathe or speak normally due to blockages or obstructions in the upper airway.,],0.0,civic_education,True
"45,000.00",],0.0,civic_education,False
the central city and its surrounding rural areas.,],0.0,civic_education,True
"Social accounting, Financial accounting.","Financial accounting, Environmental management initiatives",0.4614999890327453,civic_education,True
0.005 J,0.005 J,1.0,civic_education,False
regulates blood flow from the right atrium to the right ventricle,is a semilunar valve,0.0,civic_education,True
amplifies specific DNA sequences in vitro.,was used to demonstrate DNA as the genetic material,0.2000000029802322,civic_education,True
"1 Wrong, 2 Not wrong","Wrong, Wrong",0.4444000124931335,civic_education,True
unevenly distributed,useful,0.0,civic_education,True
Medicare and Medicaid,Medicare and Medicaid,1.0,civic_education,True
"1) The governor approves of it, and 2) The board of trustees recommends it.",],0.0,civic_education,True
"The decision led to the desegregation of public schools across the United States, marking the end of legally sanctioned racial segregation in the education system.","In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.0714000016450882,civic_education,True
"18th-century Romans had a diverse range of religious beliefs and practices, indicating a pluralistic society.",the hatred of all things Roman by British scholars in the eighteenth century,0.0487999990582466,civic_education,False
Increasing the thickness of the alveolar-capillary membrane,Decreasing the solubility of the gas in water,0.2399999946355819,civic_education,True
Presenting antigen to a T helper cell,],0.0,civic_education,True
"17-year-old Asian female, who is a high school senior, struggling with body image issues and pressure to maintain a certain appearance for upcoming college auditions","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.2811999917030334,civic_education,True
250,],0.0,civic_education,True
"Çözüm ve görevler: The earliest known Chinese civilization, often referred to as the Yellow River Civilization, began to form around the Yellow River (Huang He) and its tributaries. This civilization is characterized by the development of agriculture, the establishment of cities, and the creation of complex social structures.",external influences originating from the Indus Valley.,0.0285999998450279,civic_education,True
19th hole,Steps,0.0,civic_education,True
"1,2","Wrong, Wrong",0.0,civic_education,False
The inferior alveolar nerve,],0.0,civic_education,True
amygdala,visual system,0.0,civic_education,True
"50% chance of returning $50,000 (Option II)",Option II if it wants to maximize expected return,0.1599999964237213,civic_education,True
must consider the well-being and rights of all sentient beings.,make take into account the interests of all sentient beings.,0.5600000023841858,civic_education,False
,"The resident would not succeed, because the reservation of the resident's right to terminate would be violative of the rule against perpetuities.",0.0,civic_education,True
89.29,$85,0.4444000124931335,civic_education,False
It provided early evidence of the relationship between brain structure and personality.,Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.,0.1537999957799911,civic_education,True
The surprise attack on Pearl Harbor,The bombing of the U.S.S. Liberty,0.1111000031232833,civic_education,True
0.6667:1,6:5,0.4614999890327453,civic_education,True
256-gauge needle,Hepatitis,0.0,civic_education,True
,Amyotrophic lateral sclerosis,0.0,civic_education,False
"1, 2","Not wrong, Wrong",0.0,civic_education,True
,Introspection,0.0,civic_education,True
"1) The ethical implications of using visual data, such as privacy concerns and informed consent from subjects, 2) The accuracy and representation of the visual data to avoid misleading interpretations, 3) The potential impact on the subjects depicted in the visuals, and 4) The intellectual property rights related to the visual content.",Any risk of invasion of privacy,0.0856999978423118,civic_education,False
izzak,],0.0,civic_education,False
"1. Wrong, 2. Wrong","Wrong, Not wrong",0.4444000124931335,civic_education,True
β-carotene,Vitamin A,0.0,civic_education,True
kinetic energy of the alpha particle and the neutron.,gamma radiation.,0.0,civic_education,True
Availability of natural pollinators,],0.0,civic_education,True
they will not necessarily disagree morally.,],0.0,civic_education,True
,Lafayette,0.0,civic_education,True
"12:30 - Woody was introduced as a new character at 12:30, replacing the character Norm Peterson.",Diane,0.0,civic_education,False
"0, because the puck is at rest or moving at a constant velocity (assuming it has not yet come to rest at x = 1.2 m).","The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",0.0727000012993812,civic_education,False
"1) Interest rates increase, leading to reduced borrowing and spending, which can slow down the economy. 2) The dollar appreciates due to higher interest rates attracting foreign investment, increasing demand for the currency.",Interest rates decrease and the dollar appreciates.,0.3199999928474426,civic_education,False
RC circuit.,RC circuit.,1.0,civic_education,True
possessed significant economic power and influence through their ownership of companies and financial assets that generated wealth through corporations.,],0.0,civic_education,True
10,17,0.666700005531311,civic_education,False
"Small, soft cloth or gauze for gentle cleaning around the mouth area.",],0.0,civic_education,True
Jared Diamond and Daniel Simberloff,Matthias Schleiden and Theodor Schwann,0.0908999964594841,civic_education,True
saving increases by less than $X.,consumption increases by more than $X .,0.666700005531311,civic_education,False
They change the pH level to optimal conditions for the reaction.,"They raise the temperature of the reaction mixture, thereby speeding up the conversion of reactants to products.",0.2666999995708465,civic_education,True
1. Standalone purchases: These are situations where a single product or service is bought without any prior or subsequent purchases. The decision-making process is usually straightforward and involves less complexity.,Buyphases.,0.0526000000536441,civic_education,True
"demonstrating that the fetus has a potential future like ours, which is valuable and worth sacrificing.",appealing to the fact that a fetus is biologically human and arguing that it is presumptively morally wrong to kill biologically human beings.,0.1817999929189682,civic_education,True
"1, 2","Not wrong, Wrong",0.0,civic_education,True
materialistic values,],0.0,civic_education,True
"1 Wrong, 2 Not wrong","Wrong, Wrong",0.4444000124931335,civic_education,True
1 - (1/2^1 + 1/2^2 + 1/2^3),1/64,0.2399999946355819,civic_education,True
72 ÷ 9 = [8],],0.0,civic_education,False
Southeast Asia,Europe,0.0,civic_education,True
,Prescribe sertraline,0.0,civic_education,True
systematic desensitization,modeling,0.0,civic_education,True
"2π (where '2π' represents the mathematical constant Pi times 2, which is related to the period of a pendulum'ainevidence of the time taken for one complete oscillation or cycle)",],0.0,civic_education,True
"1, 2","Not wrong, Wrong",0.0,civic_education,True
economic empowerment initiatives,bills of attainder,0.0,civic_education,True
Conducting regular and surprise audits,Establishing a foundation for monitoring.,0.1537999957799911,civic_education,True
Develops through social interactions and cognitive development,Cannot be rationalized in every instance,0.0,civic_education,True
∀x(Lmx ∧ ~(Ljx ∨ Llx)),Lm ∨ ~(Jl ∨ Ll),0.3077000081539154,civic_education,False
Emotional intelligence,Mental rotation,0.0,civic_education,True
"Driving a vehicle, especially if they have not adapted their driving habits to age-related changes such as slower reflexes or impaired vision.",Alone,0.0,civic_education,True
