Threshold:0.0, retain_rate:0.5372567631703844, average:0.0
Threshold:0.05, retain_rate:0.5415282392026578, average:0.00032690999486325624
Threshold:0.1, retain_rate:0.5961082107261509, average:0.007637104382118814
Threshold:0.15000000000000002, retain_rate:0.6464167062173707, average:0.016842748133595944
Threshold:0.2, retain_rate:0.6981490270526816, average:0.028740053634575474
Threshold:0.25, retain_rate:0.7370669197911723, average:0.039570455610351975
Threshold:0.30000000000000004, retain_rate:0.7650688182249644, average:0.04835772792641602
Threshold:0.35000000000000003, retain_rate:0.7935453251067869, average:0.05846772313549557
Threshold:0.4, retain_rate:0.8334124347413384, average:0.0739381437571276
Threshold:0.45, retain_rate:0.8538205980066446, average:0.08250964215280673
Threshold:0.5, retain_rate:0.9036544850498339, average:0.1053724846071269
Threshold:0.55, retain_rate:0.9121974371143806, average:0.10936914715030767
Threshold:0.6000000000000001, retain_rate:0.9283341243474134, average:0.11760123507694047
Threshold:0.65, retain_rate:0.9359278595158994, average:0.12170982079912691
Threshold:0.7000000000000001, retain_rate:0.9596582819174181, average:0.13523437160447074
Threshold:0.75, retain_rate:0.9667774086378738, average:0.13962470483448125
Threshold:0.8, retain_rate:0.973421926910299, average:0.1439601230089182
Threshold:0.8500000000000001, retain_rate:0.9762695775984812, average:0.14592789513833115
Threshold:0.9, retain_rate:0.9800664451827242, average:0.1487739102876473
Threshold:0.9500000000000001, retain_rate:0.9805410536307546, average:0.14914869393372146
