Threshold:0.0, retain_rate:0.385, average:0.0
Threshold:0.05, retain_rate:0.506, average:0.006722858388436908
Threshold:0.1, retain_rate:0.5776666666666667, average:0.015070444626175433
Threshold:0.15000000000000002, retain_rate:0.6406666666666667, average:0.02578090867195751
Threshold:0.2, retain_rate:0.6976666666666667, average:0.038135839475252724
Threshold:0.25, retain_rate:0.7333333333333333, average:0.04762458290315089
Threshold:0.30000000000000004, retain_rate:0.7666666666666667, average:0.05781125097941631
Threshold:0.35000000000000003, retain_rate:0.7956666666666666, average:0.06760075258086447
Threshold:0.4, retain_rate:0.8453333333333334, average:0.0865932821425318
Threshold:0.45, retain_rate:0.8653333333333333, average:0.09455175465204514
Threshold:0.5, retain_rate:0.8833333333333333, average:0.10259483212581656
Threshold:0.55, retain_rate:0.895, average:0.10825264089168268
Threshold:0.6000000000000001, retain_rate:0.915, average:0.11850778438028191
Threshold:0.65, retain_rate:0.9223333333333333, average:0.12251407211198732
Threshold:0.7000000000000001, retain_rate:0.9573333333333334, average:0.1424385437884624
Threshold:0.75, retain_rate:0.967, average:0.14827869187511386
Threshold:0.8, retain_rate:0.9796666666666667, average:0.1566095491573174
Threshold:0.8500000000000001, retain_rate:0.9843333333333333, average:0.1597624295895661
Threshold:0.9, retain_rate:0.9936666666666667, average:0.1664937629092968
Threshold:0.9500000000000001, retain_rate:0.9973333333333333, average:0.16927760566001523
