Question,predict,label,rouge_score,score
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong [MASKED]
### Lựa chọn:
A: Báo với cô giáo chủ nhiệm để tìm cách giải quyết. 
B: Mặc kệ vì không liên quan đến mình.
C: Cùng với A đánh B cho vui. 
D: Chạy đi chỗ khác chơi.", lớp đã báo với cô giáo chủ nhiệm để tìm cách giải quyết. ,lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?,0.0625,0.0625
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây [MASKED]
### Lựa chọn:
A: Lờ đi chỗ khác và coi như không biết. 
B: Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.
C: Đèo em bé đó đến gặp công an. 
D: Đạp thật nhanh về nhà.", tai nạn. ,tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?,0.1818181872367859,0.1904761904761905
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu thành ngữ: Gió chiều nào theo [MASKED]
### Lựa chọn:
A: Không tôn trọng lẽ phải. 
B: Không trung thực.
C: Không chín chắn. 
D: Không có ý thức."," chiều ấy.
Lựa chọn:
A: Không tôn trọng lẽ phải. ",chiều ấy nói về người như thế nào?,0.2222222238779068,0.22222222222222224
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Em rèn tính liêm [MASKED]
### Lựa chọn:
A: Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi 
B: Làm giàu bằng chính sức lực, tài năng của mình
C: Nhặt được của rơi trả lại cho người bị mất 
D: Tất cả đáp án trên",[INST] C: Nhặt được của rơi trả lại cho người bị mất ,khiết trong học tập là:,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Không hám danh, hám lợi, không [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Khiêm tốn."," [MASKED]

Câu trả lời là: Liêm khiết. ","nhỏ nhen, ích kỉ được gọi là?",0.1176470592617988,0.14285714285714285
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc [MASKED]
### Lựa chọn:
A: Mặc kệ. 
B: Sang đánh nhà hàng xóm.
C: Sang chửi nhà hàng xóm. 
D: Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.",. ,hát karaoke. Trong tình huống này em sẽ làm gì?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những hành vi nào sau đây [MASKED]
### Lựa chọn:
A: Đi nhẹ, nói khẽ trong bệnh viện 
B: Châm chọc, chế giễu người khuyết tật.
C: Biết lắng nghe ý kiến của mọi người. 
D: Tự nhận lỗi về mình"," được coi là lịch sự?
A: Đi nhẹ, nói khẽ trong bệnh viện
B: Châm chọc, chế giễu người khuyết tật.
C: Biết lắng nghe ý kiến của mọi người.
D: Tự nhận lỗi về mình ",thể hiện không tôn trọng người khác:,0.0454545468091964,0.046511627906976744
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Một vài câu ca dao, tục ngữ [MASKED]
### Lựa chọn:
A: Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang

 
B: Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau
C: Cười người hôm trước, hôm sau người cười 
D: Tất cả các ý trên", là lời nói không mất tiền mua. ,nói về sự tôn trọng người khác:,0.1428571492433548,0.14285714285714285
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu tục ngữ: Nói lời phải giữ lấy lời, đừng [MASKED]
### Lựa chọn:
A: Lòng chung thủy. 
B: Lòng trung thành.
C: Giữ chữ tín. 
D: Lòng vị tha."," [MASKED]

Câu trả lời đúng là: C: Giữ chữ tín. ",như con bướm đậu rồi lại bay nói đến điều gì,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Coi trọng lòng tin của mọi người đối với mình, [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Giữ chữ tín.", [MASKED] là một người đáng tin cậy. ,biết trọng lời hứa và tin tưởng nhau được gọi là?,0.1052631586790084,0.1111111111111111
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những quy định, quy ước ở một tập thể, một [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Pháp luật. 
D: Kỉ luật.", tổ chức. ,cộng đồng người ở phạm vi hẹp hơn được gọi là?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những quy định của pháp luật và kỉ luật [MASKED]
### Lựa chọn:
A: Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động. 
B: Giúp cho mọi người gần nhau hơn.
C: Giúp cho mọi người tôn trọng nhau hơn. 
D: Giúp cho mọi người hoàn thiện mình hơn.", giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động. ,có ý nghĩa như thế nào với mọi người?,0.1481481492519378,0.14814814814814814
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu ca dao thể hiện tôn [MASKED]
### Lựa chọn:
A: Đất có lề, quê có thói 
B: Phép vua thua lệ làng
C: Thương em anh để trong lòng Việc quan anh cứ phép công anh làm 
D: A, B, C"," trọng là: ""Đất có lề, quê có thói"". ",trọng pháp luật và kỉ luật,0.1428571492433548,0.14285714285714288
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tình bạn trong sáng, lành mạnh [MASKED]
### Lựa chọn:
A: Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn. 
B: Giúp cho mọi người gần nhau hơn.
C: Giúp cho mọi người tôn trọng nhau hơn. 
D: Giúp cho mọi người vui vẻ hơn"," giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn. ",có ý nghĩa như thế nào?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở [MASKED]
### Lựa chọn:
A: Tình yêu. 
B: Tình bạn.
C: Tình đồng chí. 
D: Tình anh em.", tình yêu. ,"hợp nhau về tính tình, sở thích, lí tưởng được gọi là?",0.1428571492433548,0.14285714285714285
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đặc điểm của tình bạn [MASKED]
### Lựa chọn:
A: Bình đẳng và tôn trọng lẫn nhau. 
B: Phù hợp với nhau về quan niệm sống.
C: Thông cảm, đồng cảm sâu sắc với nhau. 
D: Cả A, B, C.", là bình đẳng và tôn trọng lẫn nhau. ,"trong sáng, lành mạnh là?",0.1538461595773697,0.15384615384615385
