,Question,Answer,Label,rouge_score
0,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: During recess, A teased and hit B, causing him to bleed and break his teeth. No one in [MASKED]
### Choices:
A: Tell the homeroom teacher to find a solution. 
B: Ignore it because it has nothing to do with me.
C: Play B with A for fun. 
D: Go play somewhere else."," **[B:  the classroom]**  


Here's why:

* **The sentence sets up a scenario of bullying.**  The focus is on the inaction of others.
* **Option B highlights the inaction** by suggesting that people are ignoring the situation.

The other options don't fit the context:

* **A:**  Suggests taking action, which contradicts the sentence's focus.
* **C:**  Would be even worse, encouraging participation in the",the class said anything because they were afraid A would hit him. What would you do in this situation?,0.07407407462596893
1,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: On the way home from school, I saw a young man speeding on a motorbike [MASKED]
### Choices:
A: Ignore it and pretend you don't know. 
B: With the help of an adult, take the baby to the hospital and call the baby's family.
C: Take that baby to the police. 
D: Pedal home quickly."," **recklessly**. 

Here's why this works:

* **The sentence sets a scene:** You're walking home from school, and you see something concerning.
* **The masked word needs to create a problem:**  ""Recklessly"" implies dangerous behavior, making the situation more serious and prompting a need for a response.

Now the question becomes: What should you do when you see someone speeding recklessly on a motorbike?


Let me know if you'd like","and causing an accident, breaking a student's arm. What would you do in that situation?",0.09195402264595032
2,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the proverb: ""Follow [MASKED]
### Choices:
A: No respect for reason. 
B: dishonest
C: immature 
D: Unconscious."," **your nose**"" mean?

Here's why the best answer is **none of the above**:

* **""Follow your nose""** is a proverb that encourages someone to trust their instincts or intuition. 

Let me know if you'd like to try another proverb! 
","the wind"" say about people?",0.0
3,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: I practice integrity [MASKED]
### Choices:
A: Enthusiastically help people without calculation or self-interest 
B: Get rich with your own strength and talent
C: Pick up lost property and return it to its owner. 
D: All of the above"," **C: Pick up lost property and return it to its owner.** 


Here's why:

* **Integrity** is about being honest, having strong moral principles, and doing the right thing even when it's difficult. 
* Returning lost property is a clear example of acting with integrity because it aligns with honesty and doing what is ethically right.

The other options don't directly reflect the core meaning of integrity:

* **A:** While helpful, this describes kindness",in studying is:,0.02631578966975212
4,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Not greedy for fame, not greedy [MASKED]
### Choices:
A: Integrity. 
B: Fair.
C: Right. 
D: Modest."," **for fortune**. 


The completed sentence is a common proverb highlighting a person's lack of materialistic desires. 

Let me know if you'd like to try another one! 
","for profit, not petty, selfish is called?",0.11428571492433548
5,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: At 12 o'clock at night, the neighbor's house is still [MASKED]
### Choices:
A: Whatever. 
B: Go beat up the neighbor.
C: Go scold the neighbor. 
D: Go to the neighbor's house and advise them to turn off the machine because it's late at night so everyone can sleep."," **[MAKING A LOT OF NOISE]**. 


Here's why this works:

* **Context:** The sentence implies something is bothering the speaker because it's late at night.
* **Choices:**  The options are designed to test different responses to the noise. 
    * A is too dismissive.
    * B and C are aggressive and inappropriate.
    * D is a reasonable and polite response to the situation. 



Let me know if you'","playing karaoke music. In this situation, what would you do?",0.0810810774564743
6,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following [MASKED]
### Choices:
A: Walk softly and speak softly in the hospital. 
B: Mocking, mocking people with disabilities.
C: Know how to listen to everyone's opinions. 
D: Take the blame on yourself"," **is NOT** good advice for interacting with others? 


Let me know if you'd like to try another one! 
",behaviors shows disrespect for others:,0.1666666716337204
7,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Some folk songs and [MASKED]
### Choices:
A: It is difficult to know reason and words. Knowing how to behave and behave is better than the rich. 
B: Words do not cost money, choose your words carefully to please each other.
C: Laugh at others today, tomorrow others will laugh at you 
D: All of the above"," **[MASKED]**

The best answer here is **D: All of the above**. 

Here's why:

* **Folk songs often carry wisdom and moral lessons.**  All the provided options contain proverbs or sayings that reflect common folk wisdom.

Let me know if you'd like to explore more examples of folk wisdom! 


",proverbs about respecting others:,0.0
8,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Proverb: Keep your word, don't be like a butterfly [MASKED]
### Choices:
A: Loyalty. 
B: Loyalty.
C: Keep your word. 
D: Altruism."," **B: flitting** 


Here's why:

* The proverb is comparing someone who breaks promises to a butterfly that flits from flower to flower without staying long. 
* ""Flitting"" captures the idea of being unreliable and constantly changing. 


Let me know if you'd like to try another one!
","that lands and then flies away, saying something else.",0.03448275849223137
9,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Respecting people's trust in you, knowing how to [MASKED]
### Choices:
A: Integrity. 
B: Fair.
C: Right. 
D: Keep your word."," **D: Keep your word**. 


Here's why:

* **Keeping your word** directly relates to trustworthiness. If you consistently follow through on your promises, people are more likely to trust you.

Let's look at why the other options aren't as strong:

* **Integrity** is a broader concept that encompasses ethical behavior, but it doesn't specifically address the act of fulfilling promises.
* **Fair**  means impartial and just, which is important",keep promises and trusting each other is called?,0.07792207598686218
10,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What are the rules and conventions in a group [MASKED]
### Choices:
A: Integrity. 
B: Fair.
C: Law. 
D: Discipline."," **setting**? 


Let me know if you'd like to try another one! 
",or community of people on a smaller scale called?,0.0
11,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What do laws and [MASKED]
### Choices:
A: Help everyone have a common standard for training and unity in activities. 
B: Bringing people closer together.
C: Help people respect each other more. 
D: Help people improve themselves."," **social norms** 


Here's why:

* **Laws and social norms** work together to regulate behavior and create a functioning society. 

Let's look at why the other options aren't as fitting:

* **A: Help everyone have a common standard for training and unity in activities.** While laws can establish standards, social norms often arise organically and aren't always about ""training"" or ""unity.""
* **B: Bringing people closer together.** Laws",regulations mean to people?,0.0555555559694767
12,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The folk song shows [MASKED]
### Choices:
A: Land has borders, hometown has customs 
B: The king's law is weaker than the village's custom.
C: I love you, I keep it in my heart. I do my official duties as I please. 
D: A, B, C"," **A: Land has borders, hometown has customs**. 


Here's why:

* **Folk songs often reflect cultural values and traditions.**  The phrase ""Land has borders, hometown has customs""  highlights a common theme in folk music – the importance of place, belonging, and the unique ways of life within different communities.

Let me know if you'd like to try another one! 
",respect for law and discipline.,0.0317460335791111
13,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does a [MASKED]
### Choices:
A: Helps people feel warm, confident, love life and improve themselves. 
B: Bringing people closer together.
C: Help people respect each other more. 
D: Make people happier"," **smile** do?

A: Helps people feel warm, confident, love life and improve themselves. 
B: Bringing people closer together.
C: Help people respect each other more. 
D: Make people happier 


Let me know if you'd like to try another one! 
","pure, healthy friendship mean?",0.0
14,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The emotional attachment between two or more people based [MASKED]
### Choices:
A: Love. 
B: Friendship.
C: Comradeship. 
D: Fraternity."," **on mutual affection and care** 


Here's why the best answer is a combination of the choices provided:

* **A: Love:**  While love is a strong form of emotional attachment, it's not the only basis for strong bonds.
* **B: Friendship:**  Friendship is a good fit, as it emphasizes mutual affection and care.
* **C: Comradeship:**  This implies shared experiences and goals, which can lead to strong bonds.
","on compatibility in personality, interests, and ideals is called?",0.07894736528396606
15,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What are the characteristics [MASKED]
### Choices:
A: Equality and mutual respect. 
B: Compatible with each other in terms of life philosophy.
C: Sympathy, deep empathy with each other. 
D: Both A, B, C."," **of a successful long-term relationship**? 


Let me know if you'd like to try another one! 
","of a pure, healthy friendship?",0.1818181872367859
16,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following opinions [MASKED]
### Choices:
A: Pure, healthy friendship cannot be one-sided. 
B: Friends must protect each other in all situations.
C: Know how to criticize each other in all situations. 
D: It is possible to have a pure, healthy friendship between two people of the opposite sex."," **expresses** 


Let me know if you'd like me to create a full multiple-choice question with a specific answer! 
",about friendship do you disagree with?,0.14814814925193787
17,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: is E's best friend. During the 15-minute test, E didn't study the old lesson so [MASKED]
### Choices:
A: Remind you, advise you not to do so because it violates discipline. 
B: Thanks D for showing me the document.
C: Ignore it because it has nothing to do with me. 
D: Tell the teacher so you get punished."," **C: Ignore it because it has nothing to do with me.** 


Here's why:

* **The sentence structure:** The sentence implies a consequence of E not studying.  
* **Logical flow:**  Options A, B, and D all involve E taking some action, which doesn't fit the context of the sentence. Option C suggests E is trying to avoid the situation. 

Let me know if you'd like to try another one! 
","he secretly opened his book to copy. If you were D, what would you do?",0.095238097012043
18,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: On major holidays of the year, village X often organizes cultural, artistic, physical education and sports exchange activities to celebrate; Mrs. E's [MASKED]
### Choices:
A: Mrs. E's family does not actively participate in political and social activities. 
B: Mrs. E's family actively participates in political and social activities.
C: Mrs. E's family lives selfishly. 
D: Mrs. E's family lives indifferently."," [MASKED]

The best answer here is **B: Mrs. E's family actively participates in political and social activities.**

Here's why:

* **Context:** The sentence describes a village celebrating holidays with community activities. This suggests a focus on social engagement.
* **Logical Connection:**  The masked part should logically connect to the village's celebratory activities.  Mrs. E's family actively participating in political and social activities fits this connection.

The other options",family often does not participate because they think it is a waste of time. What do you think about Mrs. E's family?,0.12903225421905518
19,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which agencies and [MASKED]
### Choices:
A: State. 
B: Communist Party of Vietnam.
C: Not managed by any agency or organization, operating freely. 
D: Both A and B."," **organizations** 


Here's why:

* **Context:** The question is likely asking about entities that control or influence something.  
* **Complementary Words:** ""Agencies"" and ""organizations"" are closely related terms that both fit the context of groups with structure and purpose. 


Let me know if you'd like to explore different question variations!
",organizations manage political organizations?,0.07547169923782349
20,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What are the [MASKED]
### Choices:
A: Affects human health, spirit and morality. 
B: Destroy family happiness.
C: Social disorder, ethnic degradation. 
D: Both A, B, C."," **consequences** of  


Let me know if you'd like me to create more example questions!
",effects of social evils?,0.10000000149011612
21,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What are the [MASKED]
### Choices:
A: Corruption, unhealthy gaming addiction. 
B: Child molestation, theft, fraud.
C: Drugs, prostitution. 
D: Both A, B, C."," **social ills** 


Here's why:

* **Social ills** is a broad term that encompasses a range of negative societal problems.  The provided answer choices all represent serious social issues. 

Let me know if you'd like to explore other ways to phrase this question! 
",types of social evils?,0.08510638028383255
22,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Social evils are social phenomena that include behaviors that deviate from social norms, violate ethics [MASKED]
### Choices:
A: Social evils 
B: Violation of the law.
C: ethical violation 
D: Violation of rules."," **B: Violation of the law**. 


Here's why:

* **Social evils** are often defined as actions that are harmful to society and go against widely accepted moral standards. 
* **Violation of the law** is a key component of many social evils, as laws are codified expressions of societal norms and ethics.

Let me know if you'd like to try another example! 
","and the law, causing serious consequences in all aspects of social life. What is called?",0.10526315867900848
23,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What is the highest form [MASKED]
### Choices:
A: Death penalty. 
B: Life together.
C: Imprisonment. 
D: Warning."," **of punishment**? 


Let me know if you'd like to try another one! 
",of punishment for violating the law?,0.21052631735801697
24,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What form of punishment is applied to children [MASKED]
### Choices:
A: Sent to reform school for 1 year from the date of violation. 
B: Warning.
C: Imprisonment. 
D: Advice."," **most commonly**?

Here's why this works:

* **The question now has a clear focus:** It's asking about the *most common* form of punishment, not just any form.
* **The answer choices reflect this:**  Options A, C, and D are all relatively extreme punishments, while B (warning) is a more common initial response.


Let me know if you'd like to explore other ways to phrase the question! 
",under 14 years old who violate the law?,0.025974025949835777
25,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What is the best [MASKED]
### Choices:
A: 1 hour. 
B: 1 week
C: Immediately after the first 2-3 hours. 
D: 1 month."," **time to reapply sunscreen**? 


Let me know if you'd like more example questions! 
",time to prevent HIV/AIDS infection?,0.190476194024086
26,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What is the name of the [MASKED]
### Choices:
A: HIV 
B: AIDS.
C: Ebola. 
D: Bird flu."," **virus that causes AIDS**? 


Let me know if you'd like to try another one! 
",virus that causes immunodeficiency in humans?,0.27272728085517883
27,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What are the main [MASKED]
### Choices:
A: Weight loss of more than 10% of body weight. 
B: Fever lasting more than 1 month.
C: Diarrhea lasting more than 1 month. 
D: Both A, B, C."," **symptoms** of  malnutrition? 


Let me know if you'd like to try another one! 
",clinical signs of HIV/AIDS?,0.10526315867900848
28,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: HIV virus [MASKED]
### Choices:
A: Eating and drinking from the same cup or bowl with someone infected with HIV 
B: Mosquitoes and insects suck blood from people infected with HIV and then inject healthy people.
C: Cough, sneeze 
D: Smoking and drinking alcohol with people infected with HIV"," **[C: Cough, sneeze]** 


**Explanation:**

HIV is primarily transmitted through bodily fluids, not through casual contact like sharing utensils, insects, or social activities.  

* **Coughing and sneezing** can spread respiratory droplets containing HIV if an infected person is also experiencing symptoms. 


Let me know if you'd like more examples!
",is transmitted through:,0.0784313753247261
29,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What are the measures [MASKED]
### Choices:
A: Propaganda to everyone about the harmful effects of drugs so that everyone can prevent them. 
B: Participate in local prevention and control activities.
C: Do not trade, transport or store drugs. 
D: Both A, B, C."," **to prevent drug abuse**? 


Let me know if you'd like to create more multiple choice questions! 
",to prevent and control HIV/AIDS?,0.17391304671764374
30,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which agencies and organizations are allowed to research, [MASKED]
### Choices:
A: Organizations and enterprises under the Ministry of National Defense and the Ministry of Public Security. 
B: Individual.
C: Private company. 
D: Reactionary organization."," **access**, 


Here's why:

* **""Access""** fits the context of the sentence and implies the ability to obtain and use information, which is often the core of research.

Let me know if you'd like to explore other possible completions or discuss the implications of this type of question! 
","manufacture, produce, trade, export, import, and repair weapons?",0.03448275849223137
31,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following actions does not comply with regulations [MASKED]
### Choices:
A: Use homemade guns. 
B: Saw mines to get explosives.
C: Use knife to fight. 
D: Both A, B, C."," **for handling explosives**? 
 
Let me know if you'd like to explore other variations of this question!
","on preventing accidents involving weapons, fires, explosions and toxic substances?",0.0
