Threshold:0.0, retain_rate:0.42533333333333334, average:0.0
Threshold:0.05, retain_rate:0.42733333333333334, average:0.0002247006256556882
Threshold:0.1, retain_rate:0.467, average:0.007150968132938997
Threshold:0.15000000000000002, retain_rate:0.5256666666666666, average:0.02051227118063691
Threshold:0.2, retain_rate:0.5966666666666667, average:0.039082659438352686
Threshold:0.25, retain_rate:0.6593333333333333, average:0.057448477422459746
Threshold:0.30000000000000004, retain_rate:0.698, average:0.06972163353109766
Threshold:0.35000000000000003, retain_rate:0.7373333333333333, average:0.08352126850499944
Threshold:0.4, retain_rate:0.78, average:0.10026476526066974
Threshold:0.45, retain_rate:0.8006666666666666, average:0.10868190343180548
Threshold:0.5, retain_rate:0.8643333333333333, average:0.13712142809616779
Threshold:0.55, retain_rate:0.8693333333333333, average:0.1394217527947539
Threshold:0.6000000000000001, retain_rate:0.885, average:0.14720038253363513
Threshold:0.65, retain_rate:0.8923333333333333, average:0.15113580161804102
Threshold:0.7000000000000001, retain_rate:0.919, average:0.1661903384596215
Threshold:0.75, retain_rate:0.927, average:0.17109172317071508
Threshold:0.8, retain_rate:0.9356666666666666, average:0.17684986090104599
Threshold:0.8500000000000001, retain_rate:0.9416666666666667, average:0.18095422237337133
Threshold:0.9, retain_rate:0.9563333333333334, average:0.19138604085766714
Threshold:0.9500000000000001, retain_rate:0.96, average:0.19416546210543248
