,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: [MASKED]
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ","Đối thoại Trịnh-Nguyễn trong thời kỳ các bộ dữ liệu, để thể hiện trường hợp của họp quan tại đây, cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?",Khi Trịnh Sâm lên ngôi vua,0.10619468986988068
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: [MASKED] 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử","
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử
Câu hỏi: Đáp án không thể hiển nhiên được thái độ của sĩ phu Bắc Hà, nên l",Nhiều người có tài năng còn chưa chịu ra giúp nước,0.33070865273475647
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: [MASKED]","Đối thoại giữa Thơ mới và Thi ca. 

Cậu, hãy nhớ và giải thích về trật tiết giữa Phong trào Thơ mới và Thi ca trong thời đại này. Như thế, bạn có thể nhận diện n",Quan điểm nghệ thuật vị nhân sinh,0.19298245012760162
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: [MASKED]"," D: Huy Thông 
Hệ thống câu hỏi trắc nghiệm được tạo thành: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ Huy Thông trong bài viết “Một thời ainei.",Nguyễn Nhược Pháp,0.07999999821186066
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: [MASKED] 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử","
A: Huy Cận
Có thể học từ trí nhớ của bạn, câu hỏi được hoàn thành này: ""Hồn thơ Huy Cận dùng trong bài viết “Một thời đại trong thi ca""?",Xuân Diệu,0.02222222276031971
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đoạn trích “Tôi có một ước mơ” được viết theo phương thức nào?
### Lựa chọn:
A: Nghị luận 
B: [MASKED]
C: Biểu cảm 
D: Chính luận","
B: Phản luận",Tự sự,0.0
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: [MASKED] 
B: Nguyễn Bính
C: Lưu Trọng Lư 
D: Tố Hữu","
A: Hoài Thanh
Viếu tượng của bạn để đồn ra câu hỏi: Hoài Thanh dùng nhà thơ năm ________ trong bài viết “Một thời đại trong thi ca”.
Cập nhật cậu hộ: Hoà",Nguyễn Nhược Pháp,0.07920791953802109
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: [MASKED] 
B: Lưu Trọng Lư
C: Nguyễn Nhược Pháp 
D: Nguyễn Bính","
A: Lưu Trọng Lư",Thế Lữ,0.1538461595773697
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”.  là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?
### Lựa chọn:
A: Thế Lữ 
B: [MASKED]
C: Lưu Trọng Lư 
D: Hàn Mặc Tử","
B: Hàn Mặc Tử",Xuân Diệu,0.0
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: “Cầu hiền” ở đây hướng tới đối tượng nào?
### Lựa chọn:
A: Người ăn ở hiền lành 
B: [MASKED]
C: Người có đức 
D: Người có đức và tài"," Người có đức 
Câu hỏi: “Cầu hiền” ở đây hướng tới đối tượng này? B: Người có đức",Người có tài,0.23880596458911896
10,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Tác giả của đoạn trích “Tôi có một ước mơ” là ai?
### Lựa chọn:
A: Aleksandr Sergeyevich Pushkin 
B: Mác –tin Lu-thơ Kinh
C: [MASKED] 
D: Vic-to Huy-gô"," [MASKED], đoạn học này có ngh� hơn khi yêu cầu của bảng đã được đầy đủ thô danh nghìn, tránh thú vui và tận tại các cá thể, nhất là các tên tác giả. Do đ",Rabindranath Tagore,0.0
11,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Câu văn “Người hiền xuất hiện ở đời, thì như ngôi sao sáng trên trời cao” nói lên nội dung gì?
### Lựa chọn:
A: [MASKED] 
B: Người hiền theo Quang Trung rất nhiều như sao trời
C: Người hiền ở Bắc Hà rất hiếm có 
D: So sánh người hiền tài như vì sao tinh tú. Đề cao vị trí, vai trò của người hiền tài.","Để xem ngược thái tù, [MASKED] Để xếp lại nghĩa vụ, để chỉ người hiền nổi tiếng tương tác với sao trên trời. Điền thành công: D: So sánh người hiền tà",Nhân tài Bắc Hà nhiều như sao trên trời.,0.20338982343673706
12,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đoạn trích “Tôi có một ước mơ” nằm trong:
### Lựa chọn:
A: [MASKED] 
B: Người đàn ông của chúng tôi ở Havana
C: Bước đến tự do, Câu chuyện Mon-ga-mo- ri- Montgomery 
D: Một con gấu tên là Paddington, với hình minh họa của Peggy Fortnum","Đoạn trích “Tôi có một ước mơ” nằm trong ""D: Một con gấu tên là Paddington, với hình minh họa của Peggy Fortnum"". 
Có nghìn chữ trên, đồng thời cũng đánh dấu đối t",Ăn sáng với kim cương,0.1320754736661911
13,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nữ phóng viên đầu tiên là viết về ai?
### Lựa chọn:
A: Manh Manh nữ sĩ 
B: Nguyễn Thị Bình
C: Trương Mỹ Hoa 
D: [MASKED]","
D: [MASKED] Nguyễn Thị Phượm 
Viết giải tha quen thứ C: Nguyễn Thị Bình",Hồ Xuân Hương,0.042553190141916275
14,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Bà Kiêm bắt đầu trở nên nổi tiếng khi:
### Lựa chọn:
A: Nổi tiếng về những bài diễn thuyết, những bài viết về bình đẳng giới và thơ mới 
B: [MASKED]
C: Viết bài ủng hộ thơ mới 
D: Viết kí","đầu tháng, để liên quan đến truyền thống trong các bộ dữ liệu về bài diễn thuyết, bài viết về bình đẳng giới và thơ mới bao gồm bài diễn thuyết, bài viết về",Viết thơ,0.09708737581968307
15,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Sở trường của bà Kiêm là gì?
### Lựa chọn:
A: Thơ 
B: Diễn thuyết
C: Phỏng vấn 
D: [MASKED]","
D: Sở trường",Phê bình,0.0
16,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Tại kì Pa-ra-lim-pích Tô-ky-ô 2020 vận động viên xuất sắc nhất là:
### Lựa chọn:
A: Van Gát 
B: Henry
C: [MASKED] 
D: Xnai – đơ","Đối thoại
Cậu họ cần thông tin về đối thoại viên xuất sắc nhất tại kỳ vận động Pa-ra-lim-pích Tô-ky-ô 2020, nên câu hỏi được tiếperén hoàn thành b",Hanry,0.0
17,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Văn bản Trí thông minh nhân tạo được trích từ:
### Lựa chọn:
A: Hồ sơ tương lai: lược sử 50 năm tới 
B: [MASKED]
C: 50 ý tưởng về tương lai 
D: Trí tuệ tương lai: kỉ nguyên thông tin đã thay đổi đầu óc chúng ta như thế thế nào, tại sao và chúng ta có thể làm gì?","50 ý tư�loatu: trí tuệ tương lai: kỉ nguyên thông tin đã thay đổi đầu óc chúng ta như thế thế nào, tại sao và chúng ta có thể làm gì?

Có thể được trình so","Kĩ thuật số và con người: chúng ta sẽ sống, yêu và suy nghĩ ra sao trong tương lai",0.15714286267757416
18,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Địa điểm tổ chức cuộc đua thể thao đầu tiên dành cho các cựu chiến binh thế chiến thứ 2 là ở:
### Lựa chọn:
A: Nhật Bản 
B: Anh
C: Bệnh viện Xtốc Men-đơ-vin 
D: [MASKED]","Địa điểm tổ chức cuộc ống cốt thể thao đầu tiên dành cho các cựu chiến binh thế chiến thứ 2 là ở: D: Ả Châu.
Có động viên hướng này: D: Ả Châu.",Mỹ,0.0
19,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đoạn trích ‘Vợ nhặt’ là của tác giả nào?
### Lựa chọn:
A: Nam Cao 
B: Ngô Tất Tố
C: Kim Lân 
D: [MASKED]","Đồng thời, để tạo ra câu hỏi trắc nghiệm: ""Đồng thời, đoạn trích ‘Vợ nhặt’ là của qui là?"" 
Cậu họ đánh giá thì: D: [MASKED]",Chế Lan Viên,0.0
20,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Giá trị hiện thực của truyện ngắn “Vợ nhặt” là:
### Lựa chọn:
A: Cho thấy một thảm cảnh thê thảm của những con người nghèo trong nạn đói 1945 do phát xít Nhật và thực dân Pháp gây nên. 
B: Tố cáo tội ác của bọn thực dân phát xít.
C: Thể hiện lòng cảm thông sâu sắc đối với số phận con người trong nạn đói. 
D: [MASKED]",1945,"Là bài ca ca ngợi sự sống, tình thương, sự cưu mang, đùm bọc, khát vọng",0.043478261679410934
