Threshold:0.0, retain_rate:0.44966666666666666, average:0.0
Threshold:0.05, retain_rate:0.45766666666666667, average:0.0007569247961092658
Threshold:0.1, retain_rate:0.5093333333333333, average:0.008765401551087683
Threshold:0.15000000000000002, retain_rate:0.5943333333333334, average:0.02554342053200691
Threshold:0.2, retain_rate:0.6723333333333333, average:0.04286368663800478
Threshold:0.25, retain_rate:0.7233333333333334, average:0.056113004864811765
Threshold:0.30000000000000004, retain_rate:0.7616666666666667, average:0.06737943376967587
Threshold:0.35000000000000003, retain_rate:0.797, average:0.07890236044432336
Threshold:0.4, retain_rate:0.8273333333333334, average:0.09016355898347482
Threshold:0.45, retain_rate:0.842, average:0.09603341308382919
Threshold:0.5, retain_rate:0.8926666666666667, average:0.11867856031829441
Threshold:0.55, retain_rate:0.898, average:0.12109829680052718
Threshold:0.6000000000000001, retain_rate:0.9223333333333333, average:0.1330964930044576
Threshold:0.65, retain_rate:0.9283333333333333, average:0.1362606928853446
Threshold:0.7000000000000001, retain_rate:0.9523333333333334, average:0.14963656657729288
Threshold:0.75, retain_rate:0.961, average:0.1549398678587492
Threshold:0.8, retain_rate:0.965, average:0.157543884865175
Threshold:0.8500000000000001, retain_rate:0.968, average:0.15958261696341744
Threshold:0.9, retain_rate:0.9723333333333334, average:0.1627377765735135
Threshold:0.9500000000000001, retain_rate:0.9746666666666667, average:0.1645519289130313
