,Question,Answer,Label,rouge_score
0,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chọn phương án đúng: Cho: _3Li, _4Be, _9F, _{11}Na, _{19}K. Hãy sắp xếp các phân tử sau đây [MASKED]
### Lựa chọn:
A: 3, 2, 1, 4 
B: 4, 2, 3, 1
C: 1, 2, 3, 4 
D: 2, 3, 4, 1"," **tăng dần theo số proton** 


**Đáp án:**  C: 1, 2, 3, 4 
",theo chiều tăng dần tác dụng phân cực của ion dương: 1) LiF; 2) NaF; 3) KF; 4) BeF_2,0.4285714328289032
1,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nguyên tắc nào không phải là nguyên tắc cơ [MASKED]
### Lựa chọn:
A: Nhất quán 
B: Thận trọng
C: Trọng yếu 
D: Khách quan"," **bả**o

### Câu hỏi hoàn chỉnh:

Nguyên tắc nào không phải là nguyên tắc cơ **bảo** ?
### Lựa chọn:
A: Nhất quán 
B: Thận trọng
C: Trọng yếu 
D: Khách quan 


",bản của kế toán trong chuẩn mực kế toán chung:,0.0
2,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chọn phương án đúng: Trộn các dung dịch: (1) 100ml dung dịch AgNO_3 10^–3M với 100ml dung dịch HCl 10^–3M (2) 100ml dung dịch AgNO_3 10^–4M với 100ml dung dịch [MASKED]
### Lựa chọn:
A: Các trường hợp (1), (2) 
B: Chỉ có trường hợp (2)
C: Chỉ có trường hợp (1) 
D: Cả 3 trường hợp"," **HCl 10^–3M** 

**Giải thích:**

Để có phản ứng kết tủa AgCl, cần có ion Ag+ và ion Cl- trong dung dịch. 

* Trường hợp (1):  AgNO_3 và HCl đều có nồng độ 10^-3M nên sẽ tạo ra kết tủa AgCl.
* Trường hợp (2): AgNO_3 có nồng độ 10^-4M, HCl","NaCl 10^–4M (3) 100ml dung dịch AgNO_3 10^–4M với 100ml dung dịch HCl 10^–5 M Trong trường hợp nào có sự tạo thành kết tủa AgCl? Cho biết T_{AgCl }= 10^–9,6.",0.37837839126586914
3,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đường cung lao động về cơ bản thể hiện sự đánh đổi [MASKED]
### Lựa chọn:
A: Công việc và tiền lương 
B: Công việc và giải trí
C: Công việc và năng suất 
D: Công nghệ và tiền lương"," **A: Công việc và tiền lương** 


**Giải thích:**

* **Đường cung lao động** biểu diễn mối quan hệ giữa mức lương và số lượng lao động mà người lao động sẵn sàng cung cấp. 
* Khi lương tăng, người lao động sẽ cung cấp nhiều lao động hơn (do lợi ích tăng). Ngược lại, khi lương giảm, người lao động sẽ cung cấp ít lao động hơn. 

Các lựa chọn khác không phản ánh chính xác",giữa những vấn đề nào sau đây mà con người phải đối mặt?,0.04545454680919647
4,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Cho ba điểm A,B, C phân biệt. [MASKED]
### Lựa chọn:
A: Đường tròn đường kính AB 
B: Đường thẳng đi qua C và vuông góc với AB
C: Đường thẳng đi qua A và vuông góc với BC 
D: Đường thẳng đi qua B và vuông góc với AC"," **Nếu A, B, C không thẳng hàng thì chúng xác định duy nhất một** 
### Lựa chọn:
A: Đường tròn đường kính AB 
B: Đường thẳng đi qua C và vuông góc với AB
C: Đường thẳng đi qua A và vuông góc với BC 
D: Đường thẳng đi qua B và vuông góc với AC 


**Giải thích:**

Câu hỏi này hỏi về cách xác định duy nhất một yếu tố hình học khi cho ba",Tập hợp những điểm M mà \overrightarrow{CM}.\overrightarrow{CB}=\overrightarrow{CA}.\overrightarrow{CB} là,0.0
5,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: DN xác định số thuế bảo [MASKED]
### Lựa chọn:
A: Nợ TK 642(5) / Có TK 333(8) 
B: Nợ TK 642(5) / Có TK 333(7)
C: Nợ TK 333(8) / Có TK 111, 112 
D: Nợ TK 333(7), 111, 112 / Có TK 711"," **đảm** 


Vậy câu hỏi hoàn chỉnh là:

**DN xác định số thuế bảo đảm**

**Lựa chọn:**
A: Nợ TK 642(5) / Có TK 333(8) 
B: Nợ TK 642(5) / Có TK 333(7)
C: Nợ TK 333(8) / Có TK 111, ",vệ môi trường phải nộp trong kỳ:,0.025316456332802773
6,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trường phái lý thuyết quản trị kinh doanh nào chú trọng sử dụng các mô hình toán học có [MASKED]
### Lựa chọn:
A: Trường phái quản trị định lượng 
B: Trường phái quản trị khoa học cổ điển
C: Trường phái quản trị công nghệ thông tin 
D: Trường phái quản trị theo quá trình"," **(A:  ** **định lượng**)

**Câu hỏi hoàn chỉnh:** Trường phái lý thuyết quản trị kinh doanh nào chú trọng sử dụng các mô hình toán học có **định lượng**?


**Giải thích:**

* **Trường phái quản trị định lượng** sử dụng các phương pháp thống kê và toán học để phân tích dữ liệu và đưa ra quyết định. 
* **Trường phái quản trị khoa học cổ điển** tập trung",sự hỗ trợ của máy tính để đưa ra quyết định lựa chọn một phương án quản trị tối ưu?,0.15730337798595428
7,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Công dân thực hiện quyền tham gia quản lí nhà [MASKED]
### Lựa chọn:
A: Trung lập và đại diện 
B: Ủy quyền và gián tiếp
C: Ủy quyền và đại diện 
D: Trực tiếp và gián tiếp"," **D: Trực tiếp và gián tiếp** 


**Giải thích:**

* **Trực tiếp:**  Công dân có thể tham gia vào các hoạt động quản lí nhà nước một cách trực tiếp, ví dụ như bỏ phiếu trong các cuộc bầu cử, biểu tình, đề xuất ý kiến cho các chính sách.
* **Gián tiếp:** Công dân có thể tham gia quản lí nhà nước một cách gián tiếp, ví dụ như bầu cử đại biểu tham gia","nước, quản lí xã hội theo cách nào dưới đây?",0.06976744532585144
8,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Họ đặc tuyến ra của BJT là đồ [MASKED]
### Lựa chọn:
A: Dòng base theo điện áp collector-emitter 
B: Dòng collector theo điện áp base-emitter
C: Dòng collector theo điện áp collector-emitter 
D: Dòng emitter theo điện áp base - emitter"," **C: Dòng collector theo điện áp collector-emitter** 


 
",thị của . . . . . .,0.0
9,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Yếu tố nào làm [MASKED]
### Lựa chọn:
A: Không khí 
B: Nhiệt độ
C: Chất thải 
D: Ánh sáng"," **tăng tốc độ hô hấp của thực vật**?

### Lựa chọn:
A: Không khí 
B: Nhiệt độ
C: Chất thải 
D: Ánh sáng 


",ô nhiễm nguồn nước ?,0.0
10,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tại các điểm giao cắt giữa đường bộ và đường sắt, [MASKED]
### Lựa chọn:
A: Xe cứu hỏa 
B: Xe cứu thương
C: Phương tiện giao thông đường sắt 
D: Ô tô, mô tô và xe máy chuyên dùng"," **C: Phương tiện giao thông đường sắt**  thường có tín hiệu báo hiệu và rào chắn để đảm bảo an toàn giao thông. 


Let me know if you'd like to try another one! 
",quyền ưu tiên thuộc về loại phương tiện nào dưới đây?,0.08510638028383255
