Question,predict,label,rouge_score,score,Subject,retained
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following structures is located at [MASKED]
### Choices:
A: somato-sensory cortex 
B: cerebellum
C: cerebral cortex 
D: medulla"," the medulla?
### Choices:
A: somato-sensory cortex 
B: cerebellum
C: cerebral cortex 
D: medulla ",the most central and protected part of the brain?,0.0571428574621677,0.0909090909090909,civic_education,True
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: To illustrate the attempt to do injustice [MASKED]
### Choices:
A: the ring of Gyges. 
B: Icarus.
C: Achilles and Agamemnon. 
D: Oedipus the King.",", Plato uses the ring of Gyges. ","with impunity, Cicero considers the story of:",0.2222222238779068,0.3076923076923076,civic_education,True
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | [MASKED]
### Choices:
A: Wrong, Wrong 
B: Wrong, Not wrong
C: Not wrong, Wrong 
D: Not wrong, Not wrong"," [MASKED]
### Choices:
A: Wrong, Wrong 
B: Wrong, Not wrong
C: Not wrong, Wrong 
D: Not wrong, Not wrong ","My terrified little brother swears there's a monster in his closet, so I tell him he's wrong. Scenario 2 | I saw her put the drinks in the purse before checking out.",0.072727270424366,0.0816326530612244,civic_education,True
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: A plaintiff was seriously injured in a collision involving three trucks. A sideswipe occurred between the plaintiff's pickup truck and a trailer truck as they passed in opposite directions. The sideswipe caused the plaintiff's truck to careen down the road and into the path of a second trailer truck. The driver of the second trailer [MASKED]
### Choices:
A: admissible as a declaration of existing state of mind. 
B: admissible as an excited utterance.
C: inadmissible, because it contains inadmissible opinion evidence. 
D: inadmissible as hearsay not within any recognized exception."," truck applied his brakes, but it was too late to avoid a collision. The plaintiff was seriously injured in the collision.
### Choices:
A: admissible as a declaration of existing state of mind. 
B: admissible as an excited utterance.
C: inadmissible, because it contains inadmissible opinion evidence. 
D: inadmissible as hearsay not within any recognized exception. ","truck was immediately killed. Both of the trailer trucks were owned by the same transport company. At trial, the plaintiff called a witness to the collision to testify that he heard an unidentified female witness scream, ""Oh my God, that trailer truck sideswiped that little pickup truck. ""The trial judge should rule the witness's testimony",0.1294963955879211,0.1272727272727272,civic_education,True
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: A bakery incorporated and headquartered in State A had a dispute with a mill incorporated and headquartered in State B over the quality of the flour the mill had delivered to the bakery. The bakery sued the mill in a federal court in State A for breach of contract, seeking $100,000 in damages. The contract between the bakery and the mill contained a clause designating State B courts as the sole venue for litigating disputes arising under the contract. Under [MASKED]
### Choices:
A: No, because State A law treats forum- selection clauses as unenforceable. 
B: No, because the mill should have instead filed a motion to dismiss for improper venue.
C: Yes, because federal common law makes the forum-selection clause controlling. 
D: Yes, because federal law governs transfers of venue, and it would be more convenient for the witnesses and parties to litigate the claim in State B."," State A law, forum-selection clauses are unenforceable. ","precedent of the highest court in State A, forum-selection clauses are unenforceable as against public policy; under U.S. Supreme Court precedent, such clauses are enforceable. The mill has moved to transfer the case to a federal court in State B, citing the forum-selection clause in the parties' contract and asserting the facts that the flour was produced in State B and that the majority of likely witnesses are in State B. Is the court likely to grant the mill's motion?",0.2037037014961242,0.1379310344827586,civic_education,True
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: To whom did ordinary folk appeal during a [MASKED]
### Choices:
A: The Buddha 
B: Laozi
C: The Queen Mother of the West 
D: Confucius"," drought?
### Choices:
A: The Buddha 
B: Laozi
C: The Queen Mother of the West 
D: Confucius ",drought in the time of the Han Dynasty?,0.3125,0.3333333333333333,civic_education,True
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: A state has the following statute in effect:""No person shall sell, barter, furnish, or give to a minor under 16 years of age an air gun, rifle, shotgun, pistol, or other firearm; or being the owner or having charge or control thereof, knowingly permit it to be used by a minor under such age. Whoever violates this statute shall be fined not more than $1,500 (one thousand five hundred dollars), or imprisoned not more than 45 days, or both. ""A mother purchased an air rifle, which she gave to her son. The mother, a police officer, who was familiar with firearms, trained her son in the systematic practice of care in the use of the air rifle. One afternoon, the son, [MASKED]
### Choices:
A: result in her acquittal, because she didn't have the necessary mental state required for the crime. 
B: result in her acquittal, because the friend is 16 years of age or older.
C: not prevent her conviction, because mistake of law is no defense. 
D: not prevent her conviction, because mistake of fact is no defense."," [MASKED]
### Choices:
A: result in her acquittal, because she didn't have the necessary mental state required for the crime. 
B: result in her acquittal, because the friend is 16 years of age or older.
C: not prevent her conviction, because mistake of law is no defense. 
D: not prevent her conviction, because mistake of fact is no defense. ","who was 15 years of age, was playing with his friends. The three boys took turns firing the air rifle, which discharged small pellets, at various targets in the son's back yard. As one of the friends, who was 16 years old, was using the air rifle, he fired a shot over the other friend's head, intending to frighten him. The pellet missed the other friend, but struck a next-door neighbor in the eye, severely injuring her. The mother is subsequently charged with violating the state statute. As her defense, the mother claims that she erroneously believed the statute prohibited firearms to be given or sold to minors under 15 years of age. If the mother's mistaken belief is honest, it should",0.1296296268701553,0.1222222222222222,civic_education,True
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: A state has a statute generally prohibiting the installation and use of radar detection devices in any motor vehicle operating on the roadways within the state. This prohibition was enacted to prevent motorists from evading radar or speed checkpoints on county and state highways. A neighboring state has no such regulation in effect. By the same token, Congress has taken no action on the [MASKED]
### Choices:
A: constitutional, because it protects a legitimate state interest. 
B: constitutional, because the commerce clause does not invalidate a state regulation relating to interstate commerce unless Congress takes express action to do so.
C: unconstitutional, because the state statute fails to give credit to the law of a neighboring state. 
D: unconstitutional, because it unduly burdens interstate commerce."," constitutional, because it protects a legitimate state interest. ","matter. A resident of the neighboring state has installed a radar detection device in his automobile. While driving to visit his mother he is arrested and charged with violating the aforementioned state statute. The resident files a complaint challenging the constitutionality of the state statute. As applied to the resident, the state prohibition against the use of radar detection devices is likely to be held",0.0470588244497776,0.0547945205479452,civic_education,True
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following assessment measures is [MASKED]
### Choices:
A: Test of Memory Malingering 
B: The Differential Aptitude Test–5
C: Recognition Memory Test 
D: Personality Assessment Inventory"," the Test of Memory Malingering?
### Choices:
A: Test of Memory Malingering 
B: The Differential Aptitude Test–5
C: Recognition Memory Test 
D: Personality Assessment Inventory ",not used to assess symptom validity or malingering?,0.1395348906517028,0.0625,civic_education,True
"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Between contractions of the left ventricle the [MASKED]
### Choices:
A: the atria are contracting. 
B: the vessels are contracted.
C: the right ventricle is relaxed. 
D: the arteries have elastic recoil.", atria are contracting. ,blood continues to flow through the vessels because:,0.0,0.0,civic_education,True
