,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại nào?
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: [MASKED] 
D: Triều Mạc, Lê, Trịnh, Tây Sơn","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại nào?
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: [MASKED] 
D: Triều Mạc, Lê, Trịnh, Tây Sơnassistant

Nội dung của lựa chọn C là Triều đại nhà Trần và nhà Hồ. Ngô Thì Nhậm từng làm quan dưới triều đại nhà Trần và nhà Hồ.","Triều Lê, Trịnh, Tây Sơn",0.11034482717514038
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời với mục đích gì?
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: [MASKED]
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn"," Kêu gọi những người giỏi võ ra giúp nước 

Câu hỏi và đáp án được điền đầy đủ như sau:

### Câu hỏi: Chiếu cầu hiền ra đời với mục đích gì?
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: Kêu gọi những người giỏi võ ra giúp nước 
C: Kêu gọi những người giỏi võ ra giúp nước 
D: K",Kêu gọi các Nho sĩ ra giúp nước,0.13333334028720856
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: [MASKED] 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ","Khi Trịnh Sâm lên ngôi vua

Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?

Đáp án: A: Khi Trịnh Sâm lên ngôi vua

Câu hỏi này liên quan đến lịch sử Việt Nam và đặc biệt là triều đại nhà Tây Sơn. Chiếu cầu hiền là một văn bản lịch sử quan trọng, được sử dụng để thể hiện sự công nhận và ghi nhận những người có công với đất",Khi triều đại Lê – Trịnh sụp đổ,0.11764705926179886
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: [MASKED]
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: [MASKED]
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cửassistant

Nội dung của lựa chọn B là một đoạn văn trong một bài thơ của Nguyễn Trãi, trong đó ông đã thể hiện thái độ của sĩ phu Bắc Hà khi vua Quang Trung đã ra lệnh đánh giết nhiều người có tài năng nhưng không ra giúp nước.",Người ra làm quan thì giữ mình không dám nói thẳng,0.02247191034257412
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Giá trị nội dung của Chiếu cầu hiền là:
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: [MASKED] 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Giá trị nội dung của Chiếu cầu hiền là:
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: [MASKED] 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quanassistant

Nội dung của lựa chọn C là phù hợp nhất, vì Chiếu cầu hiền là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan.",Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước,0.2310757040977478
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: [MASKED] 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: [MASKED] 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinhassistant

Nội dung của lựa chọn A là câu trả lời đúng.",Các tác phẩm thuộc phong trào Thơ mới.,0.06896551698446274
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: ""Chiếu cầu hiền"" là của tác giả nào?
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: [MASKED] 
D: Quang Trung","Ngô Thì Sĩ
Vì vậy, câu trả lời đúng là B: Ngô Thì Sĩ",Ngô gia văn phái,0.190476194024086
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Câu nào dưới đây nói đúng về năm sinh và năm mất của Hoài Thanh?
### Lựa chọn:
A: [MASKED] 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982.","Câu trả lời đúng là B: Sinh năm 1920, mất năm 2002.","Sinh năm 1915, mất năm 1951.",0.3571428656578064
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: [MASKED]","Nguyễn Du

Vì vậy, câu trả lời đúng là: D: Nguyễn Du",Nguyễn Nhược Pháp,0.21052631735801697
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: Xuân Diệu 
B: [MASKED]
C: Chế Lan Viên 
D: Hàn Mặc Tử","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: Xuân Diệu 
B: [MASKED]
C: Chế Lan Viên 
D: Hàn Mặc Tửassistant

Nội dung của lựa chọn B là nhà thơ Tản Đà.",Huy Cận,0.0
