Question,Fed_Prompt,Label,Choosed_wrong_answer,True_answer,Subject
"### Câu hỏi: Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?
A. Báo với cô giáo chủ nhiệm để tìm cách giải quyết.
B. Mặc kệ vì không liên quan đến mình.
C. []
D. Chạy đi chỗ khác chơi.
","Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?
A. Báo với cô giáo chủ nhiệm để tìm cách giải quyết.
B. Mặc kệ vì không liên quan đến mình.
C. ",Cùng với A đánh B cho vui.,C,A,civic_education
"### Câu hỏi: Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?
A. Lờ đi chỗ khác và coi như không biết.
B. Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.
C. Đèo em bé đó đến gặp công an.
D. []
","Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?
A. Lờ đi chỗ khác và coi như không biết.
B. Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.
C. Đèo em bé đó đến gặp công an.
D. ",Đạp thật nhanh về nhà.,D,B,civic_education
"### Câu hỏi: Câu thành ngữ: Gió chiều nào theo chiều ấy nói về người như thế nào?
A. []
B. Không trung thực.
C. Không chín chắn.
D. Không có ý thức.
","Câu thành ngữ: Gió chiều nào theo chiều ấy nói về người như thế nào?
A. ",Không tôn trọng lẽ phải.,A,C,civic_education
"### Câu hỏi: Em rèn tính liêm khiết trong học tập là:
A. Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi
B. []
C. Nhặt được của rơi trả lại cho người bị mất
D. Tất cả đáp án trên
","Em rèn tính liêm khiết trong học tập là:
A. Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi
B. ","Làm giàu bằng chính sức lực, tài năng của mình",B,D,civic_education
"### Câu hỏi: Không hám danh, hám lợi, không nhỏ nhen, ích kỉ được gọi là?
A. Liêm khiết.
B. Công bằng.
C. Lẽ phải.
D. []
","Không hám danh, hám lợi, không nhỏ nhen, ích kỉ được gọi là?
A. Liêm khiết.
B. Công bằng.
C. Lẽ phải.
D. ",Khiêm tốn.,D,A,civic_education
"### Câu hỏi: Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc hát karaoke. Trong tình huống này em sẽ làm gì?
A. Mặc kệ.
B. Sang đánh nhà hàng xóm.
C. []
D. Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.
","Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc hát karaoke. Trong tình huống này em sẽ làm gì?
A. Mặc kệ.
B. Sang đánh nhà hàng xóm.
C. ",Sang chửi nhà hàng xóm.,C,D,civic_education
"### Câu hỏi: Những hành vi nào sau đây thể hiện không tôn trọng người khác:
A. []
B. Châm chọc, chế giễu người khuyết tật.
C. Biết lắng nghe ý kiến của mọi người.
D. Tự nhận lỗi về mình
","Những hành vi nào sau đây thể hiện không tôn trọng người khác:
A. ","Đi nhẹ, nói khẽ trong bệnh viện",A,B,civic_education
"### Câu hỏi: Một vài câu ca dao, tục ngữ nói về sự tôn trọng người khác:
A. Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang


B. Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau
C. []
D. Tất cả các ý trên
","Một vài câu ca dao, tục ngữ nói về sự tôn trọng người khác:
A. Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang


B. Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau
C. ","Cười người hôm trước, hôm sau người cười",C,D,civic_education
"### Câu hỏi: Câu tục ngữ: Nói lời phải giữ lấy lời, đừng như con bướm đậu rồi lại bay nói đến điều gì
A. Lòng chung thủy.
B. Lòng trung thành.
C. Giữ chữ tín.
D. []
","Câu tục ngữ: Nói lời phải giữ lấy lời, đừng như con bướm đậu rồi lại bay nói đến điều gì
A. Lòng chung thủy.
B. Lòng trung thành.
C. Giữ chữ tín.
D. ",Lòng vị tha.,D,C,civic_education
"### Câu hỏi: Coi trọng lòng tin của mọi người đối với mình, biết trọng lời hứa và tin tưởng nhau được gọi là?
A. Liêm khiết.
B. []
C. Lẽ phải.
D. Giữ chữ tín.
","Coi trọng lòng tin của mọi người đối với mình, biết trọng lời hứa và tin tưởng nhau được gọi là?
A. Liêm khiết.
B. ",Công bằng.,B,D,civic_education
